ModelID,ProfileID,ProfileType
ACH-000828,PR-i3IpRu,dna
ACH-001523,PR-8BsVlg,rna
ACH-001523,PR-kFdiwY,dna
ACH-000187,PR-B7wdH4,rna
ACH-000187,PR-eleyUv,dna
ACH-000746,PR-LD8ryu,rna
ACH-000746,PR-eqyUyf,dna
ACH-002160,PR-jd06v8,dna
ACH-000292,PR-gMEq6C,rna
ACH-000292,PR-DmaZUc,dna
ACH-002005,PR-8rVvVB,rna
ACH-002005,PR-rEtqRg,dna
ACH-001415,PR-nAkgJE,rna
ACH-001415,PR-SKoeyK,dna
ACH-000175,PR-f1fZbH,rna
ACH-000175,PR-t7z2DQ,dna
ACH-000948,PR-3CMhX7,rna
ACH-000948,PR-1a8HqD,dna
ACH-000025,PR-1x4KRV,rna
ACH-000025,PR-AT5o0p,dna
ACH-002485,PR-60Pdyw,rna
ACH-002485,PR-EtBUC0,dna
ACH-000890,PR-nkWpjg,rna
ACH-000890,PR-yxKqFd,dna
ACH-000554,PR-ZfLVlE,rna
ACH-000554,PR-BklaUR,dna
ACH-000457,PR-gLL98a,rna
ACH-000457,PR-7wTlSr,dna
ACH-002209,PR-IfWBJl,dna
ACH-000401,PR-7XTzf6,rna
ACH-000401,PR-FV0whW,dna
ACH-000466,PR-3LnMkg,rna
ACH-000466,PR-WBtPbe,dna
ACH-001852,PR-eAkhgm,rna
ACH-001852,PR-aSfLU6,dna
ACH-000733,PR-5IAyrX,rna
ACH-000733,PR-CwO7jK,dna
ACH-002238,PR-DoQH9v,dna
ACH-000567,PR-4KCXkR,rna
ACH-000567,PR-ko9wUu,dna
ACH-000327,PR-feSGd6,rna
ACH-000327,PR-f7h4Ex,dna
ACH-000021,PR-gJszNf,rna
ACH-000021,PR-eVFKjZ,dna
ACH-001307,PR-yY41qu,rna
ACH-001307,PR-VROgY4,dna
ACH-002143,PR-VLl1A3,dna
ACH-002280,PR-qMKheG,dna
ACH-001495,PR-dhSMt0,rna
ACH-001495,PR-N61LpQ,dna
ACH-002365,PR-vZtlym,dna
ACH-000998,PR-Ly6pdP,rna
ACH-000998,PR-U2fdjq,dna
ACH-000630,PR-py7xpm,rna
ACH-000630,PR-n4PHas,dna
ACH-000263,PR-ahX9nb,rna
ACH-000263,PR-Z7l5n7,dna
ACH-000420,PR-cNXG9u,rna
ACH-000420,PR-urWkad,dna
ACH-000093,PR-PUM4OM,rna
ACH-000093,PR-SWg0Hh,dna
ACH-000465,PR-yjfNFh,rna
ACH-000465,PR-bWucLt,dna
ACH-001382,PR-GWHd54,rna
ACH-001382,PR-dvnpCj,dna
ACH-000869,PR-0ccWFQ,rna
ACH-000869,PR-nm65Cj,dna
ACH-000619,PR-hxKVot,rna
ACH-000619,PR-BFXtA4,dna
ACH-000744,PR-KpSPQh,rna
ACH-000744,PR-I5tq2d,dna
ACH-000189,PR-TX1XP4,rna
ACH-000189,PR-OGnFWk,dna
ACH-001632,PR-lkaPgh,rna
ACH-001632,PR-x8Nct7,dna
ACH-002119,PR-wnGSlU,dna
ACH-000696,PR-WFVmS3,rna
ACH-000696,PR-3hCsGH,dna
ACH-002077,PR-4wcLbC,rna
ACH-002077,PR-RFKHCv,dna
ACH-002179,PR-oC95H5,dna
ACH-001982,PR-blpl7p,rna
ACH-001982,PR-7LkeqG,dna
ACH-000911,PR-qajbr0,rna
ACH-000911,PR-CK8DSi,dna
ACH-000379,PR-Ox31nD,rna
ACH-000379,PR-QCxK5E,dna
ACH-000350,PR-buFhBK,rna
ACH-000350,PR-NSPGdW,dna
ACH-000249,PR-XCK2Mq,rna
ACH-000249,PR-gCW6Ej,dna
ACH-002216,PR-gOyGAM,dna
ACH-002163,PR-LgFEBI,dna
ACH-000456,PR-X3HNsH,rna
ACH-000456,PR-iheukO,dna
ACH-000516,PR-7efTvD,rna
ACH-000516,PR-vaxvTg,dna
ACH-000688,PR-t41o2z,rna
ACH-000688,PR-fRKA53,dna
ACH-002207,PR-Pu3UZo,dna
ACH-000109,PR-fPu3e3,rna
ACH-000109,PR-cQo9SA,dna
ACH-002185,PR-IRkZ1e,dna
ACH-000288,PR-zAYKaf,rna
ACH-000288,PR-wMJR2g,dna
ACH-000312,PR-lh4UtC,rna
ACH-000312,PR-uC3q5l,dna
ACH-000006,PR-8Cmbny,rna
ACH-000006,PR-5rISRc,dna
ACH-002262,PR-Yybm32,dna
ACH-000310,PR-nLF0wP,rna
ACH-000310,PR-ZzjQOA,dna
ACH-001050,PR-YaiemJ,rna
ACH-001050,PR-ZXiFr9,dna
ACH-001393,PR-EJgvop,rna
ACH-001393,PR-vlZEC9,dna
ACH-001561,PR-q1pplf,rna
ACH-001561,PR-GABcbo,dna
ACH-000983,PR-lXz5kj,rna
ACH-000983,PR-FGeuv5,dna
ACH-001554,PR-z37MAY,rna
ACH-001554,PR-ymhriY,dna
ACH-000852,PR-pbdNj6,rna
ACH-000852,PR-U09HEh,dna
ACH-001340,PR-A30qyB,rna
ACH-001340,PR-XCLaFP,dna
ACH-000254,PR-YaxhVG,rna
ACH-000254,PR-W9yGhh,dna
ACH-002967,PR-ZBU1Ko,rna
ACH-002967,PR-1RnC7l,dna
ACH-000220,PR-ItDIbE,rna
ACH-000220,PR-7BCUXr,dna
ACH-002384,PR-hXuoiL,dna
ACH-000479,PR-ND6vCk,rna
ACH-000479,PR-tobJgm,dna
ACH-000588,PR-HOjBkF,rna
ACH-000588,PR-nQXJzs,dna
ACH-000776,PR-VqrmIZ,rna
ACH-000776,PR-xcsbEI,dna
ACH-001655,PR-0HHXsp,rna
ACH-001655,PR-6PzjrD,dna
ACH-000243,PR-skQOuk,rna
ACH-000243,PR-VknXZz,dna
ACH-000118,PR-dJ1sOb,rna
ACH-000118,PR-Fkv46u,dna
ACH-000333,PR-Md0yPq,rna
ACH-002240,PR-cPO7yw,dna
ACH-000830,PR-LkZNqr,rna
ACH-000830,PR-oHIfIc,dna
ACH-002340,PR-8E5B6f,dna
ACH-000605,PR-DI7DAb,rna
ACH-000605,PR-F6Q8zj,dna
ACH-000668,PR-jYUa5D,rna
ACH-000668,PR-3DOFqn,dna
ACH-002389,PR-NMyopl,dna
ACH-002148,PR-HKjaHs,dna
ACH-002278,PR-lj2b9S,dna
ACH-000534,PR-hCr92F,rna
ACH-000534,PR-abv1Dv,dna
ACH-000480,PR-f4mRi7,rna
ACH-000480,PR-4oRDiG,dna
ACH-000758,PR-WF1VR0,rna
ACH-000758,PR-JZDjEe,dna
ACH-001453,PR-XCUF4J,rna
ACH-001453,PR-3x4RI2,dna
ACH-000429,PR-uzEp5Y,rna
ACH-000429,PR-KcD8qD,dna
ACH-000082,PR-erKBiR,rna
ACH-000082,PR-1Ju43a,dna
ACH-000946,PR-5zf8Ee,rna
ACH-000946,PR-bhIzgj,dna
ACH-001392,PR-GtQmRJ,rna
ACH-001392,PR-LfrPBd,dna
ACH-000143,PR-dlwhbG,rna
ACH-000143,PR-c91Su5,dna
ACH-000710,PR-bd9LX0,rna
ACH-001651,PR-Cpjxyw,rna
ACH-001651,PR-EHVOVz,dna
ACH-000371,PR-0zqOQm,rna
ACH-000371,PR-L1dOGo,dna
ACH-000348,PR-vM7wlE,rna
ACH-000348,PR-ZgrTvM,dna
ACH-000372,PR-DDO590,rna
ACH-000372,PR-39ipKV,dna
ACH-000335,PR-X2VF7Y,rna
ACH-000335,PR-2uDYZY,dna
ACH-000598,PR-Syxhmf,rna
ACH-000598,PR-NAiysP,dna
ACH-002799,PR-sMkFn1,rna
ACH-002799,PR-7zRmM9,dna
ACH-000139,PR-zMyZxq,rna
ACH-000139,PR-uyeqvA,dna
ACH-001497,PR-nNtbWk,rna
ACH-001497,PR-dnLHT0,dna
ACH-001500,PR-LPTjkk,rna
ACH-001500,PR-eUfoVk,dna
ACH-000121,PR-uhDFo2,rna
ACH-000121,PR-WdRLig,dna
ACH-000039,PR-hPxwjS,rna
ACH-000039,PR-tGnS2w,dna
ACH-000564,PR-zw3i78,rna
ACH-000564,PR-wHCEKi,dna
ACH-000329,PR-MMxTz0,rna
ACH-000329,PR-8Br5s3,dna
ACH-001212,PR-4uEPII,dna
ACH-001232,PR-9gV7NN,rna
ACH-001232,PR-A21r31,dna
ACH-000700,PR-uQ6qid,rna
ACH-000700,PR-oe5b6J,dna
ACH-000259,PR-WowcCo,rna
ACH-000259,PR-dygAPj,dna
ACH-000365,PR-mwdhSY,rna
ACH-000365,PR-YQaWBV,dna
ACH-000664,PR-jFV4Jb,rna
ACH-000664,PR-lVpAZb,dna
ACH-000859,PR-ypABRs,rna
ACH-000859,PR-wyYRyw,dna
ACH-002531,PR-DzLvET,rna
ACH-002531,PR-qkv0sN,dna
ACH-002366,PR-KPFNpX,dna
ACH-000549,PR-yXu12t,rna
ACH-000549,PR-RqMK4y,dna
ACH-002733,PR-L1MDxI,rna
ACH-002733,PR-6L5Teo,dna
ACH-000218,PR-TLglA4,rna
ACH-000218,PR-HyMLJj,dna
ACH-000387,PR-6NiRv5,rna
ACH-000387,PR-OXY6i8,dna
ACH-000546,PR-YCxO0X,rna
ACH-000546,PR-H29PoQ,dna
ACH-002510,PR-xrykC7,rna
ACH-002510,PR-48lLTm,dna
ACH-000526,PR-MCEQt7,rna
ACH-002392,PR-TyCr4L,dna
ACH-000670,PR-7GK41c,rna
ACH-000670,PR-kJNOeS,dna
ACH-000959,PR-FKzzol,rna
ACH-000959,PR-8xr84R,dna
ACH-000113,PR-jYi9Pb,rna
ACH-000113,PR-itLg7X,dna
ACH-000926,PR-i6syiS,rna
ACH-000926,PR-pcc7Wp,dna
ACH-001413,PR-PYxY7R,rna
ACH-001413,PR-NhQdyh,dna
ACH-000386,PR-6zE2q1,rna
ACH-000386,PR-ta2aWo,dna
ACH-000656,PR-EAZrIB,rna
ACH-000656,PR-NivMj6,dna
ACH-000469,PR-LzVlId,rna
ACH-000469,PR-XqU6xJ,dna
ACH-000525,PR-xO5JLc,rna
ACH-000525,PR-R1zayg,dna
ACH-002283,PR-FLrCpF,dna
ACH-000367,PR-9MFvRo,rna
ACH-000367,PR-4SIGBu,dna
ACH-000585,PR-8yAIet,rna
ACH-000585,PR-WT0UBI,dna
ACH-000794,PR-AOJnHP,rna
ACH-000794,PR-7tGhYX,dna
ACH-000223,PR-p4mQwe,rna
ACH-000223,PR-PTYIRW,dna
ACH-000077,PR-wNql0Y,rna
ACH-000077,PR-0H05VY,dna
ACH-000848,PR-6SAwzH,rna
ACH-000848,PR-Cbzb19,dna
ACH-002127,PR-MWPnKs,dna
ACH-001698,PR-lSPxfa,rna
ACH-001698,PR-Xhtv3P,dna
ACH-000225,PR-niYmQz,rna
ACH-000225,PR-fIitxU,dna
ACH-000622,PR-vlNETp,rna
ACH-000622,PR-F4kHPf,dna
ACH-002347,PR-jU9Qik,dna
ACH-000935,PR-3JyTG0,rna
ACH-000935,PR-YhyskV,dna
ACH-000559,PR-6GNlMN,rna
ACH-000559,PR-pQYCmp,dna
ACH-001538,PR-I21681,rna
ACH-001538,PR-HNPzqu,dna
ACH-000359,PR-2WXnzi,rna
ACH-000359,PR-Vts9ic,dna
ACH-000182,PR-ZCHM6o,rna
ACH-000182,PR-sJO4Iz,dna
ACH-000176,PR-gyWFK3,rna
ACH-000176,PR-xKMlp1,dna
ACH-002243,PR-r7FfpC,dna
ACH-000194,PR-xzFbWY,rna
ACH-002883,PR-zhmWew,rna
ACH-002883,PR-5bnagN,dna
