Depmap ID,"CRISPR (DepMap Public 23Q2+Score, Chronos)",Cell Line Name,Primary Disease,Lineage,Lineage Subtype,Expression Public 23Q2,Mutations_Prioritized
ACH-001375,0.0301046052718548,PACADD119,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,6.503984703897613,Other
ACH-001433,0.0331455884492363,CCLFPEDS0008T,Epithelioid Sarcoma,Soft Tissue,Epithelioid Sarcoma,,Other
ACH-001442,-0.2189687500984422,A388,Cutaneous Squamous Cell Carcinoma,Skin,Cutaneous Squamous Cell Carcinoma,5.52387555132852,Other
ACH-001443,-0.0333741800004751,ASH3,Anaplastic Thyroid Cancer,Thyroid,Anaplastic Thyroid Cancer,4.372255648445787,Other
ACH-001450,-0.1469277750996616,BLUE1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma,5.130930869826448,Other
ACH-001451,-0.0646430703656057,BOKU,Cervical Squamous Cell Carcinoma,Cervix,Cervical Squamous Cell Carcinoma,7.100662339005199,Other
ACH-001453,0.1660964124381304,BPH1,Non-Cancerous,Prostate,Non-Cancerous,6.912290583351108,Other
ACH-001454,0.0852709881811416,C10,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.633721812641012,Other
ACH-001458,-0.3219507880172115,C75,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.625562739966372,Other
ACH-001459,-0.3672167404335243,C80,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.712045448553693,Other
ACH-001460,-0.0276643026265649,C84,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.506843098969815,Other
ACH-001461,-0.3369223382245437,C99,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,4.816087658600206,Other
ACH-001481,-0.1305341181730609,CHLA90,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,4.214124805352848,Other
ACH-001494,-0.0187377233004402,EGI1,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,6.353852558686127,Other
ACH-001495,0.0084897198338866,EMTOKA,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,5.1001366712854495,Other
ACH-001431,-0.1616139939860282,TC205,Ewing Sarcoma,Bone,Ewing Sarcoma,5.567727963304803,Other
ACH-001496,-0.0244961990586898,ESO26,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,6.97865326490861,Other
ACH-001498,-0.2096140614311299,FARAGE,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma,6.618679150751557,Other
ACH-001500,-0.0530061230682167,FLO1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,4.409390936137702,Other
ACH-001509,0.0314458239653888,H357,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,6.259649120649155,Other
ACH-001510,-0.0018399533035234,H376,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,4.941106310946432,Other
ACH-001511,-0.0875297132569281,H413,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,5.595443984589479,Other
ACH-001513,-0.0976229301068094,HCA1,Cervical Adenocarcinoma,Cervix,Cervical Adenocarcinoma,4.775050541483175,Other
ACH-001515,-0.0060580714214437,HCS2,Cervical Squamous Cell Carcinoma,Cervix,Cervical Squamous Cell Carcinoma,5.12969515665378,Other
ACH-001517,-0.03979544014626,HEC1,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,5.840463233869542,Other
ACH-001518,-0.0800042470904992,HEC116,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,5.2720231890610485,Other
ACH-001520,-0.118871143070271,HG3,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,7.433293325815009,Other
ACH-001521,-0.0249229839833191,HKA1,Cutaneous Squamous Cell Carcinoma,Skin,Cutaneous Squamous Cell Carcinoma,4.40735275114004,Other
ACH-001522,0.0715283661341761,HMY1,Melanoma,Skin,Melanoma,5.47800105583793,Other
ACH-001523,-0.0685447968152496,HSC1,Cutaneous Squamous Cell Carcinoma,Skin,Cutaneous Squamous Cell Carcinoma,5.451540833017832,Other
ACH-001524,0.0160344832277566,HSC5,Cutaneous Squamous Cell Carcinoma,Skin,Cutaneous Squamous Cell Carcinoma,5.902314812492626,Other
ACH-001497,0.05729541869722,ESO51,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,4.393004256898322,Other
ACH-001129,-0.3594952146779807,MONOMAC1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia,7.285956994889423,Other
ACH-001430,-0.3854643337375758,TC138,Ewing Sarcoma,Bone,Ewing Sarcoma,5.895544989253388,Other
ACH-001421,-0.0455825371240236,WERIRB1,Retinoblastoma,Eye,Retinoblastoma,6.051154549878513,Other
ACH-001377,-0.046864392690033,PACADD137,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,5.303050084681673,Other
ACH-001379,0.0970310538350058,PACADD161,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,6.239741717680673,Other
ACH-001380,-0.0798554366445693,PACADD165,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,5.423241995973661,Other
ACH-001382,-0.1943905816377896,PACADD188,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,5.680042992622571,Other
ACH-001385,-0.1063333972529914,RPMI2650,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,6.620439787651722,Other
ACH-001386,-0.0706332424491206,SCLC22H,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,5.929317594911761,Other
ACH-001388,0.0014729945622873,SUM102PT,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,7.139551352398794,Other
ACH-001389,-0.2044650905534858,SUM1315MO2,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,5.61706334388818,Other
ACH-001390,-0.1112801269757856,SUM149PT,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,6.005624549193878,Other
ACH-001391,-0.1661164974510064,SUM159PT,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,5.810186007695356,Other
ACH-001392,-0.3869885448309244,SUM185PE,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,7.103077946597573,Other
ACH-001393,-0.0094624781727484,SUM190PT,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,4.5963388642052,Other
ACH-001394,0.0404338295054374,SUM229PE,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,6.854245054220128,Other
ACH-001396,-0.0255688960932987,SUM52PE,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,7.28021399581062,Other
ACH-001422,-0.0398321531284275,WPE1NA22,Prostate Adenocarcinoma,Prostate,Prostate Adenocarcinoma,5.1440463696167065,Other
ACH-001398,0.0610279940227951,SW156,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,4.812498225333564,Other
ACH-001400,-0.0703313784196265,SW954,Squamous Cell Carcinoma of the Vulva/Vagina,Vulva/Vagina,Squamous Cell Carcinoma of the Vulva/Vagina,7.950701690089008,Other
ACH-001402,-0.131684554089862,SW756,Cervical Squamous Cell Carcinoma,Cervix,Cervical Squamous Cell Carcinoma,5.836681593327116,Other
ACH-001403,-0.0829802169034959,TO14,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,5.953730849811491,Other
ACH-001407,-0.1880276041663329,UMUC13,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,4.715344295358907,Other
ACH-001408,-0.2474208113561155,UMUC14,Urethral Cancer,Bladder/Urinary Tract,Urethral Cancer,5.941341105485299,Other
ACH-001409,-0.2681239744887966,UMUC16,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,5.574707046415546,Other
ACH-001411,-0.1981715459179998,UMUC5,Bladder Squamous Cell Carcinoma,Bladder/Urinary Tract,Bladder Squamous Cell Carcinoma,5.39746072605472,Other
ACH-001412,-0.0217734527135686,UMUC10,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,5.299757511839318,Other
ACH-001413,-0.2347122469195111,UMUC11,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,5.523561956057013,Other
ACH-001414,-0.0331011275038812,UMUC6,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,6.786334980416971,Other
ACH-001415,-0.2185220077729975,UMUC7,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,5.5906618959652645,Other
ACH-001416,-0.1431701968568842,UMUC9,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,4.534186139090097,Other
ACH-001418,-0.1798236827774261,UWB1289,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,6.506208389306745,Other
ACH-001419,-0.1066074849149694,VP229,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,5.535430914871279,Other
ACH-001399,-0.1394033873324397,SW626,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,4.9593064897596575,Other
ACH-001128,-0.1631233066313308,MON,Embryonal Tumor,CNS/Brain,Embryonal Tumor,5.647026632654853,Other
ACH-001126,0.0408913704220737,MOGGUVW,Diffuse Glioma,CNS/Brain,Diffuse Glioma,,Other
ACH-001119,-0.1307213995326583,MAC2A,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma,5.371907297595154,Other
ACH-000890,-0.2917511208513148,SW1271,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,6.327687364176047,Other
ACH-000894,-0.2139502917359813,NCIH1869,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.441616269406558,Other
ACH-000896,-0.0284799272238402,647V,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,4.17951105027151,Other
ACH-000898,-0.1301168747807173,SNU719,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,5.995936703504587,Other
ACH-000899,-0.026492533416249,WM88,Melanoma,Skin,Melanoma,5.825785627464791,Other
ACH-000900,-0.3938963342744752,NCIH23,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.472812666192388,Other
ACH-000901,-0.2150748091174065,HCC1359,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.824258696603374,Other
ACH-000903,-0.1049250070364535,FTC133,Well-Differentiated Thyroid Cancer,Thyroid,Well-Differentiated Thyroid Cancer,3.4154882710497003,Other
ACH-000905,-0.0615305888049457,5637,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,5.369815424283912,Other
ACH-000906,-0.0950764829500438,ES2,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,4.649040565634448,Other
ACH-000910,-0.1102473667127717,MDAMB453,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,6.320845667645722,Other
ACH-000911,-0.2045059434126507,NUGC3,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,6.330737650206952,Other
ACH-000912,-0.2333659901420983,NCIH2286,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,5.79051141189419,Other
ACH-000913,-0.1029038792814961,ESS1,Uterine Sarcoma/Mesenchymal,Uterus,Uterine Sarcoma/Mesenchymal,6.182890892745479,Other
ACH-000889,-0.1767042769290788,KMM1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma,5.902314812492626,Other
ACH-000914,-0.1359733473341044,HT,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma,5.5505928897043,Other
ACH-000916,0.0881923866504986,NCIH1573,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,6.507794640198696,Other
ACH-000917,-0.1235128431410667,TE4,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,5.546277132090075,Other
ACH-000919,-0.0487999646219516,IM95,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,4.894817763307944,Other
ACH-000920,-0.3065731441783849,CMLT1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms,6.829469052117076,Other
ACH-000921,-0.06287569201401,NCIH157DM,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.877253453876608,Other
ACH-000922,-0.1487053180039906,RCHACV,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,5.273888823668492,Other
ACH-000924,-0.0565370738918995,NCIH2172,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.235344128172668,Other
ACH-000926,-0.1805832561976311,HT55,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.675251386050259,Other
ACH-000928,-0.1040948628850682,JHUEM1,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,5.60229058486114,Other
ACH-000929,-0.230620952965494,NCIH2110,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.096767854714689,Other
ACH-000932,-0.2756531323358517,SNU1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,5.377123749129487,Other
ACH-000934,-0.1564865659691383,MDAMB361,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,6.073820233291672,Other
ACH-000935,-0.1856840606248076,MDST8,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,4.130107178658833,Other
ACH-000936,-0.0292280432357779,EFO27,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,5.7964939294258375,Other
ACH-000915,-0.0606130772128589,IPC298,Melanoma,Skin,Melanoma,5.117695042669754,Other
ACH-000937,-0.0319305857078337,PF382,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,6.943569749838966,Other
ACH-000888,-0.1989122921469708,NCIH1793,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.973611275519472,Other
ACH-000886,-0.0273497907724008,NCIH2009,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.7073591320808825,Other
ACH-000845,0.0878339203136561,NCIH1373,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,6.268658955027672,Other
ACH-000846,0.1084944824936531,FADU,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,5.850749425896496,Other
ACH-000847,-0.0577551913049219,HGC27,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,5.189429245809757,Other
ACH-002922,-0.0495465226837328,SKNMM,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,4.905928478173135,Other
ACH-000851,-0.1236854736021713,MORCPR,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,4.590961241342599,Other
ACH-000853,-0.0750694465486791,NCIH661,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,6.148120631123964,Other
ACH-000854,-0.0470207437392772,OCIMY5,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma,6.69780161473751,Other
ACH-000855,-0.1629024942979307,KYSE150,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,5.647602329007619,Other
ACH-000856,-0.0791972294839082,CAL51,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,6.504143652285466,Other
ACH-000858,-0.0996531306430462,KNS62,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,4.2720231890610485,Other
ACH-000859,-0.0576339348159981,HCC1954,Breast Ductal Carcinoma In Situ,Breast,Breast Ductal Carcinoma In Situ,4.951401291674311,Other
ACH-000861,-0.1576503838473424,HOP62,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,6.1765222465489575,Other
ACH-000862,-0.0524266182612891,KMBC2,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,5.267910280884825,Other
ACH-000863,0.0186300201091528,DBTRG05MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma,5.008540671702954,Other
ACH-000887,0.0107951054255423,SF172,Diffuse Glioma,CNS/Brain,Diffuse Glioma,5.234194722953812,Other
ACH-000864,-0.1145028673318261,COLO684,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,5.69292928642903,Other
ACH-000866,-0.0518760821242709,NCIH1048,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,6.562852959583925,Other
ACH-000867,-0.056124095137914,CHAGOK1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.584060534426763,Other
ACH-000869,0.0452951201560244,NCIH1568,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.70984201927331,Other
ACH-000871,0.028716295752135,NCIH510,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,6.416333088688697,Other
ACH-000872,-0.0260068842402114,HCC515,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.720552091605108,Other
ACH-000873,-0.0232174616660117,KYSE270,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,5.311067102255596,Other
ACH-000876,-0.035859564444236,MDAMB415,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,5.634593268445757,Other
ACH-000878,0.0158135086722598,HCC15,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.578334948681608,Other
ACH-000879,-0.0473060999559188,MFE296,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,5.625562739966372,Other
ACH-000880,-0.1122711504074371,AGS,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,6.242983516109694,Other
