splicing_event	histology	type
LMBR1L:49106511-49106746_49105923-49105957_49106960-49107011	EPN	skipping
LMBR1L:49106654-49106746_49105923-49105957_49106960-49107045	EPN	skipping
NCAM1:113236301-113236315_113235032-113235164_113255876-113256001	EPN	skipping
CSPP1:67091803-67091883_67086006-67086110_67093542-67093603	EPN	skipping
FLNB:58131927-58132019_58130740-58130908_58132807-58132931	EPN	skipping
GNPDA1:142012288-142012377_142011911-142012041_142012994-142013027	EPN	skipping
ANKRD11:89291681-89291777_89291012-89291183_89305205-89305344	EPN	skipping
ANKRD11:89291681-89291799_89291012-89291183_89305205-89305344	EPN	skipping
C17orf49:7016950-7017014_7016494-7016685_7017256-7017304	EPN	skipping
PDZD11:70289522-70289593_70289254-70289354_70289859-70289945	EPN	skipping
DENND6B:50316566-50316626_50316369-50316475_50317292-50317373	EPN	skipping
DENND6B:50316566-50316712_50316369-50316475_50317292-50317373	EPN	skipping
PAM:103025134-103025334_103019789-103019843_103028184-103028238	EPN	skipping
TRDMT1:17169310-17169539_17168840-17168917_17174550-17174660	EPN	skipping
DPM1:50941129-50941209_50940864-50940933_50942030-50942126	EPN	skipping
CHD2:92998138-92998261_92997301-92997403_92998498-92998621	EPN	skipping
CHD2:92998149-92998261_92997252-92997403_92998498-92998621	EPN	skipping
MIR9-1HG:156413413-156413497_156404258-156404601_156414653-156414753	EPN	skipping
APC:112823307-112823360_112821948-112821991_112827107-112827247	EPN	skipping
DMPK:45780323-45780381_45779777-45779869_45782192-45782552	EPN	skipping
STARD3NL:38179090-38179145_38178350-38178420_38207446-38207729	EPN	skipping
RPGR:38287865-38288041_38276586-38276772_38290958-38291024	EPN	skipping
KDM5A:286126-286207_285455-285662_292758-292925	EPN	skipping
NTRK2:84669680-84670221_84669301-84669423_84670376-84670960	EPN	skipping
PEX5:7202241-7202351_7201750-7201841_7202611-7202704	EPN	skipping
SMARCA4:11039458-11039553_11034913-11035132_11041306-11041560	EPN	skipping
C20orf96:289559-289676_283962-284081_290258-290307	EPN	skipping
ALDOA:30066885-30067038_30065759-30065927_30067233-30067366	EPN	skipping
ANKMY1:240511861-240512001_240500451-240500565_240512801-240512942	EPN	skipping
MYO5A:52343117-52343197_52336462-52340394_52346360-52346461	EPN	skipping
STPG1:24391561-24391679_24383866-24384003_24401318-24401331	EPN	skipping
ANKMY1:240482183-240482261_240480936-240481097_240499957-240500123	EPN	skipping
DZIP1L:138071643-138071835_138068150-138068367_138077498-138077632	EPN	skipping
SERP2:44390357-44390578_44379640-44379713_44397271-44397710	EPN	skipping
MRPL11:66436816-66436909_66435837-66436112_66437103-66437263	EPN	skipping
CNOT2:70294071-70294294_70278131-70278274_70310894-70311017	LGG	skipping
CNOT2:70294237-70294294_70278131-70278274_70310894-70311017	LGG	skipping
PSMC5:63827674-63827923_63827459-63827514_63828137-63828209	LGG	skipping
PSMC5:63827829-63827923_63827445-63827514_63828137-63828209	LGG	skipping
PSMC5:63827851-63827923_63827459-63827514_63828137-63828209	LGG	skipping
CAPZB:19342752-19342864_19338822-19339617_19344357-19344434	LGG	skipping
MACROH2A1:135350823-135350913_135345967-135346057_135352945-135362901	LGG	skipping
LST1:31587816-31587966_31587254-31587318_31588517-31588757	LGG	skipping
MFF:227342745-227342819_227340291-227340380_227355676-227355761	LGG	skipping
CAST:96726754-96726859_96722638-96722698_96727488-96727530	LGG	skipping
NADK2:36208625-36208690_36207169-36207265_36211843-36211922	LGG	skipping
FXR1:180971075-180971155_180970157-180970358_180975312-180975404	LGG	skipping
NME4:398208-398394_397191-397313_398989-399123	LGG	skipping
MBP:77009849-77009926_76989955-76990060_77016831-77017042	LGG	skipping
TMEM45A:100519462-100519608_100492650-100492928_100555208-100555401	CPG	skipping
TMEM45A:100519533-100519608_100492659-100492928_100555208-100555401	CPG	skipping
CCDC91:28225795-28225861_28190445-28190641_28257201-28257245	CPG	skipping
RALGPS2:178892230-178892307_178889641-178889696_178893918-178894024	CPG	skipping
ARHGEF10L:17634548-17634562_17632320-17632466_17634834-17635016	CPG	skipping
NDUFV3:42903182-42904276_42896926-42897047_42908863-42909105	CPG	skipping
MYH14:50224154-50224177_50223246-50223349_50225584-50225677	CPG	skipping
CD44:35198121-35198246_35189834-35190065_35214851-35214914	CPG	skipping
CD44:35211246-35211449_35189834-35189972_35214851-35214861	CPG	skipping
CD44:35211246-35211449_35189834-35190065_35214851-35214861	CPG	skipping
MINK1:4892402-4892512_4892148-4892234_4892655-4892768	CPG	skipping
RAC1:6398662-6398718_6391923-6392041_6400125-6400188	CPG	skipping
MAP2:209723595-209723687_209709913-209710254_209725708-209725790	CPG	skipping
ENAH:225504991-225505053_225500991-225501070_225507950-225508017	CPG	skipping
TMEM198B:55831257-55831349_55829959-55831083_55832958-55833014	CPG	skipping
EPB41L2:130878104-130878250_130869562-130870126_130885095-130885268	CPG	skipping
OSBPL6:178339672-178339764_178338990-178339094_178349223-178349389	CPG	skipping
PBRM1:52558249-52558413_52550746-52550817_52561766-52561968	CPG	skipping
DDR1:30885625-30885680_30881065-30881125_30888687-30888814	CPG	skipping
ABLIM1:114447880-114448026_114445311-114445403_114451623-114451671	CPG	skipping
ARFGAP2:47172710-47172751_47172280-47172333_47173425-47173482	CPG	skipping
SERPINA1:94388560-94388660_94382591-94383241_94390456-94390662	CPG	skipping
SERPINA1:94388560-94388663_94382591-94383241_94390456-94390650	CPG	skipping
MEG3:100835739-100835879_100829033-100831534_100836166-100836212	CPG	skipping
INF2:104715284-104715340_104714202-104714856_104718794-104719603	CPG	skipping
KIAA1217:24542693-24542770_24536773-24536893_24544980-24545103	CPG	skipping
NF2:29683020-29683064_29681438-29681601_29694751-29694811	CPG	skipping
ARHGAP17:24927684-24927732_24919394-24920260_24930783-24931160	CPG	skipping
VPS39:42192066-42192098_42191495-42191560_42199895-42199961	CPG	skipping
DENND5B:31499606-31499671_31495809-31495919_31590705-31591012	CPG	skipping
FGFR1:38423025-38423175_38421796-38421941_38424508-38424699	CPG	skipping
CCDC50:191375062-191375589_191369918-191370036_191380158-191380274	CPG	skipping
CD44:35198121-35198246_35189834-35190065_35208104-35208206	CPG	skipping
CD44:35206112-35206243_35189834-35190065_35208104-35208137	CPG	skipping
CD44:35209965-35210054_35189834-35190065_35211245-35211253	CPG	skipping
STOX2:184011587-184011635_184010772-184011423_184017088-184017443	CPG	skipping
RAPGEF1:131603961-131604053_131602060-131602149_131619050-131619206	CPG	skipping
TCAF1:143881923-143882099_143876107-143876622_143885209-143885370	CPG	skipping
STON2:81324017-81324187_81276900-81278739_81370987-81371185	CPG	skipping
NEIL1:75347835-75347999_75347434-75347473_75348883-75349339	CPG	skipping
MEG3:100832512-100832641_100830604-100831534_100836166-100836300	CPG	skipping
KIAA1217:24542693-24542770_24533069-24533237_24544980-24545103	CPG	skipping
SLK:104010816-104010908_104008176-104008356_104018159-104018289	CPG	skipping
FGFR2:121518682-121518829_121517318-121517463_121519978-121520169	CPG	skipping
KIF13A:17771114-17771218_17763692-17764946_17771907-17772059	CPG	skipping
TBRG1:124626473-124626609_124625670-124625903_124626903-124627050	CPG	skipping
THTPA:23556743-23557034_23556270-23556343_23558694-23558898	CPG	skipping
THTPA:23556743-23557039_23556270-23556343_23558694-23558859	CPG	skipping
SEZ6L2:29872705-29872743_29872408-29872526_29873239-29873431	CPG	skipping
MACF1:39480920-39481030_39479797-39480009_39484600-39484730	CPG	skipping
MAPK3:30115595-30115645_30114545-30114708_30116635-30116790	CPG	skipping
YAP1:102209517-102209564_102205892-102206086_102223621-102223752	CPG	skipping
PACRGL:20724808-20724888_20713431-20713539_20727284-20727397	CPG	skipping
RPS24:78037439-78037441_78037193-78037304_78040203-78040225	CPG	skipping
NME4:398208-398394_397191-397313_398989-399123	CPG	skipping
RAPGEF1:131603961-131604053_131602060-131602149_131604930-131605188	CPG	skipping
MEG3:100835736-100835879_100831420-100831534_100836166-100836300	CPG	skipping
NEDD4L:58335478-58335537_58333817-58333892_58341037-58341169	CPG	skipping
MYEF2:48151100-48151171_48149162-48149371_48151472-48151571	CPG	skipping
SEPTIN4:58531480-58531551_58526681-58526978_58531960-58532066	CPG	skipping
C17orf49:7016950-7017014_7016494-7016685_7017256-7017304	CPG	skipping
RAI14:34813574-34813660_34812179-34812208_34814582-34814669	CPG	skipping
FGFR3:1802914-1803064_1801834-1802025_1803691-1803836	CPG	skipping
YAP1:102209517-102209564_102205892-102206074_102223621-102223752	CPG	skipping
BAIAP2:81110914-81110959_81108474-81108509_81115769-81116224	CPG	skipping
RGL2:33297214-33297343_33297031-33297115_33298454-33298810	CPG	skipping
DNM2:10796061-10796199_10795371-10795439_10797379-10797518	CPG	skipping
CA12:63328098-63328130_63327148-63327233_63338818-63338945	CPG	skipping
BAIAP2:81110914-81110955_81108474-81108509_81115769-81116225	CPG	skipping
ADAM22:88184292-88184402_88181957-88182024_88186614-88186701	CPG	skipping
ANKS1A:34972581-34972643_34970009-34970166_34981689-34981986	CPG	skipping
RHOC:112705100-112705123_112703643-112703806_112707077-112707102	CPG	skipping
COA1:43650493-43650712_43648599-43648652_43729428-43729489	CPG	skipping
COA1:43650612-43650712_43647227-43648652_43729428-43729474	CPG	skipping
NUMA1:72012401-72012442_72010785-72010854_72012894-72016260	CPG	skipping
PICALM:85978070-85978093_85976622-85976682_85981128-85981228	CPG	skipping
PCYT2:81907204-81907257_81906759-81906898_81907553-81907598	CPG	skipping
NF2:29683020-29683079_29681438-29681601_29694751-29694811	CPG	skipping
NT5C3B:41835588-41835682_41835202-41835272_41835858-41835957	CPG	skipping
ESYT2:158752781-158752843_158749648-158749723_158759485-158759581	CPG	skipping
FANCC:95186501-95186645_95172036-95172147_95240648-95240743	CPG	skipping
EDRF1:125729003-125729104_125725681-125725838_125729357-125729479	CPG	skipping
CPLANE2:16232893-16233017_16232509-16232646_16233611-16233764	CPG	skipping
BTN2A1:26462797-26462897_26459480-26459828_26463243-26463525	CPG	skipping
UPF3B:119840646-119840684_119838366-119838527_119841075-119841258	CPG	skipping
TCAF1:143881923-143882099_143876107-143876622_143882735-143882883	CPG	skipping
SLAIN2:48394576-48394653_48383646-48383784_48420124-48420443	CPG	skipping
CRAT:129108899-129109277_129107813-129108077_129110482-129110747	CPG	skipping
CD44:35198121-35198246_35189834-35190065_35204511-35204640	CPG	skipping
FLNB:58141858-58141929_58138281-58138529_58142649-58142752	CPG	skipping
ANK3:60145968-60146021_60138516-60139087_60166590-60166653	CPG	skipping
RGL2:33297214-33297343_33297031-33297115_33297930-33297993	CPG	skipping
USO1:75795336-75795356_75793689-75793901_75799621-75799732	CPG	skipping
FLNB:58141858-58141896_58138281-58138529_58142649-58142752	CPG	skipping
TCF7L2:113160619-113160691_113158020-113158069_113165554-113165972	CPG	skipping
TCF7L2:112964556-112964624_112951482-112951607_113040024-113040126	CPG	skipping
AAK1:69495985-69496080_69457996-69466551_69505568-69505673	MB	skipping
NPTN:73597022-73597369_73591965-73592137_73633124-73633244	MB	skipping
JKAMP:59484990-59485116_59484442-59484593_59486712-59486804	MB	skipping
FRMD4A:13651903-13651974_13643705-13647035_13654415-13654512	MB	skipping
CDCA7:173359255-173359491_173358711-173358837_173363225-173363462	MB	skipping
CDCA7:173359343-173359491_173358711-173358837_173363225-173363462	MB	skipping
PI4KB:151324745-151324917_151315572-151316509_151327270-151327377	MB	skipping
TAFAZZIN:154414101-154414190_154413481-154413567_154419542-154419623	MB	skipping
MBD2:54187714-54187837_54166075-54166166_54188873-54189011	MB	skipping
ALAS1:52198672-52198848_52198093-52198255_52199209-52199440	MB	skipping
RACK1:181243286-181243405_181242173-181242345_181243691-181243904	MB	skipping
ABLIM1:114453379-114453483_114451623-114451671_114465697-114465827	MB	skipping
APLP2:130137256-130137291_130135562-130135715_130140397-130140483	MB	skipping
BPTF:67928959-67929120_67928354-67928601_67929335-67929487	MB	skipping
NFIX:13087989-13088136_13081679-13081855_13090298-13090390	MB	skipping
SSBP3:54258069-54258149_54257126-54257186_54281437-54281527	MB	skipping
EXOC7:76090329-76090397_76089174-76089320_76094413-76094581	MB	skipping
ZFYVE21:103729793-103729846_103729090-103729182_103732619-103732762	MB	skipping
MAN2A2:90916586-90916660_90916122-90916256_90918193-90918388	MB	skipping
MYCBP2:77103209-77103310_77097369-77099013_77118339-77118519	MB	skipping
CDCA7:173359387-173359491_173358711-173358837_173363225-173363462	MB	skipping
KRIT1:92244902-92245134_92242033-92242137_92245426-92245574	MB	skipping
KRIT1:92244902-92245171_92242033-92242137_92245426-92245595	MB	skipping
EPB41:29058589-29058645_29053103-29053312_29060421-29060484	MB	skipping
GARS1-DT:30584711-30584808_30579230-30579314_30585329-30585459	MB	skipping
CDC42SE1:151056656-151056786_151055582-151055993_151059478-151059773	MB	skipping
FLNA:154365745-154365801_154365348-154365486_154366023-154366224	MB	skipping
CASK:41557032-41557100_41555599-41555635_41559778-41559847	MB	skipping
STX16:58659623-58659634_58651271-58652087_58667489-58667597	MB	skipping
SENP6:75640684-75640704_75634706-75634811_75647730-75647801	MB	skipping
PARP6:72249245-72249314_72242619-72242699_72250019-72250092	MB	skipping
SGCE:94587778-94587849_94585269-94585515_94588688-94588732	MB	skipping
U2AF1L4:35743155-35743345_35742530-35742803_35743808-35743904	MB	skipping
SMG7:183547103-183547252_183545965-183546337_183549207-183549288	MB	skipping
MEAF6:37496547-37496604_37495873-37495918_37501803-37501996	MB	skipping
OCRL:129584344-129584367_129576316-129576552_129587001-129587118	MB	skipping
RUFY3:70741627-70741680_70722010-70722751_70762518-70762692	MB	skipping
PCBP4:51961749-51962088_51961159-51961304_51967325-51967448	MB	skipping
PCBP4:51961941-51962088_51961159-51961304_51967325-51967454	MB	skipping
GALNT13:154446568-154446765_154438591-154438726_154450410-154450745	MB	skipping
RNF10:120539368-120539468_120534587-120534968_120546404-120546601	MB	skipping
DLG1:197075837-197075870_197069216-197069260_197076585-197076682	MB	skipping
GUK1:228141124-228141288_228140264-228140363_228145510-228145624	MB	skipping
GUK1:228141124-228141507_228140317-228140363_228145510-228145624	MB	skipping
PLEKHB1:73655803-73655907_73652974-73653014_73660752-73660756	MB	skipping
MSI2:57650650-57650673_57627228-57627303_57652098-57652161	MB	skipping
EYA3:28027789-28027926_28017153-28017239_28035543-28035680	MB	skipping
GOLGA4:37361243-37361305_37355100-37355187_37366079-37366879	MB	skipping
CADPS:62481723-62481869_62478260-62478416_62491338-62491480	MB	skipping
KLC1:103684986-103685036_103679383-103679545_103687080-103687211	MB	skipping
ZEB2:144518293-144518446_144517277-144517419_144519938-144520361	MB	skipping
NEO1:73274692-73274724_73273810-73274005_73278130-73278199	MB	skipping
USP24:55151912-55151975_55148462-55148570_55153869-55153917	MB	skipping
MAP4K4:101860825-101860986_101859642-101859864_101864929-101865036	MB	skipping
PLEKHB2:131144408-131144449_131140166-131140275_131146636-131149851	MB	skipping
DLG3:70493376-70493475_70492520-70492596_70495407-70495453	MB	skipping
NDUFAF6:95034008-95034122_95031994-95032098_95035453-95035576	MB	skipping
ADD1:2926639-2926675_2926013-2926112_2928170-2929307	MB	skipping
ADD1:2926642-2926675_2926013-2926112_2928170-2928523	MB	skipping
MACF1:39465095-39465112_39463611-39463686_39468614-39468732	MB	skipping
MBNL1:152446704-152446757_152445281-152445539_152447619-152447773	MB	skipping
SLC44A2:10642897-10643021_10642366-10642451_10643278-10644130	MB	skipping
KANK1:736352-736557_734162-734835_738284-738504	MB	skipping
SSR1:7295088-7295102_7287569-7289931_7295391-7295485	MB	skipping
CLTA:36210625-36210660_36204067-36204179_36211602-36211784	MB	skipping
ASPH:61682439-61682483_61680967-61681036_61684038-61684188	MB	skipping
ACBD5:27223207-27223239_27219722-27219857_27223337-27223452	MB	skipping
SEC24C:73762098-73762166_73760712-73760849_73763489-73763555	MB	skipping
KIF1A:240734719-240734745_240726825-240726940_240737062-240737168	MB	skipping
SH3GLB1:86728403-86728489_86724312-86724405_86734601-86734691	MB	skipping
AP2M1:184180562-184180650_184180168-184180251_184180848-184180984	MB	skipping
AP2M1:184180645-184180741_184180168-184180251_184180848-184180984	MB	skipping
PPFIA1:70349923-70350039_70348188-70348420_70354300-70354452	MB	skipping
PPFIA1:70350994-70351023_70348188-70348420_70354300-70354452	MB	skipping
WNK1:880721-880999_878211-878361_881691-881789	MB	skipping
MAPK9:180247663-180247728_180246544-180247510_180248972-180249138	MB	skipping
PPFIA2:81312160-81312168_81299300-81299382_81325776-81325810	MB	skipping
NCOR2:124374413-124374463_124372021-124372610_124378236-124378384	MB	skipping
MYCBP2:77118340-77118495_77097369-77099013_77121372-77121495	MB	skipping
MYCBP2:77118340-77118519_77097369-77099013_77121372-77121495	MB	skipping
SLAIN1:77743016-77743165_77719531-77719671_77744282-77744432	MB	skipping
PTK2:140769575-140769592_140764233-140764290_140789473-140789526	MB	skipping
FERMT2:52861014-52861034_52860340-52860465_52864400-52864622	MB	skipping
NRCAM:108237752-108237769_108234582-108234688_108239958-108240170	MB	skipping
SNHG14:25079826-25080079_25078861-25078995_25081090-25081183	MB	skipping
TCF12:57252421-57252492_57251168-57251423_57253261-57253468	MB	skipping
VPS29:110499457-110499546_110496011-110496203_110502048-110502111	MB	skipping
IQGAP1:90482702-90482749_90482196-90482281_90483360-90483593	MB	skipping
CLUAP1:3533099-3533155_3532785-3532841_3536121-3536559	MB	skipping
NFIB:14102422-14102510_14081842-14088326_14120439-14120624	MB	skipping
ZZEF1:4071339-4071446_4070778-4070924_4072607-4072756	MB	skipping
MED24:40034916-40034972_40033344-40033456_40035116-40035349	MB	skipping
CACNA2D4:1801574-1801644_1801042-1801118_1810277-1810340	MB	skipping
CD47:108050578-108050602_108047078-108047292_108051938-108051970	MB	skipping
IMPDH1:128393722-128393738_128392276-128393028_128394277-128394361	MB	skipping
PSMA3-AS1:58293066-58293138_58291634-58291707_58297954-58298084	MB	skipping
TTYH3:2659940-2660040_2658939-2659015_2661667-2661842	MB	skipping
MYCBP2:77103209-77103310_77097369-77099013_77121372-77121495	MB	skipping
RIMS2:104094478-104094729_104093470-104093643_104148606-104148848	MB	skipping
NRXN1:50466461-50466487_50465441-50465561_50472297-50472471	MB	skipping
AFDN:167954458-167954493_167951185-167952187_167962432-167962661	MB	skipping
SGCE:94587778-94587884_94585223-94585515_94588688-94588732	MB	skipping
CADPS:62467298-62467312_62466338-62466413_62474172-62474320	MB	skipping
SNAP23:42521614-42521708_42515236-42515354_42528261-42528343	MB	skipping
MCF2L:113090068-113090160_113089609-113089728_113091120-113091195	MB	skipping
CLASP1:121444939-121444962_121430072-121430177_121447336-121447507	MB	skipping
PLEKHA3:178488968-178489014_178485640-178485757_178490658-178490814	MB	skipping
HNRNPA1:54283079-54283234_54282799-54282874_54283811-54283967	MB	skipping
LRCH3:197880512-197880757_197875697-197875775_197883540-197888436	MB	skipping
RAB11FIP5:73079651-73081663_73075992-73076182_73088049-73088749	MB	skipping
TNIK:171107183-171107206_171101448-171101633_171108064-171108162	MB	skipping
TCERG1:146468341-146468403_146463550-146463793_146469543-146469744	MB	skipping
DENND4A:65700544-65700672_65697266-65697383_65701050-65701192	MB	skipping
DENND4A:65700544-65700675_65697266-65697383_65701050-65701192	MB	skipping
AGFG2:100556594-100556626_100555666-100555735_100562258-100562379	MB	skipping
MAP4K4:101871494-101871685_101870294-101870415_101873646-101873764	MB	skipping
DOCK7:62544947-62545039_62543655-62543745_62552731-62552761	MB	skipping
BIN1:127052255-127052362_127051153-127051243_127059010-127059155	MB	skipping
BIN1:127057473-127057601_127051153-127051243_127059010-127059155	MB	skipping
SNRPN:24958738-24958868_24920010-24920124_24962113-24962209	MB	skipping
DLG3:70497180-70497221_70495407-70495453_70498519-70498558	MB	skipping
MAGI1:65375745-65375945_65364852-65364946_65379260-65379554	MB	skipping
MARK2:63903986-63904354_63903060-63903158_63904785-63905043	MB	skipping
WNK1:879573-880031_877093-878361_880720-880814	MB	skipping
WNK1:879573-880031_877093-878361_881691-881789	MB	skipping
OSBPL8:76459859-76459895_76450850-76450988_76487509-76487618	MB	skipping
