splice_id	gene	histology
MAN2A2:90916586-90916660_90916122-90916256_90918193-90918388	MAN2A2	MB
MYCBP2:77103209-77103310_77097369-77099013_77118339-77118519	MYCBP2	MB
CDCA7:173359387-173359491_173358711-173358837_173363225-173363462	CDCA7	MB
KRIT1:92244902-92245134_92242033-92242137_92245426-92245574	KRIT1	MB
KRIT1:92244902-92245171_92242033-92242137_92245426-92245595	KRIT1	MB
EPB41:29058589-29058645_29053103-29053312_29060421-29060484	EPB41	MB
GARS1-DT:30584711-30584808_30579230-30579314_30585329-30585459	DT	MB
FLNA:154365745-154365801_154365348-154365486_154366023-154366224	FLNA	MB
CASK:41557032-41557100_41555599-41555635_41559778-41559847	CASK	MB
STX16:58659623-58659634_58651271-58652087_58667489-58667597	STX16	MB
SENP6:75640684-75640704_75634706-75634811_75647730-75647801	SENP6	MB
PARP6:72249245-72249314_72242619-72242699_72250019-72250092	PARP6	MB
SGCE:94587778-94587849_94585269-94585515_94588688-94588732	SGCE	MB
SMG7:183547103-183547252_183545965-183546337_183549207-183549288	SMG7	MB
MEAF6:37496547-37496604_37495873-37495918_37501803-37501996	MEAF6	MB
OCRL:129584344-129584367_129576316-129576552_129587001-129587118	OCRL	MB
RUFY3:70741627-70741680_70722010-70722751_70762518-70762692	RUFY3	MB
PCBP4:51961749-51962088_51961159-51961304_51967325-51967448	PCBP4	MB
PCBP4:51961941-51962088_51961159-51961304_51967325-51967454	PCBP4	MB
GALNT13:154446568-154446765_154438591-154438726_154450410-154450745	GALNT13	MB
RNF10:120539368-120539468_120534587-120534968_120546404-120546601	RNF10	MB
DLG1:197075837-197075870_197069216-197069260_197076585-197076682	DLG1	MB
PLEKHB1:73655803-73655907_73652974-73653014_73660752-73660756	PLEKHB1	MB
MSI2:57650650-57650673_57627228-57627303_57652098-57652161	MSI2	MB
EYA3:28027789-28027926_28017153-28017239_28035543-28035680	EYA3	MB
GOLGA4:37361243-37361305_37355100-37355187_37366079-37366879	GOLGA4	MB
CADPS:62481723-62481869_62478260-62478416_62491338-62491480	CADPS	MB
KLC1:103684986-103685036_103679383-103679545_103687080-103687211	KLC1	MB
ZEB2:144518293-144518446_144517277-144517419_144519938-144520361	ZEB2	MB
NEO1:73274692-73274724_73273810-73274005_73278130-73278199	NEO1	MB
USP24:55151912-55151975_55148462-55148570_55153869-55153917	USP24	MB
MAP4K4:101860825-101860986_101859642-101859864_101864929-101865036	MAP4K4	MB
PLEKHB2:131144408-131144449_131140166-131140275_131146636-131149851	PLEKHB2	MB
DLG3:70493376-70493475_70492520-70492596_70495407-70495453	DLG3	MB
NDUFAF6:95034008-95034122_95031994-95032098_95035453-95035576	NDUFAF6	MB
ADD1:2926639-2926675_2926013-2926112_2928170-2929307	ADD1	MB
ADD1:2926642-2926675_2926013-2926112_2928170-2928523	ADD1	MB
MACF1:39465095-39465112_39463611-39463686_39468614-39468732	MACF1	MB
SLC44A2:10642897-10643021_10642366-10642451_10643278-10644130	SLC44A2	MB
KANK1:736352-736557_734162-734835_738284-738504	KANK1	MB
SSR1:7295088-7295102_7287569-7289931_7295391-7295485	SSR1	MB
ASPH:61682439-61682483_61680967-61681036_61684038-61684188	ASPH	MB
ACBD5:27223207-27223239_27219722-27219857_27223337-27223452	ACBD5	MB
SEC24C:73762098-73762166_73760712-73760849_73763489-73763555	SEC24C	MB
KIF1A:240734719-240734745_240726825-240726940_240737062-240737168	KIF1A	MB
SH3GLB1:86728403-86728489_86724312-86724405_86734601-86734691	SH3GLB1	MB
AP2M1:184180562-184180650_184180168-184180251_184180848-184180984	AP2M1	MB
AP2M1:184180645-184180741_184180168-184180251_184180848-184180984	AP2M1	MB
PPFIA1:70349923-70350039_70348188-70348420_70354300-70354452	PPFIA1	MB
PPFIA1:70350994-70351023_70348188-70348420_70354300-70354452	PPFIA1	MB
WNK1:880721-880999_878211-878361_881691-881789	WNK1	MB
MAPK9:180247663-180247728_180246544-180247510_180248972-180249138	MAPK9	MB
PPFIA2:81312160-81312168_81299300-81299382_81325776-81325810	PPFIA2	MB
NCOR2:124374413-124374463_124372021-124372610_124378236-124378384	NCOR2	MB
MYCBP2:77118340-77118495_77097369-77099013_77121372-77121495	MYCBP2	MB
MYCBP2:77118340-77118519_77097369-77099013_77121372-77121495	MYCBP2	MB
SLAIN1:77743016-77743165_77719531-77719671_77744282-77744432	SLAIN1	MB
PTK2:140769575-140769592_140764233-140764290_140789473-140789526	PTK2	MB
FERMT2:52861014-52861034_52860340-52860465_52864400-52864622	FERMT2	MB
NRCAM:108237752-108237769_108234582-108234688_108239958-108240170	NRCAM	MB
SNHG14:25079826-25080079_25078861-25078995_25081090-25081183	SNHG14	MB
TCF12:57252421-57252492_57251168-57251423_57253261-57253468	TCF12	MB
VPS29:110499457-110499546_110496011-110496203_110502048-110502111	VPS29	MB
IQGAP1:90482702-90482749_90482196-90482281_90483360-90483593	IQGAP1	MB
CLUAP1:3533099-3533155_3532785-3532841_3536121-3536559	CLUAP1	MB
ZZEF1:4071339-4071446_4070778-4070924_4072607-4072756	ZZEF1	MB
MED24:40034916-40034972_40033344-40033456_40035116-40035349	MED24	MB
CACNA2D4:1801574-1801644_1801042-1801118_1810277-1810340	CACNA2D4	MB
CD47:108050578-108050602_108047078-108047292_108051938-108051970	CD47	MB
IMPDH1:128393722-128393738_128392276-128393028_128394277-128394361	IMPDH1	MB
PSMA3-AS1:58293066-58293138_58291634-58291707_58297954-58298084	AS1	MB
TTYH3:2659940-2660040_2658939-2659015_2661667-2661842	TTYH3	MB
MYCBP2:77103209-77103310_77097369-77099013_77121372-77121495	MYCBP2	MB
RIMS2:104094478-104094729_104093470-104093643_104148606-104148848	RIMS2	MB
NRXN1:50466461-50466487_50465441-50465561_50472297-50472471	NRXN1	MB
AFDN:167954458-167954493_167951185-167952187_167962432-167962661	AFDN	MB
SGCE:94587778-94587884_94585223-94585515_94588688-94588732	SGCE	MB
CADPS:62467298-62467312_62466338-62466413_62474172-62474320	CADPS	MB
SNAP23:42521614-42521708_42515236-42515354_42528261-42528343	SNAP23	MB
MCF2L:113090068-113090160_113089609-113089728_113091120-113091195	MCF2L	MB
CLASP1:121444939-121444962_121430072-121430177_121447336-121447507	CLASP1	MB
HNRNPA1:54283079-54283234_54282799-54282874_54283811-54283967	HNRNPA1	MB
LRCH3:197880512-197880757_197875697-197875775_197883540-197888436	LRCH3	MB
RAB11FIP5:73079651-73081663_73075992-73076182_73088049-73088749	RAB11FIP5	MB
TNIK:171107183-171107206_171101448-171101633_171108064-171108162	TNIK	MB
TCERG1:146468341-146468403_146463550-146463793_146469543-146469744	TCERG1	MB
DENND4A:65700544-65700672_65697266-65697383_65701050-65701192	DENND4A	MB
DENND4A:65700544-65700675_65697266-65697383_65701050-65701192	DENND4A	MB
AGFG2:100556594-100556626_100555666-100555735_100562258-100562379	AGFG2	MB
MAP4K4:101871494-101871685_101870294-101870415_101873646-101873764	MAP4K4	MB
DOCK7:62544947-62545039_62543655-62543745_62552731-62552761	DOCK7	MB
BIN1:127052255-127052362_127051153-127051243_127059010-127059155	BIN1	MB
BIN1:127057473-127057601_127051153-127051243_127059010-127059155	BIN1	MB
SNRPN:24958738-24958868_24920010-24920124_24962113-24962209	SNRPN	MB
DLG3:70497180-70497221_70495407-70495453_70498519-70498558	DLG3	MB
MAGI1:65375745-65375945_65364852-65364946_65379260-65379554	MAGI1	MB
MARK2:63903986-63904354_63903060-63903158_63904785-63905043	MARK2	MB
WNK1:879573-880031_877093-878361_880720-880814	WNK1	MB
WNK1:879573-880031_877093-878361_881691-881789	WNK1	MB
OSBPL8:76459859-76459895_76450850-76450988_76487509-76487618	OSBPL8	MB
PPIP5K2:103186320-103186439_103184671-103184744_103190841-103190982	PPIP5K2	MB
CDH24:23051970-23052083_23049821-23049943_23052472-23052609	CDH24	MB
SLC35B1:49707343-49707444_49706964-49707068_49707729-49707949	SLC35B1	MB
TRRAP:98945747-98945800_98942948-98943017_98948220-98948340	TRRAP	MB
SDK2:73380894-73380950_73379447-73379549_73383875-73384011	SDK2	MB
MYH10:8576643-8576669_8569719-8569812_8577235-8577338	MYH10	MB
MYH10:8576643-8576831_8569719-8569812_8577235-8577338	MYH10	MB
MAP3K4:161098278-161098427_161097079-161097176_161101891-161101992	MAP3K4	MB
MBNL2:97356796-97356849_97346803-97347067_97357481-97357635	MBNL2	MB
STRADA:63723298-63723326_63714005-63714108_63726637-63726695	STRADA	MB
WASF3:26676549-26676724_26671871-26671989_26680034-26680201	WASF3	MB
PIGX:196726655-196726771_196722414-196722556_196727922-196728037	PIGX	MB
HNRNPA1:54283063-54283234_54282799-54282874_54283811-54283967	HNRNPA1	MB
TTC7A:46958495-46958552_46956838-46957007_46974972-46975103	TTC7A	MB
FUBP3:130580659-130581513_130579580-130579764_130595482-130595588	FUBP3	MB
NUCB2:17286634-17286713_17282788-17282943_17295323-17295467	NUCB2	MB
NUCB2:17286634-17286717_17282788-17282943_17295323-17295425	NUCB2	MB
COMMD6:75527813-75527851_75526435-75526639_75530113-75530266	COMMD6	MB
MBD1:50275370-50275444_50275128-50275245_50275599-50275728	MBD1	MB
MPP3:43832077-43832251_43831881-43831943_43832760-43832819	MPP3	MB
ZNF618:114028910-114028972_114016694-114016784_114032647-114032723	ZNF618	MB
EWSR1:29274265-29274282_29273737-29273864_29278029-29278216	EWSR1	MB
EWSR1:29274268-29274282_29273737-29273864_29278029-29278216	EWSR1	MB
DLGAP4:36465265-36465367_36461746-36462599_36496704-36497066	DLGAP4	MB
TEAD2:49355959-49355970_49355302-49355419_49357251-49357314	TEAD2	MB
DVL1:1337018-1337055_1336411-1336515_1337976-1338183	DVL1	MB
RACK1:181243254-181243405_181242249-181242345_181243691-181243904	RACK1	MB
RPS6KB2:67432353-67432492_67431367-67431515_67432599-67432657	RPS6KB2	MB
UBAP2:34011627-34011664_33996477-33998864_34017049-34017189	UBAP2	MB
CITED1:72305302-72305422_72302809-72302934_72305824-72305892	CITED1	MB
SCRIB:143791666-143791740_143791388-143791440_143791875-143791913	SCRIB	MB
SLC38A10:81250070-81250093_81246884-81247061_81251492-81251612	SLC38A10	MB
RPS24:78037439-78037441_78037193-78037304_78037964-78037982	RPS24	MB
RIMS2:103927842-103927889_103921671-103921784_103931262-103931393	RIMS2	MB
TCF3:1615285-1615520_1612206-1612433_1615685-1615804	TCF3	MB
GAK:859362-859493_851749-851974_859605-859722	GAK	MB
UBTF:44212344-44212454_44211872-44212006_44212818-44212939	UBTF	MB
RPS6KB2:67432356-67432492_67431367-67431515_67432599-67432657	RPS6KB2	MB
TBC1D1:38053106-38053225_38049617-38049898_38054198-38054338	TBC1D1	MB
CTNNB1:41224190-41224321_41224020-41224081_41224525-41224711	CTNNB1	MB
TBC1D1:38051899-38052060_38049617-38049898_38054198-38054338	TBC1D1	MB
OSBPL8:76459859-76459895_76450900-76450979_76487509-76487618	OSBPL8	MB
KAT6A:42049620-42049707_42048377-42049302_42051900-42051987	KAT6A	MB
ERBB4:211657950-211657994_211657596-211657828_211665322-211665354	ERBB4	MB
LYRM1:20902486-20902717_20900449-20900535_20915555-20915714	LYRM1	MB
AGAP1:236014805-236014879_235968461-235968623_236036560-236036697	AGAP1	MB
OGDH:44656318-44656362_44647656-44647759_44666735-44666851	OGDH	MB
ACAP2:195295196-195295300_195294718-195294811_195295707-195295892	ACAP2	MB
CLIP1:122347375-122347479_122340752-122341697_122352725-122352786	CLIP1	MB
SFT2D1:166331385-166331407_166330160-166330247_166342418-166342547	SFT2D1	MB
KIF21B:200983056-200983094_200980959-200981096_200984858-200984972	KIF21B	MB
JKAMP:59484990-59485116_59484442-59484593_59486730-59486804	JKAMP	MB
CHL1:398227-398385_394692-394872_399016-399148	CHL1	MB
VAV2:133769417-133769503_133768441-133768596_133770377-133770501	VAV2	MB
NSFL1C:1455714-1455719_1454966-1455132_1458199-1458274	NSFL1C	MB
PI4KB:151324745-151324917_151315572-151316509_151326171-151326373	PI4KB	MB
NHSL1:138441983-138442114_138430392-138433680_138447000-138447193	NHSL1	MB
TCERG1:146481150-146481200_146480027-146480094_146482591-146482727	TCERG1	MB
PTPRD:8526627-8526644_8524924-8525035_8528590-8528779	PTPRD	MB
BICD1:32338786-32338979_32337498-32337706_32367669-32367745	BICD1	MB
CXXC5:139679847-139679940_139648924-139649009_139680363-139680556	CXXC5	MB
DENND4C:19336686-19336832_19336269-19336414_19340991-19341114	DENND4C	MB
AFTPH:64581190-64581273_64579485-64579546_64585421-64585545	AFTPH	MB
NLGN3:71148846-71148905_71147549-71148206_71153476-71153536	NLGN3	MB
ENSG00000288534:57806461-57806478_57805881-57806035_57806914-57806983	ENSG00000288534	MB
FHL1:136209243-136209442_136208454-136208641_136209870-136211322	FHL1	MB
FHL1:136209340-136209442_136208454-136208641_136209870-136211298	FHL1	MB
MPDZ:13143466-13143564_13139986-13140149_13147547-13147658	MPDZ	MB
NFASC:204950557-204950574_204944225-204944406_204952010-204952116	NFASC	MB
NLGN3:71148846-71148905_71147549-71148206_71155213-71155363	NLGN3	MB
VPS13C:61864641-61864820_61863439-61863528_61868658-61868773	VPS13C	MB
RAB11FIP2:118033982-118034041_118015064-118015110_118038971-118039440	RAB11FIP2	MB
CAMK2D:113502936-113502977_113500462-113500511_113509637-113509675	CAMK2D	MB
GRIA2:157361010-157361124_157359895-157360143_157361537-157361652	GRIA2	MB
SIRT2:38898379-38898425_38893818-38893867_38899505-38899618	SIRT2	MB
SEC31A:82861631-82861708_82857688-82857764_82863317-82863392	SEC31A	MB
DDHD1:53103031-53103051_53093315-53093444_53103682-53103856	DDHD1	MB
RUBCN:197699187-197699231_197696953-197697049_197700612-197701146	RUBCN	MB
NRXN1:50925938-50925952_50922657-50922687_51027501-51029194	NRXN1	MB
ITSN1:33802430-33802444_33799807-33799929_33810974-33811222	ITSN1	MB
TMEM184B:38222642-38222662_38221144-38221710_38224784-38224979	TMEM184B	MB
MAP4K4:101863821-101864051_101859642-101859864_101864929-101865003	MAP4K4	MB
DNAJC13:132537158-132537266_132530997-132531097_132538175-132538508	DNAJC13	MB
CRTC2:153948834-153948900_153948457-153948644_153949114-153949384	CRTC2	MB
BSG:577774-578121_572595-572701_579499-579629	BSG	MB
MAGI1:65375745-65375948_65364852-65364946_65379260-65379554	MAGI1	MB
TSC2:2077598-2077726_2076490-2076585_2079034-2079196	TSC2	MB
KALRN:124637208-124637303_124633848-124633953_124650807-124650938	KALRN	MB
TSC2:2077598-2077726_2076490-2076585_2079031-2079196	TSC2	MB
TMEM45A:100519462-100519608_100492650-100492928_100555208-100555401	TMEM45A	CPG
TMEM45A:100519533-100519608_100492659-100492928_100555208-100555401	TMEM45A	CPG
CCDC91:28225795-28225861_28190445-28190641_28257201-28257245	CCDC91	CPG
RALGPS2:178892230-178892307_178889641-178889696_178893918-178894024	RALGPS2	CPG
ARHGEF10L:17634548-17634562_17632320-17632466_17634834-17635016	ARHGEF10L	CPG
NDUFV3:42903182-42904276_42896926-42897047_42908863-42909105	NDUFV3	CPG
MYH14:50224154-50224177_50223246-50223349_50225584-50225677	MYH14	CPG
CD44:35198121-35198246_35189834-35190065_35214851-35214914	CD44	CPG
CD44:35211246-35211449_35189834-35189972_35214851-35214861	CD44	CPG
CD44:35211246-35211449_35189834-35190065_35214851-35214861	CD44	CPG
RAC1:6398662-6398718_6391923-6392041_6400125-6400188	RAC1	CPG
MAP2:209723595-209723687_209709913-209710254_209725708-209725790	MAP2	CPG
ENAH:225504991-225505053_225500991-225501070_225507950-225508017	ENAH	CPG
TMEM198B:55831257-55831349_55829959-55831083_55832958-55833014	TMEM198B	CPG
EPB41L2:130878104-130878250_130869562-130870126_130885095-130885268	EPB41L2	CPG
OSBPL6:178339672-178339764_178338990-178339094_178349223-178349389	OSBPL6	CPG
DDR1:30885625-30885680_30881065-30881125_30888687-30888814	DDR1	CPG
ABLIM1:114447880-114448026_114445311-114445403_114451623-114451671	ABLIM1	CPG
ARFGAP2:47172710-47172751_47172280-47172333_47173425-47173482	ARFGAP2	CPG
SERPINA1:94388560-94388660_94382591-94383241_94390456-94390662	SERPINA1	CPG
SERPINA1:94388560-94388663_94382591-94383241_94390456-94390650	SERPINA1	CPG
MEG3:100835739-100835879_100829033-100831534_100836166-100836212	MEG3	CPG
INF2:104715284-104715340_104714202-104714856_104718794-104719603	INF2	CPG
KIAA1217:24542693-24542770_24536773-24536893_24544980-24545103	KIAA1217	CPG
ARHGAP17:24927684-24927732_24919394-24920260_24930783-24931160	ARHGAP17	CPG
VPS39:42192066-42192098_42191495-42191560_42199895-42199961	VPS39	CPG
DENND5B:31499606-31499671_31495809-31495919_31590705-31591012	DENND5B	CPG
FGFR1:38423025-38423175_38421796-38421941_38424508-38424699	FGFR1	CPG
CCDC50:191375062-191375589_191369918-191370036_191380158-191380274	CCDC50	CPG
CD44:35198121-35198246_35189834-35190065_35208104-35208206	CD44	CPG
CD44:35206112-35206243_35189834-35190065_35208104-35208137	CD44	CPG
CD44:35209965-35210054_35189834-35190065_35211245-35211253	CD44	CPG
STOX2:184011587-184011635_184010772-184011423_184017088-184017443	STOX2	CPG
RAPGEF1:131603961-131604053_131602060-131602149_131619050-131619206	RAPGEF1	CPG
TCAF1:143881923-143882099_143876107-143876622_143885209-143885370	TCAF1	CPG
STON2:81324017-81324187_81276900-81278739_81370987-81371185	STON2	CPG
NEIL1:75347835-75347999_75347434-75347473_75348883-75349339	NEIL1	CPG
MEG3:100832512-100832641_100830604-100831534_100836166-100836300	MEG3	CPG
KIAA1217:24542693-24542770_24533069-24533237_24544980-24545103	KIAA1217	CPG
SLK:104010816-104010908_104008176-104008356_104018159-104018289	SLK	CPG
FGFR2:121518682-121518829_121517318-121517463_121519978-121520169	FGFR2	CPG
TBRG1:124626473-124626609_124625670-124625903_124626903-124627050	TBRG1	CPG
SEZ6L2:29872705-29872743_29872408-29872526_29873239-29873431	SEZ6L2	CPG
MACF1:39480920-39481030_39479797-39480009_39484600-39484730	MACF1	CPG
MAPK3:30115595-30115645_30114545-30114708_30116635-30116790	MAPK3	CPG
YAP1:102209517-102209564_102205892-102206086_102223621-102223752	YAP1	CPG
PACRGL:20724808-20724888_20713431-20713539_20727284-20727397	PACRGL	CPG
RPS24:78037439-78037441_78037193-78037304_78040203-78040225	RPS24	CPG
RAPGEF1:131603961-131604053_131602060-131602149_131604930-131605188	RAPGEF1	CPG
MEG3:100835736-100835879_100831420-100831534_100836166-100836300	MEG3	CPG
NEDD4L:58335478-58335537_58333817-58333892_58341037-58341169	NEDD4L	CPG
MYEF2:48151100-48151171_48149162-48149371_48151472-48151571	MYEF2	CPG
SEPTIN4:58531480-58531551_58526681-58526978_58531960-58532066	SEPTIN4	CPG
FGFR3:1802914-1803064_1801834-1802025_1803691-1803836	FGFR3	CPG
YAP1:102209517-102209564_102205892-102206074_102223621-102223752	YAP1	CPG
BAIAP2:81110914-81110959_81108474-81108509_81115769-81116224	BAIAP2	CPG
RGL2:33297214-33297343_33297031-33297115_33298454-33298810	RGL2	CPG
DNM2:10796061-10796199_10795371-10795439_10797379-10797518	DNM2	CPG
CA12:63328098-63328130_63327148-63327233_63338818-63338945	CA12	CPG
BAIAP2:81110914-81110955_81108474-81108509_81115769-81116225	BAIAP2	CPG
ADAM22:88184292-88184402_88181957-88182024_88186614-88186701	ADAM22	CPG
ANKS1A:34972581-34972643_34970009-34970166_34981689-34981986	ANKS1A	CPG
RHOC:112705100-112705123_112703643-112703806_112707077-112707102	RHOC	CPG
COA1:43650493-43650712_43648599-43648652_43729428-43729489	COA1	CPG
COA1:43650612-43650712_43647227-43648652_43729428-43729474	COA1	CPG
NUMA1:72012401-72012442_72010785-72010854_72012894-72016260	NUMA1	CPG
PICALM:85978070-85978093_85976622-85976682_85981128-85981228	PICALM	CPG
PCYT2:81907204-81907257_81906759-81906898_81907553-81907598	PCYT2	CPG
NF2:29683020-29683079_29681438-29681601_29694751-29694811	NF2	CPG
NT5C3B:41835588-41835682_41835202-41835272_41835858-41835957	NT5C3B	CPG
ESYT2:158752781-158752843_158749648-158749723_158759485-158759581	ESYT2	CPG
FANCC:95186501-95186645_95172036-95172147_95240648-95240743	FANCC	CPG
CPLANE2:16232893-16233017_16232509-16232646_16233611-16233764	CPLANE2	CPG
BTN2A1:26462797-26462897_26459480-26459828_26463243-26463525	BTN2A1	CPG
UPF3B:119840646-119840684_119838366-119838527_119841075-119841258	UPF3B	CPG
TCAF1:143881923-143882099_143876107-143876622_143882735-143882883	TCAF1	CPG
SLAIN2:48394576-48394653_48383646-48383784_48420124-48420443	SLAIN2	CPG
CRAT:129108899-129109277_129107813-129108077_129110482-129110747	CRAT	CPG
CD44:35198121-35198246_35189834-35190065_35204511-35204640	CD44	CPG
FLNB:58141858-58141929_58138281-58138529_58142649-58142752	FLNB	CPG
RGL2:33297214-33297343_33297031-33297115_33297930-33297993	RGL2	CPG
USO1:75795336-75795356_75793689-75793901_75799621-75799732	USO1	CPG
FLNB:58141858-58141896_58138281-58138529_58142649-58142752	FLNB	CPG
TCF7L2:113160619-113160691_113158020-113158069_113165554-113165972	TCF7L2	CPG
TCF7L2:112964556-112964624_112951482-112951607_113040024-113040126	TCF7L2	CPG
