splicing_event	histology	type
HM13:31568078-31568280_31566209-31566295_31569119-31569541	GNG	skipping
AGAP3:151120520-151120745_151119986-151120145_151123793-151123850	GNG	skipping
RPN2:37238402-37238449_37236579-37236709_37241302-37241619	GNG	skipping
DLGAP4:36499242-36499321_36496704-36497066_36499587-36499676	GNG	skipping
GRB10:50705140-50705323_50703820-50703908_50755886-50756056	GNG	skipping
PTPRF:43612768-43612800_43609382-43609498_43613617-43613715	GNG	skipping
TPM3:154171413-154171488_154170648-154170711_154172028-154172104	GNG	skipping
SYNGAP1:33442453-33442494_33441580-33441759_33442888-33443960	GNG	skipping
AP2A1:49802534-49802599_49801980-49802141_49802948-49803005	GNG	skipping
PTPRA:2975215-2975241_2964860-2965202_2986764-2986849	GNG	skipping
SLC66A2:79930228-79930311_79919183-79919400_79933968-79934022	GNG	skipping
ATP2B1:89598590-89598743_89588048-89591295_89599116-89599299	GNG	skipping
ATP2B1:89598657-89598743_89590527-89591295_89599116-89599299	GNG	skipping
ACTN1:68878458-68878520_68877081-68877240_68878988-68879069	GNG	skipping
ACTN1:68878458-68878523_68877081-68877240_68878988-68879069	GNG	skipping
TPM1:63061713-63061788_63060868-63061273_63062214-63062277	GNG	skipping
FMNL1:45246505-45246604_45246209-45246330_45246866-45247318	GNG	skipping
ATP1B3:141902136-141902227_141876615-141876910_141903619-141903748	GNG	skipping
HM13:31568078-31568224_31566209-31566295_31569119-31569326	GNG	skipping
DBN1:177459603-177459740_177459097-177459268_177460431-177460555	GNG	skipping
DENND1A:123387730-123387858_123383654-123383913_123403401-123403490	GNG	skipping
SLC66A2:79930228-79930311_79919183-79919400_79943328-79943462	GNG	skipping
R3HDM2:57272453-57272554_57269751-57269994_57280357-57280530	GNG	skipping
R3HDM2:57288857-57288910_57283823-57284056_57289008-57289040	GNG	skipping
MYCBP2:77129156-77129230_77126317-77126542_77139195-77139336	GNG	skipping
GRB10:50705140-50705323_50703820-50703908_50732271-50732368	GNG	skipping
ANXA7:73396044-73396109_73388311-73388414_73396518-73396583	GNG	skipping
TACC2:122229346-122229486_122227836-122228008_122237394-122237538	GNG	skipping
B3GALNT1:161089944-161090062_161083882-161086788_161101138-161101233	GNG	skipping
AGFG1:227550059-227550106_227536954-227536993_227551958-227552117	GNG	skipping
AP1B1:29329712-29329720_29327679-29328895_29330377-29330532	CPG	inclusion
PARP6:72250845-72250957_72250019-72250092_72251206-72251255	CPG	inclusion
SNAP91:83556143-83556245_83552879-83554285_83560103-83560208	CPG	inclusion
ANXA6:151110627-151110644_151109752-151109846_151117126-151117180	CPG	inclusion
ARAP2:36119650-36119718_36117060-36117135_36121178-36121326	CPG	inclusion
SCRIB:143807552-143807614_143806923-143807013_143808608-143809025	CPG	inclusion
CTNND1:57789037-57789155_57761788-57762046_57791384-57791673	CPG	inclusion
CTNND1:57791385-57791673_57761796-57762046_57794009-57794081	CPG	inclusion
CTNND1:57791494-57791673_57761796-57762046_57794009-57794081	CPG	inclusion
KIF1B:10326111-10326359_10324757-10324895_10334519-10334638	CPG	inclusion
SCAMP5:75016593-75016749_75012676-75012805_75017869-75017925	CPG	inclusion
LSR:35262546-35262692_35258944-35259064_35266358-35266532	CPG	inclusion
PARP6:72250845-72250954_72250019-72250092_72251206-72251255	CPG	inclusion
MYO1B:191402632-191402718_191400381-191400468_191408114-191408189	CPG	inclusion
DDR1:30884538-30884710_30882927-30882983_30888687-30888814	CPG	inclusion
KIF21A:39330242-39330262_39326263-39326324_39330745-39330911	EPN	inclusion
ANAPC16:72223888-72224056_72215999-72216072_72230365-72230440	EPN	inclusion
PLD3:40365718-40365930_40365552-40365585_40366418-40366464	EPN	inclusion
AMZ2:68248640-68248705_68205480-68206238_68250187-68250470	EPN	inclusion
CLSTN1:9737498-9737554_9735884-9736042_9741093-9741256	EPN	inclusion
PPP1R7:241153476-241153604_241149575-241149708_241157806-241157862	EPN	inclusion
EPB41L1:36209488-36209898_36197858-36198041_36212271-36212376	EPN	inclusion
SYNE1:152130720-152130778_152121686-152122676_152132121-152132214	EPN	inclusion
PFKM:48135291-48135383_48134942-48135038_48137720-48137815	EPN	inclusion
PPP1R7:241150259-241150547_241149637-241149708_241153475-241153604	EPN	inclusion
YWHAZ:100951929-100952125_100948595-100948900_100952849-100952983	EPN	inclusion
TCF3:1612207-1612433_1609289-1611849_1615284-1615485	MB	inclusion
RPLP1:69453647-69453721_69452817-69453020_69455169-69455287	MB	inclusion
RNF130:179963471-179963564_179955066-179955669_179966805-179967010	MB	inclusion
PLD3:40365662-40365930_40348699-40348768_40366418-40366510	MB	inclusion
PLD3:40365718-40365930_40348684-40348768_40366418-40366464	MB	inclusion
CD9:6200384-6200565_6199874-6200072_6225425-6225534	MB	inclusion
CD9:6200422-6200565_6199714-6200072_6225425-6225534	MB	inclusion
ERC1:1112215-1112298_1110191-1110347_1115865-1116033	MB	inclusion
AP1G2:23566562-23566686_23566277-23566419_23567110-23567315	MB	inclusion
PLD3:40365553-40365930_40348671-40348724_40366418-40366464	MB	inclusion
PLD3:40365553-40365930_40348689-40348768_40366418-40366464	MB	inclusion
PLD3:40365718-40365930_40348506-40348724_40366418-40366464	MB	inclusion
GALE:23796509-23796586_23796150-23796265_23796696-23796782	MB	inclusion
GSTK1:143265261-143265296_143264547-143265092_143267616-143267733	MB	inclusion
LMBR1:156688030-156688191_156677790-156684163_156724111-156724178	MB	inclusion
EIF3K:38632601-38632678_38632025-38632496_38634992-38635102	MB	inclusion
TRAPPC6A:45165127-45165194_45164724-45164970_45178092-45178211	MB	inclusion
APP:26000015-26000182_25982343-25982477_26021839-26022042	MB	inclusion
LTA4H:96003838-96003920_96002959-96003064_96006313-96006409	MB	inclusion
LTA4H:96003838-96003981_96002989-96003064_96006313-96006409	MB	inclusion
DRAM2:111124742-111124881_111120515-111120693_111126226-111126294	MB	inclusion
SLC25A11:4939060-4939212_4938768-4938975_4939815-4940046	MB	inclusion
ZFAS1:49280485-49280570_49279103-49279208_49289044-49289260	MB	inclusion
METTL26:635518-635774_635280-635340_636093-636260	ATRT	inclusion
ADAM23:206609910-206610000_206596050-206596162_206617578-206621127	ATRT	inclusion
CLSTN1:9737498-9737554_9735884-9736042_9741093-9741256	ATRT	inclusion
BLOC1S1:55716933-55717005_55716291-55716717_55719090-55719223	ATRT	inclusion
MTCH2:47635545-47635571_47634671-47634734_47638698-47638791	ATRT	inclusion
PHC1:8933307-8933350_8932562-8932813_8933864-8933980	ATRT	inclusion
EPB41L1:36214357-36214440_36212271-36212376_36218875-36218962	ATRT	inclusion
PILRB:100353373-100354012_100353209-100353270_100355142-100355240	ATRT	inclusion
RBM4:66643450-66644140_66638934-66640123_66646026-66646452	ATRT	inclusion
MORF4L2:103678499-103678600_103675495-103677051_103685170-103685260	GNG	inclusion
MORF4L2:103678499-103678651_103675497-103677051_103685170-103685260	GNG	inclusion
EIF3H:116726016-116726172_116658248-116658980_116755665-116755797	GNG	inclusion
LDB2:16505840-16505982_16501540-16502873_16508534-16508686	GNG	inclusion
R3HDM2:57292572-57292667_57289008-57289040_57295398-57295507	GNG	inclusion
KIAA1191:176359481-176359567_176355570-176355749_176361601-176361761	GNG	inclusion
MORF4L2:103678499-103678620_103676825-103677051_103685170-103685260	GNG	inclusion
EPN1:55689297-55689371_55688869-55688994_55689866-55689915	GNG	inclusion
SUPT5H:39458294-39458305_39457674-39457740_39458817-39458887	GNG	inclusion
LDB2:16505840-16505982_16501540-16502873_16508540-16508686	GNG	inclusion
PHACTR1:13184799-13185005_13182518-13182686_13205814-13206136	GNG	inclusion
PHF14:10982372-10983159_10974834-10974945_10990702-10990847	GNG	inclusion
KIAA1217:24536774-24536893_24533069-24533237_24544980-24545103	GNG	inclusion
AMPD2:109625303-109625433_109620653-109621266_109625661-109625792	GNG	inclusion
OCIAD1:48857213-48857365_48851805-48851975_48860724-48861200	GNG	inclusion
UBXN11:26302813-26302918_26301693-26301722_26306591-26306609	GNG	inclusion
