method	algorithm	distance	feature_selection	k	stretch	delta_auc	p_val	cox_anova_pval	cox_anova_chisq	cluster.size	noisen	diameter	average.distance	median.distance	average.between	average.within	within.cluster.ss	clus.avg.silwidths	avg_sil	dunn	dunn2	entropy	wb.ratio	cluster_size_min	cluster_size_max	all_equal	cluster_qual	rank
pam_binary_15	pam	binary	dip_test	15	45	0.01	9.06e-01	NA	NA	134, 77, 201, 189, 69, 81, 107, 95, 120, 69, 64, 147, 34, 26, 24	0	0.93, 0.87, 0.85, 0.9, 1.01, 0.85, 0.85, 0.94, 0.88, 0.93, 0.89, 0.85, 0.92, 0.86, 0.81	0.64, 0.57, 0.54, 0.61, 0.7, 0.6, 0.56, 0.6, 0.57, 0.62, 0.6, 0.57, 0.6, 0.55, 0.57	0.63, 0.57, 0.54, 0.61, 0.7, 0.6, 0.56, 0.59, 0.57, 0.62, 0.6, 0.57, 0.6, 0.55, 0.57	0.71	0.59	255.68	-0.03, 0.17, 0.08, 0, -0.03, 0.05, 0.06, 0.09, 0.02, -0.01, 0.06, 0.01, 0.02, 0.17, 0.13	0.05	0.28	0.84	2.56	0.83	NA	NA	1.97e-83	61.11	11
pam_pearson_2	pam	pearson	dip_test	2	43	0.5	1.98e-02	NA	NA	643, 794	0	1.06, 1.02	0.66, 0.66	0.66, 0.66	0.74	0.66	320.66	0.11, 0.11	0.11	0.13	1.12	0.69	0.89	NA	NA	6.8e-05	61.09	12
pam_canberra_15	pam	canberra	dip_test	15	44	0.01	9.67e-01	NA	NA	100, 78, 205, 201, 62, 69, 112, 41, 95, 143, 53, 66, 154, 26, 32	0	0.93, 0.87, 0.87, 0.86, 1.01, 0.8, 0.86, 1, 0.94, 0.88, 0.93, 0.86, 0.86, 0.86, 0.81	0.65, 0.57, 0.54, 0.61, 0.7, 0.58, 0.56, 0.63, 0.6, 0.57, 0.62, 0.59, 0.58, 0.55, 0.58	0.64, 0.57, 0.54, 0.61, 0.7, 0.58, 0.56, 0.63, 0.59, 0.57, 0.62, 0.6, 0.58, 0.55, 0.58	0.71	0.59	254.36	-0.03, 0.17, 0.09, 0, -0.03, 0.08, 0.06, 0, 0.09, 0.03, 0.01, 0.06, 0.02, 0.18, 0.12	0.06	0.28	0.85	2.55	0.83	NA	NA	5.82e-93	60.87	13
pam_canberra_7	pam	canberra	dip_test	7	39	0.03	3.66e-02	NA	NA	113, 97, 281, 241, 148, 365, 192	0	0.96, 1.03, 0.95, 0.93, 0.94, 1.03, 0.92	0.62, 0.61, 0.59, 0.64, 0.61, 0.64, 0.62	0.61, 0.61, 0.59, 0.64, 0.61, 0.63, 0.61	0.72	0.62	280.04	0.1, 0.13, 0.06, 0, 0.04, 0.05, 0.08	0.07	0.24	1	1.85	0.86	NA	NA	3.26e-56	60.74	14
pam_binary_10	pam	binary	dip_test	10	42	0.01	3.67e-01	NA	NA	117, 85, 269, 211, 130, 54, 177, 144, 73, 177	0	0.94, 0.87, 0.93, 0.9, 0.89, 1.01, 0.91, 0.89, 0.93, 0.87	0.62, 0.58, 0.59, 0.62, 0.58, 0.72, 0.61, 0.6, 0.64, 0.59	0.62, 0.58, 0.59, 0.62, 0.58, 0.72, 0.62, 0.61, 0.64, 0.59	0.72	0.61	268.96	0.08, 0.16, 0.05, 0.02, 0.06, -0.01, 0.01, 0.05, 0.02, 0.03	0.05	0.26	0.86	2.21	0.85	NA	NA	1.74e-54	60.65	15
pam_pearson_11	pam	pearson	dip_test	11	43	0.01	5.81e-01	NA	NA	52, 78, 191, 198, 102, 133, 89, 108, 178, 162, 146	0	0.94, 0.87, 0.93, 0.93, 0.97, 0.95, 0.88, 0.95, 0.96, 0.96, 0.97	0.66, 0.57, 0.55, 0.61, 0.63, 0.61, 0.59, 0.63, 0.57, 0.62, 0.64	0.66, 0.58, 0.54, 0.61, 0.63, 0.61, 0.59, 0.63, 0.56, 0.62, 0.64	0.71	0.6	265.22	-0.01, 0.17, 0.09, 0.01, 0.02, 0.01, 0.12, -0.01, 0.08, 0.02, -0.01	0.05	0.25	0.94	2.33	0.84	NA	NA	1.32e-33	60.32	16
hc_canberra_3	hc	canberra	dip_test	3	49	0.77	2.27e-06	NA	NA	1426, 10, 1	0	1.11, 0.91, NA	0.7, 0.72, NaN	0.7, 0.72, NA	0.83	0.7	358.77	0.14, 0.12, 0	0.09	0.4	1.14	0.05	0.84	NA	NA	0e+00	60.24	17
km_euclidean_14	km	euclidean	dip_test	14	46	0.01	9.67e-01	NA	NA	75, 222, 132, 71, 56, 95, 46, 106, 80, 79, 68, 222, 64, 121	0	0.91, 1.06, 0.69, 0.87, 0.8, 0.81, 0.75, 0.79, 0.8, 0.94, 0.78, 0.86, 0.8, 0.92	0.66, 0.7, 0.5, 0.55, 0.53, 0.57, 0.57, 0.54, 0.56, 0.68, 0.57, 0.57, 0.57, 0.61	0.66, 0.7, 0.5, 0.56, 0.53, 0.57, 0.57, 0.53, 0.56, 0.68, 0.58, 0.57, 0.57, 0.61	0.71	0.59	256.35	-0.03, -0.06, 0.07, 0.17, 0.01, 0.03, 0.07, 0.06, 0.13, -0.08, 0.05, 0.07, 0.08, 0.01	0.04	0.25	0.77	2.52	0.83	NA	NA	1.37e-76	60.21	18
pam_pearson_8	pam	pearson	dip_test	8	40	0.03	2.11e-01	NA	NA	217, 98, 245, 155, 100, 252, 177, 193	0	1, 0.93, 0.93, 0.95, 0.96, 0.99, 0.98, 0.97	0.62, 0.61, 0.58, 0.63, 0.6, 0.6, 0.63, 0.65	0.62, 0.61, 0.58, 0.63, 0.6, 0.6, 0.63, 0.65	0.72	0.61	275.71	0.01, 0.12, 0.07, 0.01, 0.11, 0.06, 0.03, 0	0.05	0.26	0.98	2.03	0.86	NA	NA	1.67e-26	59.87	19
km_euclidean_11	km	euclidean	dip_test	11	44	0.01	5.81e-01	NA	NA	69, 255, 139, 103, 158, 63, 161, 80, 108, 285, 16	0	0.88, 1.06, 0.7, 0.92, 0.86, 0.84, 0.89, 0.8, 0.82, 0.89, 0.89	0.65, 0.71, 0.5, 0.62, 0.6, 0.57, 0.56, 0.56, 0.59, 0.59, 0.63	0.65, 0.71, 0.5, 0.63, 0.6, 0.57, 0.56, 0.56, 0.59, 0.59, 0.64	0.71	0.6	267.61	-0.02, -0.07, 0.13, 0.08, 0.01, 0.09, 0.02, 0.14, 0.04, 0.05, 0.03	0.04	0.25	0.81	2.22	0.84	NA	NA	7.77e-103	59.76	20
pam_binary_8	pam	binary	dip_test	8	40	0.02	2.11e-01	NA	NA	117, 95, 247, 232, 153, 250, 146, 197	0	0.94, 0.98, 0.93, 0.98, 1, 1.03, 0.89, 0.96	0.62, 0.6, 0.57, 0.64, 0.62, 0.64, 0.61, 0.61	0.62, 0.6, 0.57, 0.64, 0.62, 0.64, 0.61, 0.61	0.72	0.61	276.71	0.09, 0.14, 0.08, 0, 0.02, 0, 0.06, 0.03	0.05	0.24	0.99	2.03	0.86	NA	NA	2.2e-27	59.54	21
pam_spearman_14	pam	spearman	dip_test	14	44	0.01	1e+00	NA	NA	74, 83, 123, 182, 98, 113, 70, 81, 85, 129, 45, 72, 102, 180	0	0.97, 0.92, 0.82, 0.84, 0.87, 0.89, 1.01, 1.01, 0.92, 0.81, 0.94, 0.84, 0.89, 0.91	0.62, 0.58, 0.58, 0.54, 0.61, 0.57, 0.63, 0.69, 0.62, 0.57, 0.61, 0.56, 0.6, 0.59	0.62, 0.58, 0.58, 0.53, 0.61, 0.57, 0.63, 0.69, 0.62, 0.57, 0.62, 0.56, 0.6, 0.59	0.71	0.59	255.65	0.01, 0.15, 0.02, 0.07, 0.02, 0.05, 0, -0.04, 0.03, 0.05, 0.06, 0.14, 0.03, 0.03	0.05	0.28	0.87	2.57	0.83	NA	NA	3.36e-36	59.54	22
hc_pearson_2	hc	pearson	dip_test	2	51	0.01	1.98e-02	NA	NA	1436, 1	0	1.11, NA	0.7, NaN	0.71, NA	0.92	0.7	360.68	0.23, 0	0.12	0.66	1.3	0.01	0.77	NA	NA	1.42e-313	59.53	23
hc_spearman_2	hc	spearman	dip_test	2	51	0.01	1.98e-02	NA	NA	1436, 1	0	1.11, NA	0.7, NaN	0.71, NA	0.92	0.7	360.68	0.23, 0	0.12	0.66	1.3	0.01	0.77	NA	NA	1.42e-313	59.53	23
pam_canberra_11	pam	canberra	dip_test	11	43	0.01	6.99e-01	NA	NA	101, 86, 222, 191, 81, 118, 72, 178, 154, 79, 155	0	0.94, 0.96, 0.95, 0.86, 0.85, 0.86, 1.01, 0.91, 0.9, 0.93, 0.87	0.6, 0.59, 0.56, 0.61, 0.6, 0.57, 0.71, 0.6, 0.61, 0.64, 0.59	0.6, 0.59, 0.55, 0.62, 0.6, 0.57, 0.71, 0.61, 0.61, 0.65, 0.59	0.71	0.6	263.56	0.09, 0.15, 0.07, 0.01, 0.07, 0.06, -0.02, 0.01, 0.04, 0.01, 0.04	0.05	0.26	0.87	2.33	0.84	NA	NA	7.2e-39	59.48	25
pam_binary_14	pam	binary	dip_test	14	45	0.01	8.13e-01	NA	NA	105, 80, 200, 190, 73, 81, 112, 95, 146, 78, 61, 179, 26, 11	0	0.93, 0.87, 0.85, 0.9, 1.01, 0.85, 0.86, 0.94, 0.89, 0.93, 0.86, 0.87, 0.83, 0.81	0.64, 0.57, 0.54, 0.61, 0.71, 0.6, 0.57, 0.6, 0.6, 0.64, 0.6, 0.59, 0.57, 0.65	0.63, 0.58, 0.54, 0.61, 0.7, 0.6, 0.57, 0.59, 0.6, 0.64, 0.6, 0.59, 0.57, 0.64	0.71	0.6	260.78	-0.02, 0.16, 0.09, 0, -0.03, 0.05, 0.05, 0.09, 0.01, -0.01, 0.05, 0.02, 0.1, -0.03	0.04	0.26	0.86	2.48	0.84	NA	NA	2.7e-82	59.39	26
pam_pearson_13	pam	pearson	dip_test	13	44	0.01	9.67e-01	NA	NA	83, 75, 187, 189, 94, 69, 116, 69, 83, 160, 112, 95, 105	0	0.94, 0.87, 0.88, 0.94, 0.85, 0.95, 0.95, 0.84, 0.93, 0.84, 0.92, 0.96, 0.92	0.63, 0.57, 0.54, 0.63, 0.61, 0.64, 0.58, 0.56, 0.63, 0.58, 0.62, 0.61, 0.55	0.63, 0.57, 0.54, 0.62, 0.62, 0.63, 0.57, 0.56, 0.63, 0.58, 0.62, 0.61, 0.55	0.71	0.59	258.34	0.01, 0.18, 0.1, -0.02, 0.03, 0.02, 0.04, 0.14, 0.02, 0.01, -0.01, 0.03, 0.07	0.05	0.26	0.94	2.5	0.83	NA	NA	1.26e-34	59.33	27
hc_pearson_4	hc	pearson	dip_test	4	49	0.49	1.26e-12	NA	NA	1426, 2, 8, 1	0	1.11, 0.71, 0.88, NA	0.7, 0.71, 0.72, NaN	0.7, 0.71, 0.74, NA	0.84	0.7	358.24	0.14, 0.19, 0.12, 0	0.11	0.41	1.15	0.05	0.83	NA	NA	0e+00	59.33	28
pam_pearson_15	pam	pearson	dip_test	15	44	0.01	9.67e-01	NA	NA	73, 74, 182, 151, 92, 59, 115, 69, 55, 109, 112, 102, 168, 1, 75	0	0.94, 0.87, 0.85, 0.9, 0.85, 0.94, 0.95, 0.84, 1, 0.81, 0.92, 0.89, 0.9, NA, 0.93	0.62, 0.57, 0.54, 0.59, 0.61, 0.62, 0.58, 0.56, 0.69, 0.58, 0.63, 0.6, 0.57, NaN, 0.63	0.62, 0.57, 0.53, 0.59, 0.61, 0.63, 0.57, 0.56, 0.69, 0.58, 0.63, 0.6, 0.57, NA, 0.64	0.71	0.59	254.98	0.01, 0.18, 0.09, 0.01, 0.03, 0.04, 0.04, 0.14, -0.02, 0.03, -0.01, 0.03, 0.04, 0, 0.03	0.04	0.25	0.88	2.57	0.83	NA	NA	6.31e-60	59.17	29
pam_canberra_6	pam	canberra	dip_test	6	38	0.07	4.45e-04	NA	NA	187, 103, 330, 249, 377, 191	0	1, 1.03, 0.94, 0.92, 1.05, 0.9	0.65, 0.62, 0.59, 0.64, 0.64, 0.61	0.66, 0.62, 0.59, 0.64, 0.64, 0.61	0.72	0.62	286.07	0.03, 0.12, 0.08, 0, 0.04, 0.08	0.06	0.23	0.99	1.72	0.87	NA	NA	5.6e-44	58.98	30
pam_spearman_15	pam	spearman	dip_test	15	44	0.01	9.94e-01	NA	NA	74, 90, 121, 182, 96, 111, 66, 77, 84, 138, 44, 71, 84, 184, 15	0	0.97, 0.98, 0.82, 0.84, 0.87, 0.89, 1.01, 1, 0.93, 0.81, 0.94, 0.81, 0.86, 0.91, 0.75	0.62, 0.6, 0.58, 0.54, 0.61, 0.57, 0.63, 0.69, 0.62, 0.57, 0.61, 0.56, 0.59, 0.59, 0.6	0.62, 0.6, 0.58, 0.53, 0.61, 0.56, 0.62, 0.69, 0.62, 0.58, 0.62, 0.56, 0.6, 0.59, 0.61	0.71	0.59	254.9	0.01, 0.11, 0.02, 0.07, 0.02, 0.05, 0.01, -0.04, 0.03, 0.04, 0.04, 0.14, 0.04, 0.03, 0.02	0.04	0.28	0.87	2.6	0.83	NA	NA	9.01e-58	58.97	31
pam_pearson_14	pam	pearson	dip_test	14	44	0.01	9.94e-01	NA	NA	82, 75, 186, 135, 92, 67, 115, 69, 60, 104, 93, 159, 110, 90	0	0.94, 0.87, 0.88, 0.83, 0.85, 0.95, 0.95, 0.84, 1, 0.92, 0.93, 0.9, 0.92, 0.96	0.63, 0.57, 0.54, 0.59, 0.61, 0.63, 0.58, 0.56, 0.69, 0.55, 0.63, 0.58, 0.62, 0.61	0.63, 0.57, 0.54, 0.58, 0.61, 0.63, 0.57, 0.56, 0.69, 0.55, 0.63, 0.58, 0.62, 0.6	0.71	0.59	255.36	0, 0.17, 0.08, 0.02, 0.03, 0.03, 0.04, 0.14, -0.03, 0.06, 0.02, 0.01, 0, 0.04	0.04	0.25	0.86	2.58	0.83	NA	NA	6.99e-29	58.83	32
pam_canberra_13	pam	canberra	dip_test	13	44	0.01	9.06e-01	NA	NA	115, 79, 208, 184, 74, 75, 112, 95, 172, 78, 73, 154, 18	0	0.93, 0.96, 0.91, 0.86, 1.01, 0.85, 0.86, 0.94, 0.91, 0.93, 0.89, 0.87, 0.76	0.64, 0.58, 0.54, 0.61, 0.7, 0.59, 0.56, 0.6, 0.6, 0.64, 0.61, 0.58, 0.55	0.63, 0.58, 0.54, 0.61, 0.7, 0.59, 0.56, 0.59, 0.6, 0.64, 0.61, 0.58, 0.56	0.71	0.6	259.72	-0.01, 0.16, 0.08, 0.01, -0.03, 0.07, 0.06, 0.09, 0.01, -0.01, 0.06, 0.03, 0.15	0.05	0.26	0.86	2.45	0.84	NA	NA	2.1e-61	58.78	33
pam_pearson_12	pam	pearson	dip_test	12	43	0.01	9.06e-01	NA	NA	240, 76, 188, 96, 64, 127, 73, 278, 120, 95, 5, 75	0	1.02, 0.87, 0.93, 0.92, 0.95, 0.95, 0.88, 0.88, 0.93, 0.96, 0.78, 0.93	0.63, 0.57, 0.54, 0.62, 0.64, 0.61, 0.57, 0.59, 0.63, 0.61, 0.65, 0.63	0.63, 0.57, 0.54, 0.62, 0.64, 0.6, 0.57, 0.59, 0.63, 0.61, 0.64, 0.63	0.72	0.6	263.4	-0.02, 0.18, 0.11, 0.03, 0.03, 0.02, 0.14, 0.06, 0.02, 0.04, 0.11, 0.04	0.06	0.24	0.96	2.28	0.84	NA	NA	2.72e-114	58.61	34
km_euclidean_13	km	euclidean	dip_test	13	47	0.01	9.67e-01	NA	NA	67, 273, 134, 61, 104, 49, 66, 147, 78, 49, 20, 99, 290	0	0.88, 1.06, 0.71, 0.78, 0.82, 0.78, 0.84, 0.79, 0.8, 0.93, 0.8, 0.79, 0.94	0.65, 0.71, 0.5, 0.54, 0.57, 0.58, 0.58, 0.54, 0.55, 0.68, 0.63, 0.59, 0.59	0.65, 0.71, 0.5, 0.54, 0.57, 0.58, 0.58, 0.54, 0.56, 0.68, 0.62, 0.59, 0.6	0.71	0.6	264.6	-0.02, -0.06, 0.11, 0.18, 0.03, 0.06, 0.07, 0.04, 0.14, -0.08, -0.03, 0.05, 0.04	0.04	0.25	0.8	2.33	0.84	NA	NA	1.45e-154	58.43	35
hc_spearman_3	hc	spearman	dip_test	3	51	0.5	4.64e-16	NA	NA	1428, 8, 1	0	1.11, 0.91, NA	0.7, 0.74, NaN	0.71, 0.76, NA	0.84	0.7	359.09	0.15, 0.11, 0	0.08	0.4	1.12	0.04	0.84	NA	NA	0e+00	58.27	36
pam_canberra_9	pam	canberra	dip_test	9	40	0.02	3.66e-02	NA	NA	113, 97, 275, 225, 137, 271, 157, 161, 1	0	0.96, 1.03, 0.95, 0.93, 0.92, 1.05, 0.9, 0.96, NA	0.62, 0.61, 0.58, 0.63, 0.6, 0.65, 0.61, 0.59, NaN	0.61, 0.61, 0.58, 0.63, 0.6, 0.64, 0.61, 0.59, NA	0.72	0.61	276.56	0.09, -0.02, 0.02, -0.08, 0.04, -0.02, 0.04, 0.04, 0	0.01	0.23	0.92	2.02	0.86	NA	NA	1.21e-78	58.23	37
pam_spearman_11	pam	spearman	dip_test	11	43	0.02	9.06e-01	NA	NA	177, 89, 162, 109, 113, 97, 146, 82, 100, 290, 72	0	0.87, 0.92, 0.86, 0.87, 0.89, 1.01, 0.92, 0.88, 0.95, 0.98, 0.92	0.54, 0.59, 0.6, 0.61, 0.57, 0.71, 0.6, 0.57, 0.63, 0.61, 0.63	0.53, 0.59, 0.6, 0.62, 0.57, 0.7, 0.6, 0.57, 0.62, 0.61, 0.63	0.72	0.6	264.89	0.08, 0.14, 0.01, 0.02, 0.05, -0.04, 0.04, 0.13, 0.02, 0.02, 0.03	0.05	0.29	0.86	2.31	0.84	NA	NA	1.79e-58	57.77	38
pam_spearman_13	pam	spearman	dip_test	13	43	0.01	9.67e-01	NA	NA	74, 82, 124, 180, 42, 97, 113, 142, 82, 112, 73, 91, 225	0	0.97, 0.92, 0.84, 0.84, 0.83, 0.87, 0.89, 1.03, 1.01, 0.81, 0.84, 0.86, 0.98	0.62, 0.58, 0.58, 0.54, 0.6, 0.61, 0.57, 0.65, 0.69, 0.58, 0.56, 0.6, 0.59	0.62, 0.58, 0.58, 0.53, 0.62, 0.61, 0.57, 0.64, 0.7, 0.58, 0.56, 0.6, 0.59	0.71	0.6	258.75	0.01, 0.14, 0.02, 0.08, 0.07, 0.02, 0.05, 0, -0.04, 0.05, 0.14, 0.03, 0.03	0.05	0.24	0.87	2.48	0.83	NA	NA	1.11e-48	57.67	39
pam_binary_11	pam	binary	dip_test	11	42	0.01	8.13e-01	NA	NA	104, 85, 213, 211, 85, 111, 62, 173, 144, 73, 176	0	0.94, 0.87, 0.9, 0.9, 0.86, 0.85, 1.01, 0.91, 0.89, 0.93, 0.87	0.61, 0.58, 0.56, 0.62, 0.6, 0.57, 0.72, 0.61, 0.6, 0.64, 0.59	0.61, 0.58, 0.55, 0.62, 0.6, 0.57, 0.72, 0.61, 0.61, 0.64, 0.59	0.71	0.6	264.02	0.08, 0.16, 0.07, 0, 0.05, 0.06, -0.01, 0.01, 0.04, 0.02, 0.03	0.05	0.26	0.86	2.32	0.84	NA	NA	1.26e-44	57.62	40
pam_binary_12	pam	binary	dip_test	12	44	0.01	9.06e-01	NA	NA	106, 80, 200, 190, 74, 80, 113, 98, 169, 72, 67, 188	0	0.93, 0.87, 0.85, 0.9, 1.01, 0.85, 0.86, 0.94, 0.91, 0.93, 0.89, 0.87	0.64, 0.57, 0.54, 0.61, 0.71, 0.6, 0.57, 0.6, 0.61, 0.64, 0.6, 0.59	0.63, 0.58, 0.54, 0.61, 0.7, 0.6, 0.57, 0.6, 0.61, 0.64, 0.61, 0.59	0.71	0.6	263.03	-0.01, 0.17, 0.09, 0, -0.02, 0.05, 0.04, 0.09, 0.01, 0.02, 0.06, 0.03	0.04	0.26	0.86	2.4	0.84	NA	NA	1.75e-46	57.41	41
pam_spearman_12	pam	spearman	dip_test	12	43	0.01	9.06e-01	NA	NA	36, 89, 162, 106, 174, 111, 85, 130, 74, 252, 121, 97	0	0.92, 0.92, 0.86, 0.87, 0.87, 0.89, 1.01, 0.86, 0.84, 0.98, 0.93, 0.9	0.65, 0.59, 0.6, 0.61, 0.54, 0.57, 0.7, 0.6, 0.57, 0.6, 0.64, 0.61	0.64, 0.59, 0.6, 0.61, 0.53, 0.56, 0.7, 0.6, 0.57, 0.6, 0.64, 0.61	0.71	0.6	262.55	-0.01, 0.14, 0.01, 0.02, 0.09, 0.05, -0.04, 0.04, 0.13, 0.04, 0.01, 0.03	0.04	0.29	0.87	2.39	0.84	NA	NA	4.78e-55	56.91	42
pam_pearson_7	pam	pearson	dip_test	7	37	0.04	2.81e-01	NA	NA	223, 92, 254, 149, 429, 91, 199	0	1, 0.93, 0.99, 0.97, 1.05, 0.89, 1.02	0.63, 0.6, 0.59, 0.63, 0.63, 0.59, 0.65	0.62, 0.6, 0.58, 0.63, 0.63, 0.59, 0.65	0.72	0.62	281.65	0.02, 0.14, 0.06, 0.02, 0.05, 0.14, 0.03	0.07	0.25	0.98	1.82	0.86	NA	NA	5.45e-83	56.86	43
