RNA	S433	S482	S448
3.212865316	1.194836678	1.345332162	1.146759064
0.574597849	-0.912479739	-0.866362535	-0.567827488
-0.71789091	0.86922937	-0.427984094	0.15525567
1.394810683	1.047594282	0.584991876	0.379891149
	0.006746346	1.561353592	0.474676333
-0.379830594	0.426712591	1.485183389	0.828137638
1.724544923	1.204244854	0.388504835	0.994863725
-0.044600834	0.587802683	-0.121188608	0.341681376
-0.759594994	0.23900493	0.26053082	-0.004501872
-0.941939913	-0.748136009	-0.822904384	-1.358394999
-0.520581456	0.499604157	1.062645737	0.456328345
-0.744870348	-1.694339386	-1.566377916	-1.887766687
-0.106075442	0.002850259	0.567959971	-0.378748854
1.241523715	1.223703757	1.148445982	1.025500483
-0.906538649	-0.352026757	-0.363027835	-0.551445174
0.846668254	1.317186955	1.085632879	1.216713079
-0.11687366	-0.947365895	-0.91590298	-0.943050878
-1.129793575	-1.625586977	-1.842052423	-1.911475472
2.245917706	1.347328	1.384508026	1.751646732
-0.829117217	-0.911084838	-1.253470685	-0.983071257
	0.040292717	-0.26918743	1.799939624
-0.335804274	-0.416114901	-0.042191959	-0.608737707
0.926056629	-0.251264996	1.572156021	0.516817427
-0.310830042	1.143081727	1.371123241	1.153065724
-0.87457639	-1.42177161	-1.996210892	-1.226165042
-0.367643981	-1.113611064	-1.11978456	-1.163745343
-1.49579871	-0.322639058	-0.686647742	-0.775658679
	0.133354541	0.055107273	0.925371106
-0.044377969	-1.087665417	-0.954398135	-0.636799708
-0.635932607	0.316548681	0.76443209	0.315790715
-0.53987113	1.15463566	-1.063535732	-0.580474895
2.869562111	1.747239576	1.622795919	1.702808134
-1.091943255	-0.262471203	-0.523532621	-0.235556213
	1.083823238	-0.496185763	1.140020278
0.477671386	0.190485357	-0.063076379	0.125449896
	-0.479492386	1.439472301	0.397056387
	-0.244142987	0.442321407	-0.596813848
	-1.376331011	-0.946706418	-1.266642458
-1.411349698	-0.945221234	-0.244081934	-1.481552736
-0.203240566	0.868629385	0.276681339	0.789366727
-0.364349499	1.150633698	0.23339855	-0.135854379
0.109287895	-1.826260894	-1.081244746	-2.280003907
1.868041739	1.585817585	1.030352318	1.890462221
	-0.867921606	-1.408161152	-0.743638403
-1.08625113	-0.679169696	0.958935784	0.684330764
	0.797284492	0.865205615	1.130582491
0.232197761	0.671170754	0.943641167	0.557334524
0.09627976	0.547067822	0.058483543	0.992514296
-1.566632502	-0.721043785	-0.388099541	-0.774165934
-0.816655573	-0.54973513	-1.906432348	-0.653651897
-0.272964075	1.250800077	1.263782191	0.475812322
-0.143681956	-1.46445705	-1.261051375	-2.025551163
1.270161363	1.21958204	0.499113138	1.330794727
-0.172154684	-0.731050751	1.360268815	-1.131635578
-1.240900902	-2.171170705	-0.875975498	-1.579162396
-1.227750481	0.563588541	0.19404063	0.804000107
-2.059986095	0.685593144	0.137207078	0.071080147
1.264584796	1.316022333	0.913261873	1.55293793
-1.142337734	-0.440111014	-2.256877219	-1.064157844
	1.518530001	1.586045059	1.627751708
-2.278258676	-0.754526582	-0.868342761	-0.571547121
	0.494106644	0.196523463	-0.361356248
-0.501893578	0.347690099	0.518310005	0.069154129
	1.403875903	0.884554842	1.127695448
-0.228396047	-0.503236897	-0.210741952	-0.571784932
	1.752266507	0.734009266	1.768649993
-0.730577658	-1.416072792	-1.207868981	-0.821526676
-0.219471643	-0.672870493	-0.008185791	-0.87874311
-0.030129179	1.78195382	0.283001281	0.307312036
-0.624946842	-1.272168238	-1.409759875	0.186965918
-1.392878247			
	1.922636518	2.305219566	1.062509741
