gene,control-XX,control-FB,control-BR,control-BC,control-BS,NC_pub,NC_pub,NC_pub,SRR4787052
ENSG00000003509_NDUFAF7,5.81,4.67,6.13,10.67,3.96,15.70,10.46,2.48,14.62
ENSG00000003756_RBM5,35.14,140.04,92.93,95.44,47.88,145.51,266.49,40.60,142.26
ENSG00000003987_MTMR7,3.07,4.84,6.38,20.71,7.53,0.04,0.32,0.26,13.67
ENSG00000003989_SLC7A2,4.30,0.54,2.93,14.42,5.40,0.00,0.08,0.01,0.90
ENSG00000004059_ARF5,126.45,384.00,293.90,218.25,209.48,15.97,5.65,1.19,89.98
ENSG00000004139_SARM1,4.88,54.89,17.49,12.33,10.32,0.98,4.25,0.49,24.00
ENSG00000004142_POLDIP2,36.86,71.45,73.27,66.70,53.21,2.22,5.46,1.76,19.89
ENSG00000004399_PLXND1,74.71,77.92,73.52,14.12,53.31,21.67,72.94,28.08,39.64
ENSG00000004455_AK2,57.79,49.18,50.21,64.12,40.96,42.72,92.53,54.11,33.21
ENSG00000004468_CD38,1.97,3.50,2.38,1.14,0.89,0.02,0.02,0.05,3.62
ENSG00000004478_FKBP4,85.19,84.05,104.93,106.84,65.96,36.50,73.29,7.71,51.46
ENSG00000004487_KDM1A,15.14,97.40,32.12,48.73,23.87,24.09,19.80,5.90,64.51
ENSG00000004534_RBM6,25.67,56.34,35.33,52.03,25.36,126.16,134.93,41.37,50.87
ENSG00000004660_CAMKK1,18.87,25.06,85.41,53.71,25.39,1.02,1.67,0.09,9.43
ENSG00000004700_RECQL,6.96,0.96,0.41,9.21,4.13,1.83,5.08,2.00,3.47
ENSG00000004766_VPS50,6.20,1.67,3.14,18.11,5.63,9.28,14.99,2.83,17.81
ENSG00000004776_HSPB6,31.55,10.52,39.65,17.41,36.25,0.62,0.24,0.18,0.46
ENSG00000004777_ARHGAP33,30.34,345.19,66.91,44.56,20.35,2.97,1.06,0.02,59.03
ENSG00000004779_NDUFAB1,84.48,119.41,153.01,150.35,77.43,0.97,3.34,7.01,47.61
ENSG00000004799_PDK4,54.50,4.56,10.28,34.09,18.68,11.95,79.12,11.95,8.08
ENSG00000004809_SLC22A16,0.21,0.24,0.20,0.09,0.00,0.00,0.10,0.00,0.08
ENSG00000004838_ZMYND10,2.72,13.55,3.65,3.89,5.92,2.97,1.14,0.05,4.24
ENSG00000004846_ABCB5,0.00,0.02,0.01,0.00,0.08,0.00,0.01,0.00,0.00
ENSG00000004848_ARX,2.92,42.31,9.95,0.00,0.02,0.00,0.00,0.00,11.23
ENSG00000004864_SLC25A13,5.83,5.06,8.18,8.28,7.27,6.29,8.11,1.06,4.49
ENSG00000004866_ST7,10.34,34.85,18.26,33.40,14.84,1.06,2.09,0.59,25.65
ENSG00000004897_CDC27,10.39,6.60,9.34,38.52,13.34,63.38,41.74,41.23,18.31
ENSG00000004939_SLC4A1,1.20,2.07,0.72,0.54,0.47,0.00,0.62,0.10,1.91
ENSG00000004948_CALCR,0.00,0.05,0.08,0.02,0.09,0.06,0.26,0.00,0.07
ENSG00000004961_HCCS,5.41,8.58,17.87,21.49,7.91,0.78,4.41,4.05,3.67
ENSG00000004975_DVL2,16.08,42.45,36.55,38.00,26.17,6.14,7.49,1.30,27.15
ENSG00000005001_PRSS22,0.00,0.00,3.35,6.39,0.78,0.00,0.00,0.00,0.00
ENSG00000005007_UPF1,32.81,50.28,55.37,83.59,56.00,9.23,11.53,1.21,22.28
ENSG00000005020_SKAP2,7.15,2.06,6.74,6.04,5.61,17.11,59.78,11.76,2.12
ENSG00000005022_SLC25A5,107.91,186.87,258.12,273.91,153.29,2.26,24.99,39.48,43.87
ENSG00000005059_MCUB,6.66,18.11,1.90,0.69,1.69,2.81,2.64,3.79,14.76
ENSG00000005073_HOXA11,0.00,0.00,0.01,0.01,0.02,0.00,0.00,0.00,0.00
ENSG00000005075_POLR2J,75.03,61.23,52.08,63.93,47.48,2.09,3.14,3.51,17.08
ENSG00000005100_DHX33,3.23,8.12,8.24,12.71,4.31,0.31,4.50,0.38,5.98
ENSG00000005102_MEOX1,0.00,0.08,0.02,0.10,0.04,0.00,0.00,0.00,0.00
ENSG00000005108_THSD7A,1.21,1.17,0.53,3.16,1.95,0.00,0.02,0.00,13.58
ENSG00000005156_LIG3,3.22,18.28,14.76,14.44,6.20,0.62,12.54,1.46,23.15
ENSG00000005175_RPAP3,7.32,1.40,2.59,20.97,6.52,5.64,12.46,2.98,3.90
ENSG00000005187_ACSM3,0.83,0.17,0.07,0.09,0.06,0.31,0.46,0.20,0.18
ENSG00000005189_REXO5,0.82,2.74,1.70,2.16,0.80,8.94,0.93,0.83,4.25
ENSG00000005194_CIAPIN1,14.24,64.85,49.04,38.60,28.44,2.95,9.68,2.10,25.41
ENSG00000005206_SPPL2B,12.78,64.26,67.34,72.17,43.57,0.62,2.57,0.49,25.29
ENSG00000005238_FAM214B,20.00,37.96,23.88,15.47,21.32,2.18,4.20,1.26,18.17
ENSG00000005243_COPZ2,10.12,3.37,10.98,3.91,12.61,0.00,1.57,2.80,1.21
ENSG00000005249_PRKAR2B,15.85,54.67,21.40,16.82,5.49,0.00,0.02,0.04,55.15
ENSG00000005302_MSL3,13.51,26.31,19.93,25.90,11.01,23.35,37.48,10.96,14.46
ENSG00000005339_CREBBP,8.50,45.50,28.04,56.92,19.50,41.15,51.48,14.88,44.42
ENSG00000005379_TSPOAP1,41.25,89.37,104.16,73.55,38.02,1.09,1.14,0.37,48.38
ENSG00000005381_MPO,0.47,2.87,1.89,1.42,3.12,0.00,0.02,0.00,1.52
ENSG00000005421_PON1,0.23,0.21,0.27,1.09,0.65,0.00,0.00,0.00,0.18
ENSG00000005436_GCFC2,5.52,4.00,5.36,9.38,4.59,2.36,3.06,0.86,5.90
ENSG00000005448_WDR54,13.83,59.12,25.13,18.31,19.40,0.00,1.03,5.58,17.05
ENSG00000005469_CROT,3.19,3.88,3.24,8.59,3.36,1.03,5.29,0.78,3.24
ENSG00000005471_ABCB4,0.48,0.18,0.18,0.29,0.29,2.30,8.71,1.29,0.46
ENSG00000005483_KMT2E,17.85,17.81,8.77,59.90,17.55,37.58,106.56,25.85,61.25
ENSG00000005486_RHBDD2,152.34,151.29,330.90,107.43,158.45,0.36,3.06,1.59,33.68
ENSG00000005513_SOX8,74.50,46.17,90.50,27.07,50.92,0.03,0.00,0.00,17.11
ENSG00000005700_IBTK,9.43,2.62,5.03,17.90,9.54,3.45,23.58,3.94,9.83
ENSG00000005801_ZNF195,5.18,4.67,3.48,18.03,6.59,10.41,18.62,5.85,16.47
ENSG00000005810_MYCBP2,23.51,23.37,22.43,86.28,24.33,128.95,133.59,24.98,66.91
ENSG00000005812_FBXL3,24.45,9.19,14.04,64.18,21.83,4.67,13.14,3.32,18.22
ENSG00000005844_ITGAL,4.58,1.39,1.67,1.35,2.81,22.77,91.79,15.62,1.05
ENSG00000005882_PDK2,33.95,50.17,137.09,238.77,174.50,9.09,7.27,3.28,18.58
ENSG00000005884_ITGA3,7.75,28.99,21.35,37.11,20.37,0.34,0.04,0.03,21.59
ENSG00000005889_ZFX,3.09,1.70,1.97,9.61,6.03,5.00,22.84,4.13,10.90
ENSG00000005893_LAMP2,211.37,16.58,82.34,110.16,83.91,19.93,17.62,24.58,16.98
ENSG00000005961_ITGA2B,2.36,2.39,3.66,3.46,1.55,0.00,0.31,0.03,3.32
ENSG00000005981_ASB4,1.76,0.06,0.42,0.61,0.46,0.00,0.02,0.00,0.01
ENSG00000006007_GDE1,71.08,45.31,72.32,76.04,37.58,7.71,10.68,6.25,18.60
ENSG00000006015_C19orf60,64.44,72.04,116.34,101.11,86.31,5.16,13.01,7.59,31.78
ENSG00000006016_CRLF1,20.49,10.26,33.67,13.38,9.13,0.09,6.62,0.17,5.67
ENSG00000006025_OSBPL7,7.66,13.83,12.88,9.09,7.73,3.48,6.15,0.75,9.93
ENSG00000006042_TMEM98,57.27,47.82,59.25,15.37,50.05,0.02,0.00,0.00,11.90
ENSG00000006047_YBX2,0.28,9.84,2.46,0.20,0.40,0.00,0.01,0.00,2.96
ENSG00000006059_KRT33A,0.00,0.07,0.00,0.00,0.04,0.00,0.00,0.00,0.00
ENSG00000006062_MAP3K14,7.54,6.39,7.63,8.54,6.71,1.39,6.07,0.37,2.88
ENSG00000006071_ABCC8,10.57,27.30,49.71,78.47,24.90,0.00,0.00,0.00,15.85
ENSG00000006116_CACNG3,13.47,34.87,52.82,3.19,1.05,0.00,0.00,0.01,6.21
ENSG00000006118_TMEM132A,68.80,232.96,154.89,90.63,89.58,0.17,3.30,0.26,108.71
ENSG00000006125_AP2B1,54.17,219.98,101.14,120.15,59.43,8.78,16.20,3.64,97.09
ENSG00000006128_TAC1,3.68,14.46,19.72,1.72,3.64,0.00,0.00,0.00,5.80
ENSG00000006194_ZNF263,12.21,35.67,22.33,44.38,15.40,2.10,5.44,0.88,27.66
ENSG00000006210_CX3CL1,26.11,57.47,106.38,17.19,23.91,0.00,0.10,0.00,11.64
ENSG00000006282_SPATA20,31.97,47.12,60.68,68.20,54.31,2.71,10.38,3.39,18.87
ENSG00000006283_CACNA1G,1.87,26.62,22.98,50.35,20.95,0.05,0.00,0.00,19.98
ENSG00000006327_TNFRSF12A,5.60,5.69,3.79,3.02,9.70,1.18,1.95,0.18,2.81
ENSG00000006377_DLX6,0.08,5.87,1.72,0.00,0.06,0.00,0.00,0.00,2.10
ENSG00000006432_MAP3K9,1.30,12.99,19.98,19.56,7.33,4.29,1.08,0.53,11.95
ENSG00000006451_RALA,25.17,39.21,18.52,27.77,14.12,0.24,1.58,0.68,22.26
ENSG00000006453_BAIAP2L1,0.72,0.93,1.11,1.55,1.06,2.98,2.82,1.31,0.19
ENSG00000006459_KDM7A,1.88,1.04,2.12,10.27,3.28,4.79,6.72,2.88,4.04
ENSG00000006468_ETV1,3.48,9.75,22.55,226.22,45.31,0.03,6.57,4.10,14.99
ENSG00000006530_AGK,7.45,19.05,23.20,26.70,10.05,8.69,13.82,3.66,18.66
ENSG00000006534_ALDH3B1,2.07,1.11,3.15,1.41,6.15,1.17,3.16,0.96,0.27
ENSG00000006555_TTC22,0.35,0.38,0.38,0.07,0.14,0.00,0.00,0.00,0.31
ENSG00000006576_PHTF2,4.91,3.61,2.84,9.77,4.68,0.68,4.17,0.86,12.88
ENSG00000006606_CCL26,0.11,0.04,0.58,0.00,1.88,0.00,0.00,0.00,0.00
ENSG00000006607_FARP2,7.38,14.88,22.67,35.76,13.68,14.28,19.92,3.36,17.41
ENSG00000006611_USH1C,14.22,1.55,21.82,2.22,25.28,0.00,0.00,0.00,0.34
ENSG00000006625_GGCT,28.06,24.49,27.43,37.22,17.46,4.56,3.85,3.90,10.67
ENSG00000006634_DBF4,1.17,1.05,0.49,4.01,1.80,0.26,0.80,0.40,3.15
ENSG00000006638_TBXA2R,1.99,3.50,0.84,0.35,1.20,0.59,0.45,0.18,1.38
ENSG00000006652_IFRD1,25.73,17.07,18.46,27.29,15.44,14.22,43.94,12.07,23.19
ENSG00000006659_LGALS14,0.62,0.08,0.00,0.18,0.00,0.00,0.00,0.07,0.30
ENSG00000006695_COX10,3.53,9.16,7.77,8.70,4.24,4.75,3.63,0.65,6.74
ENSG00000006704_GTF2IRD1,5.46,26.09,8.54,10.10,8.78,1.23,1.30,0.81,13.78
ENSG00000006712_PAF1,40.50,61.79,48.32,52.16,34.36,4.28,20.04,4.17,19.14
ENSG00000006715_VPS41,19.94,19.61,19.24,26.46,12.30,10.96,27.15,5.47,28.62
ENSG00000006740_ARHGAP44,8.37,28.49,53.82,53.90,22.84,0.39,0.42,0.05,21.53
ENSG00000006744_ELAC2,18.79,37.63,33.52,37.60,28.75,9.36,18.58,2.66,20.12
ENSG00000006747_SCIN,9.92,1.42,1.00,4.34,10.70,45.04,87.43,46.57,0.82
ENSG00000006756_ARSD,2.81,7.13,4.55,2.64,3.96,1.56,0.99,0.53,3.94
ENSG00000006757_PNPLA4,5.07,5.15,8.56,8.34,5.99,0.00,2.01,0.29,1.33
ENSG00000006788_MYH13,0.01,0.03,0.01,0.00,0.00,0.01,0.00,0.00,0.00
ENSG00000006831_ADIPOR2,56.71,29.61,48.09,61.20,57.18,5.66,7.12,1.06,16.99
ENSG00000006837_CDKL3,4.59,2.31,2.50,4.34,2.64,0.00,0.97,0.39,4.65
ENSG00000007001_UPP2,1.06,1.37,1.40,1.58,0.42,0.00,0.03,0.01,2.44
ENSG00000007038_PRSS21,0.11,0.02,0.27,0.06,0.35,0.00,0.00,0.08,0.00
ENSG00000007047_MARK4,22.84,105.77,56.03,35.86,26.94,9.33,4.07,0.40,26.00
ENSG00000007062_PROM1,1.42,16.91,1.39,0.87,1.12,0.06,0.00,0.04,28.33
ENSG00000007080_CCDC124,119.82,177.47,141.04,83.86,80.61,0.00,1.12,0.67,29.54
ENSG00000007129_CEACAM21,2.55,1.01,0.92,1.43,5.94,7.46,6.17,1.71,0.79
ENSG00000007168_PAFAH1B1,45.23,96.64,79.27,170.56,57.44,88.34,49.90,38.07,147.01
ENSG00000007171_NOS2,0.39,1.67,2.60,1.07,1.18,0.13,0.02,0.00,0.71
ENSG00000007174_DNAH9,1.66,4.92,7.33,2.97,5.90,0.01,0.20,0.09,3.02
ENSG00000007202_KIAA0100,18.90,57.88,52.09,61.05,32.62,69.00,100.85,25.77,67.19
ENSG00000007216_SLC13A2,0.10,0.04,0.02,0.07,0.00,0.00,0.00,0.00,0.00
ENSG00000007237_GAS7,63.80,109.43,204.57,418.01,147.68,1.66,1.10,0.09,77.19
ENSG00000007255_TRAPPC6A,25.63,12.37,24.31,14.64,20.23,6.07,0.83,0.81,3.60
ENSG00000007264_MATK,21.93,55.52,46.03,4.87,7.48,1.39,2.31,0.20,20.17
ENSG00000007306_CEACAM7,0.00,0.02,0.01,0.67,0.00,0.00,0.03,0.00,0.00
ENSG00000007312_CD79B,5.08,0.21,0.38,1.02,0.97,0.00,0.06,0.00,0.22
ENSG00000007314_SCN4A,0.00,0.04,0.26,0.30,0.93,0.00,0.01,0.00,0.15
ENSG00000007341_ST7L,5.89,9.02,8.34,12.98,7.89,10.83,29.20,10.83,11.39
ENSG00000007350_TKTL1,1.80,2.35,0.05,0.11,0.48,0.00,0.18,0.11,0.38
ENSG00000007372_PAX6,7.46,13.93,30.97,153.38,41.60,0.11,0.30,0.20,12.48
ENSG00000007376_RPUSD1,14.57,32.74,28.63,25.89,23.41,0.00,1.21,0.24,10.71
ENSG00000007384_RHBDF1,6.73,8.96,13.81,12.85,12.60,0.00,0.16,0.06,3.54
ENSG00000007392_LUC7L,58.72,85.92,69.48,83.39,44.78,69.14,152.67,33.79,63.03
ENSG00000007402_CACNA2D2,1.86,10.78,18.48,29.54,13.94,0.00,0.84,0.05,3.30
ENSG00000007516_BAIAP3,13.91,24.13,71.52,1.39,7.13,0.23,0.17,0.01,7.81
ENSG00000007520_TSR3,55.05,87.66,74.86,54.10,50.50,1.54,3.84,2.21,29.16
ENSG00000007541_PIGQ,32.99,74.69,67.76,43.23,36.00,0.57,4.57,0.31,27.53
ENSG00000007545_CRAMP1,3.79,20.98,18.53,32.21,11.03,3.16,3.96,0.38,11.61
ENSG00000007866_TEAD3,2.09,2.19,1.96,1.48,2.77,0.00,0.07,0.00,0.65
ENSG00000007908_SELE,8.63,0.55,0.35,0.22,1.81,0.00,0.00,0.01,0.10
ENSG00000007923_DNAJC11,11.10,40.84,37.90,31.60,20.47,15.38,19.19,5.43,17.22
ENSG00000007933_FMO3,0.70,0.13,0.45,0.77,0.73,0.00,0.00,0.06,0.14
ENSG00000007944_MYLIP,13.12,19.73,13.22,12.43,6.92,1.38,14.25,1.83,18.71
ENSG00000007952_NOX1,0.06,0.03,0.04,0.07,0.04,0.00,0.00,0.04,0.00
ENSG00000007968_E2F2,0.15,0.86,0.07,0.00,0.14,0.00,0.41,0.01,0.28
ENSG00000008018_PSMB1,93.83,110.53,91.04,120.57,63.77,3.30,7.50,13.02,41.75
ENSG00000008056_SYN1,92.50,199.17,525.58,202.13,208.16,0.00,0.27,1.41,19.11
ENSG00000008083_JARID2,3.56,10.02,10.97,30.39,9.20,2.40,6.16,2.44,8.87
ENSG00000008086_CDKL5,3.51,12.93,7.53,6.96,2.82,7.33,3.58,0.96,36.41
ENSG00000008118_CAMK1G,7.74,16.03,44.93,3.72,5.33,0.00,0.13,0.00,5.15
ENSG00000008128_CDK11A,22.50,33.62,29.54,61.84,28.73,4.93,16.49,6.25,10.62
ENSG00000008130_NADK,20.51,44.82,39.25,37.24,21.20,2.69,5.47,1.93,22.38
ENSG00000008196_TFAP2B,0.00,0.00,1.42,6.50,0.71,0.00,0.00,0.00,0.00
ENSG00000008197_TFAP2D,0.11,0.16,0.02,0.00,0.00,0.00,0.00,0.02,0.09
ENSG00000008226_DLEC1,0.71,1.12,0.66,0.34,0.89,1.58,2.06,0.57,1.25
ENSG00000008256_CYTH3,10.21,49.48,32.20,27.53,13.75,4.77,7.22,0.67,36.24
ENSG00000008277_ADAM22,5.91,6.85,15.01,85.74,25.83,0.03,0.25,0.01,24.90
ENSG00000008282_SYPL1,51.41,22.46,41.81,37.78,42.04,6.24,6.77,5.14,10.99
ENSG00000008283_CYB561,8.54,41.50,36.37,11.11,8.43,2.85,1.50,0.32,16.61
ENSG00000008294_SPAG9,52.98,28.94,35.13,99.27,43.82,57.39,42.36,11.33,70.74
ENSG00000008300_CELSR3,5.82,65.57,31.84,46.73,23.82,0.50,0.45,0.25,28.53
ENSG00000008311_AASS,2.83,0.91,0.88,4.63,2.79,4.99,5.70,1.91,2.97
ENSG00000008323_PLEKHG6,0.01,0.17,0.03,0.04,0.31,0.00,1.09,0.14,0.07
ENSG00000008324_SS18L2,34.23,35.48,31.28,42.80,18.39,2.18,8.04,2.75,12.37
ENSG00000008382_MPND,11.71,30.87,25.33,9.45,13.97,4.89,0.87,0.59,14.43
ENSG00000008394_MGST1,127.41,10.56,37.42,111.07,81.60,0.00,0.77,0.05,4.35
ENSG00000008405_CRY1,7.35,13.16,11.67,41.09,12.32,1.94,3.29,1.35,12.71
ENSG00000008438_PGLYRP1,0.00,0.42,0.88,0.19,0.56,0.00,0.00,0.00,0.25
ENSG00000008441_NFIX,50.38,343.67,194.08,246.19,133.19,0.65,1.12,0.23,90.31
ENSG00000008513_ST3GAL1,5.16,34.80,9.31,3.91,5.15,9.94,12.76,5.51,38.77
ENSG00000008516_MMP25,0.16,3.41,1.18,1.03,1.85,0.00,0.22,0.04,0.44
ENSG00000008517_IL32,11.52,15.06,11.40,15.94,22.99,0.00,0.35,0.00,1.69
ENSG00000008710_PKD1,52.58,213.01,344.30,846.88,377.52,5.15,8.71,0.41,86.63
ENSG00000008735_MAPK8IP2,64.30,173.61,206.94,157.17,120.81,0.03,0.00,0.01,57.17
ENSG00000008838_MED24,48.91,142.85,87.10,95.96,50.11,14.63,24.18,5.44,58.05
ENSG00000008853_RHOBTB2,15.26,76.67,62.05,15.40,15.05,10.82,5.09,0.78,35.42
ENSG00000008869_HEATR5B,3.35,12.18,6.07,15.13,5.91,10.04,30.18,4.94,21.58
ENSG00000008952_SEC62,66.44,7.13,12.27,97.62,32.49,28.87,38.71,12.96,13.63
ENSG00000008988_RPS20,963.68,1442.84,515.70,513.84,482.27,107.59,183.81,259.16,483.00
ENSG00000009307_CSDE1,117.63,83.35,62.86,216.01,81.41,32.35,91.81,62.90,85.91
ENSG00000009335_UBE3C,7.06,29.29,31.60,41.40,14.96,14.71,22.01,2.77,37.65
ENSG00000009413_REV3L,4.81,4.59,3.20,21.08,9.38,20.87,7.26,2.20,30.44
ENSG00000009694_TENM1,0.43,1.13,0.48,24.68,6.34,0.00,0.01,0.00,12.94
ENSG00000009709_PAX7,0.27,0.25,1.28,0.00,0.20,0.00,0.00,0.00,0.07
ENSG00000009724_MASP2,0.15,1.34,2.56,7.37,1.80,0.14,0.82,0.11,0.29
ENSG00000009765_IYD,0.00,0.01,0.02,0.00,0.04,0.02,0.06,0.00,0.01
ENSG00000009780_FAM76A,3.92,3.07,5.80,6.94,3.16,0.89,3.54,0.36,3.82
ENSG00000009790_TRAF3IP3,2.07,0.40,0.78,1.80,1.04,25.19,28.55,7.89,0.35
ENSG00000009830_POMT2,11.92,20.83,21.99,20.43,11.51,11.26,16.68,6.61,13.07
ENSG00000009844_VTA1,16.99,36.76,16.11,37.01,12.84,11.17,15.31,5.86,32.17
ENSG00000009950_MLXIPL,6.82,1.19,23.86,42.68,18.02,41.91,59.10,9.13,0.20
ENSG00000009954_BAZ1B,17.90,13.24,11.67,44.65,15.25,14.33,17.67,5.66,12.02
ENSG00000010017_RANBP9,22.41,19.39,27.30,40.61,15.46,18.79,18.23,13.69,17.75
ENSG00000010030_ETV7,0.41,0.09,0.56,0.49,0.31,0.00,0.00,0.00,0.11
ENSG00000010072_SPRTN,4.08,1.71,2.15,4.67,2.47,1.79,5.49,0.97,4.62
ENSG00000010165_METTL13,10.53,19.95,19.37,24.43,12.30,3.08,8.36,3.56,8.56
ENSG00000010219_DYRK4,42.95,20.96,27.02,32.31,24.59,14.30,13.87,10.44,12.23
ENSG00000010244_ZNF207,48.74,62.45,51.32,85.49,36.81,141.11,279.68,103.75,83.25
ENSG00000010256_UQCRC1,134.23,269.71,319.70,303.88,276.74,0.70,5.09,3.63,83.58
ENSG00000010270_STARD3NL,28.96,49.88,40.91,32.82,19.68,1.50,4.37,1.80,28.04
ENSG00000010278_CD9,384.73,55.26,149.11,56.88,102.45,0.70,0.39,0.25,17.42
ENSG00000010282_HHATL,167.36,2.86,111.38,31.39,95.26,0.00,0.00,0.00,0.14
ENSG00000010292_NCAPD2,12.90,12.04,12.30,15.67,12.67,4.74,6.26,2.05,6.99
ENSG00000010295_IFFO1,16.86,20.20,40.33,49.25,27.23,5.95,20.53,8.09,7.92
ENSG00000010310_GIPR,1.24,0.42,2.87,1.58,0.72,0.00,0.38,0.03,0.16
ENSG00000010318_PHF7,1.87,5.10,9.01,10.77,4.22,1.54,1.38,0.13,2.62
ENSG00000010319_SEMA3G,6.80,5.09,10.26,46.64,16.76,0.00,0.09,0.00,2.05
ENSG00000010322_NISCH,31.40,127.41,167.25,391.14,160.97,4.69,9.41,1.41,64.28
ENSG00000010327_STAB1,58.95,19.53,9.77,11.94,33.84,69.44,170.22,97.17,9.82
ENSG00000010361_FUZ,26.62,34.03,37.82,27.72,34.66,2.02,2.51,0.60,9.64
ENSG00000010379_SLC6A13,2.39,6.10,9.52,1.75,6.40,0.00,0.03,0.00,3.36
ENSG00000010404_IDS,110.21,127.21,221.22,222.39,73.74,13.32,15.88,6.41,130.36
ENSG00000010438_PRSS3,11.29,4.17,49.14,52.31,38.86,0.00,0.00,0.00,0.61
ENSG00000010539_ZNF200,1.55,5.62,3.43,6.40,2.35,1.15,4.81,1.21,4.31
ENSG00000010610_CD4,12.42,7.22,11.82,5.73,18.52,39.75,39.75,25.43,1.79
ENSG00000010626_LRRC23,18.52,11.69,15.27,24.92,14.72,0.35,3.27,0.35,6.72
ENSG00000010671_BTK,3.15,0.86,1.36,1.67,2.49,33.10,47.14,9.19,1.01
ENSG00000010704_HFE,1.13,0.81,1.60,1.50,1.29,0.57,5.01,1.45,0.28
ENSG00000010803_SCMH1,9.79,39.67,17.84,17.69,11.63,10.63,13.80,2.97,28.86
ENSG00000010810_FYN,106.03,242.89,112.61,166.39,78.62,1.06,2.86,0.32,134.86
