sample	cluster	color
"BS_1TWCV047"	2	#2166ac
"BS_2SFTWNVE"	2	#2166ac
"BS_2Z1MKS84"	2	#2166ac
"BS_3F5PR9GS"	2	#2166ac
"BS_3MYEMXPQ"	2	#2166ac
"BS_3NWQXPQV"	2	#2166ac
"BS_4CP4T22V"	2	#2166ac
"BS_4D9DD103"	2	#2166ac
"BS_4PH1MBGR"	2	#2166ac
"BS_4W68NV3M"	2	#2166ac
"BS_5PJCHF6V"	2	#2166ac
"BS_5VQP0E6K"	2	#2166ac
"BS_61E80SD6"	2	#2166ac
"BS_77317DY4"	2	#2166ac
"BS_7C40TRCY"	2	#2166ac
"BS_7FWZ518S"	2	#2166ac
"BS_7XQRH69M"	2	#2166ac
"BS_81SP2HX4"	2	#2166ac
"BS_9M5XJ10G"	2	#2166ac
"BS_9NJHQE9F"	2	#2166ac
"BS_9NZ2D6AD"	2	#2166ac
"BS_9PB3XH5D"	2	#2166ac
"BS_9V633J1X"	2	#2166ac
"BS_A14Z8BBK"	2	#2166ac
"BS_A87NPZAP"	2	#2166ac
"BS_AHEFXG7W"	2	#2166ac
"BS_AM70R8RG"	2	#2166ac
"BS_AMZ70B6F"	2	#2166ac
"BS_BA6AZWB3"	2	#2166ac
"BS_BPWEFR89"	2	#2166ac
"BS_BSV07M7Z"	2	#2166ac
"BS_BVSW4GTG"	2	#2166ac
"BS_D144EJRQ"	2	#2166ac
"BS_DFWFBYSN"	2	#2166ac
"BS_E3BAT4C1"	2	#2166ac
"BS_EFE4YEK3"	2	#2166ac
"BS_ERWT0ZWE"	2	#2166ac
"BS_FKDQJJB5"	2	#2166ac
"BS_G00FHF3Q"	2	#2166ac
"BS_GCQFGDTX"	2	#2166ac
"BS_GNV89A5P"	2	#2166ac
"BS_GS1KR5PK"	2	#2166ac
"BS_HB03GSHF"	2	#2166ac
"BS_HD4EJYE3"	2	#2166ac
"BS_HE57E1RP"	2	#2166ac
"BS_HF3RNN2T"	2	#2166ac
"BS_HHPA8NJ2"	2	#2166ac
"BS_HTEPAKCM"	2	#2166ac
"BS_HZE3KYZ1"	2	#2166ac
"BS_HZRM07TW"	2	#2166ac
"BS_J1AB8PMA"	2	#2166ac
"BS_J71N7D09"	2	#2166ac
"BS_J8G4SH4Z"	2	#2166ac
"BS_JFB984RG"	2	#2166ac
"BS_JR5ATB7G"	2	#2166ac
"BS_JT82QGXF"	2	#2166ac
"BS_JZRM1S3T"	2	#2166ac
"BS_K3ER45RV"	2	#2166ac
"BS_K74PZET7"	2	#2166ac
"BS_K81DR8XG"	2	#2166ac
"BS_KN92S7YQ"	2	#2166ac
"BS_KVNGNETA"	2	#2166ac
"BS_M15PW2N0"	2	#2166ac
"BS_M86ECPHK"	2	#2166ac
"BS_N4B1SZZH"	2	#2166ac
"BS_NKEAAFMW"	2	#2166ac
"BS_NKRYMHEP"	2	#2166ac
"BS_NZ71XCG3"	2	#2166ac
"BS_QPPPGYP4"	2	#2166ac
"BS_QRDT19KS"	2	#2166ac
"BS_R439VVPK"	2	#2166ac
"BS_R6WNEEE4"	2	#2166ac
"BS_RCC8BXVE"	2	#2166ac
"BS_RD4D5F9F"	2	#2166ac
"BS_RSRPX3S8"	2	#2166ac
"BS_S1M423AB"	2	#2166ac
"BS_S69QZAJR"	2	#2166ac
"BS_SKGJ5SY9"	2	#2166ac
"BS_TA9WP4TH"	2	#2166ac
"BS_TE0GVDNG"	2	#2166ac
"BS_TYAYZ9ZW"	2	#2166ac
"BS_TZVFR600"	2	#2166ac
"BS_V72H4RQS"	2	#2166ac
"BS_V9HVBBDW"	2	#2166ac
"BS_VA5T4KAA"	2	#2166ac
"BS_VJVDJABP"	2	#2166ac
"BS_VMEX27TN"	2	#2166ac
"BS_VPBMDMQX"	2	#2166ac
"BS_VT6C6N6K"	2	#2166ac
"BS_VVFBW0YH"	2	#2166ac
"BS_W311713R"	2	#2166ac
"BS_W9AT0MR7"	2	#2166ac
"BS_WH5HDE0A"	2	#2166ac
"BS_Y8D1F5WW"	2	#2166ac
"BS_YEB88D32"	2	#2166ac
"BS_YETBN0RQ"	2	#2166ac
"BS_Z45HD492"	2	#2166ac
"BS_ZV68CES9"	2	#2166ac
"BS_ZXYDSBM9"	2	#2166ac
"BS_15ETQ0E4"	1	#fddbc7
"BS_31TF0P1N"	1	#fddbc7
"BS_850BAHH9"	1	#fddbc7
"BS_996ZS2A4"	1	#fddbc7
"BS_DHA5FMVW"	1	#fddbc7
"BS_GAGRGSSX"	1	#fddbc7
"BS_GJNCYABP"	1	#fddbc7
"BS_M4923M40"	1	#fddbc7
"BS_MMNRZ1EQ"	1	#fddbc7
"BS_N0877CX1"	1	#fddbc7
"BS_PGHK1JRW"	1	#fddbc7
"BS_QX12J6W1"	1	#fddbc7
"BS_S71RJ8DH"	1	#fddbc7
"BS_WVW3W6ZB"	1	#fddbc7
"BS_1HFK0SXV"	1	#fddbc7
"BS_78QX3XDF"	1	#fddbc7
"BS_7T1J3KET"	1	#fddbc7
"BS_8D0NYM46"	1	#fddbc7
"BS_ABYF92Z9"	1	#fddbc7
"BS_B53Z0T1Q"	1	#fddbc7
"BS_BHR08WGW"	1	#fddbc7
"BS_C0XFDP38"	1	#fddbc7
"BS_C3P5BC92"	1	#fddbc7
"BS_D5NQV7N5"	1	#fddbc7
"BS_E054DFJN"	1	#fddbc7
"BS_EMMF4PZX"	1	#fddbc7
"BS_GC3CH9TY"	1	#fddbc7
"BS_JX7S9MY7"	1	#fddbc7
"BS_KND4B5CW"	1	#fddbc7
"BS_NGY0TE6S"	1	#fddbc7
"BS_PRR8K9GE"	1	#fddbc7
"BS_YH05F9DB"	1	#fddbc7
"BS_ZF34SJGN"	1	#fddbc7
"BS_23W9EPFE"	1	#fddbc7
"BS_5JM573JC"	1	#fddbc7
"BS_6NTXGQAC"	1	#fddbc7
"BS_F4E8R9VY"	1	#fddbc7
"BS_MF47B9ZW"	1	#fddbc7
"BS_PQ7CQFYR"	1	#fddbc7
"BS_QF5VVZX5"	1	#fddbc7
"BS_052PZFMK"	1	#fddbc7
"BS_0RQ4P069"	1	#fddbc7
"BS_0VXZCRJS"	1	#fddbc7
"BS_0ZA67BBC"	1	#fddbc7
"BS_2EN3X6HB"	1	#fddbc7
"BS_2JP7RBMB"	1	#fddbc7
"BS_3AC3SRWH"	1	#fddbc7
"BS_45J79YTF"	1	#fddbc7
"BS_49CJNZ06"	1	#fddbc7
"BS_4PPHAQXF"	1	#fddbc7
"BS_4PWDGEB0"	1	#fddbc7
"BS_58YXHGAJ"	1	#fddbc7
"BS_5GNQC2FF"	1	#fddbc7
"BS_5VPM0F36"	1	#fddbc7
"BS_6DCSD5Y6"	1	#fddbc7
"BS_6M2053M0"	1	#fddbc7
"BS_7GJT4A6A"	1	#fddbc7
"BS_8ZS9F31R"	1	#fddbc7
"BS_8ZY4GST0"	1	#fddbc7
"BS_97M1E2DW"	1	#fddbc7
"BS_9CA93S6D"	1	#fddbc7
"BS_A0DYVX9J"	1	#fddbc7
"BS_BMMY0H73"	1	#fddbc7
"BS_C41DJZ1F"	1	#fddbc7
"BS_C6ZZ3FY5"	1	#fddbc7
"BS_C83TK159"	1	#fddbc7
"BS_DFGS950G"	1	#fddbc7
"BS_DRY58DTF"	1	#fddbc7
"BS_F0JB4EAK"	1	#fddbc7
"BS_FCDAH728"	1	#fddbc7
"BS_FX2P2WEG"	1	#fddbc7
"BS_FYRDYBMZ"	1	#fddbc7
"BS_G3NN392N"	1	#fddbc7
"BS_GXTFW99H"	1	#fddbc7
"BS_H97S5SQN"	1	#fddbc7
"BS_HWGWYCY7"	1	#fddbc7
"BS_JB43XBCQ"	1	#fddbc7
"BS_JQVAWTTM"	1	#fddbc7
"BS_JRYJGYC4"	1	#fddbc7
"BS_K17VQECG"	1	#fddbc7
"BS_KBEX4RT2"	1	#fddbc7
"BS_MB7WN0ZB"	1	#fddbc7
"BS_MDBT7S5Z"	1	#fddbc7
"BS_NB9XXBW6"	1	#fddbc7
"BS_NEVYM2FP"	1	#fddbc7
"BS_NPA6CZQF"	1	#fddbc7
"BS_NR3P3GN2"	1	#fddbc7
"BS_P9JP6JFA"	1	#fddbc7
"BS_PGK832G2"	1	#fddbc7
"BS_PS0P3QJ3"	1	#fddbc7
"BS_PXCPK5XS"	1	#fddbc7
"BS_PZVHMSYN"	1	#fddbc7
"BS_Q13FQ8FV"	1	#fddbc7
"BS_QB84TBA3"	1	#fddbc7
"BS_QNNX91SM"	1	#fddbc7
"BS_R5SNFB5B"	1	#fddbc7
"BS_R7NTZR4C"	1	#fddbc7
"BS_RCCN63K6"	1	#fddbc7
"BS_RX1YTZ7F"	1	#fddbc7
"BS_RXN5T5YT"	1	#fddbc7
"BS_SNVM7CZT"	1	#fddbc7
"BS_T1YHK6B7"	1	#fddbc7
"BS_T3DGY9J9"	1	#fddbc7
"BS_TV5B86ZD"	1	#fddbc7
"BS_TXZ7KHTQ"	1	#fddbc7
"BS_VVTHDRBD"	1	#fddbc7
"BS_W1385R8Y"	1	#fddbc7
"BS_W4DB5RP1"	1	#fddbc7
"BS_W4H1D4Y6"	1	#fddbc7
"BS_WH8G4VFB"	1	#fddbc7
"BS_X0XXN9BK"	1	#fddbc7
"BS_X4X1SFSE"	1	#fddbc7
"BS_XM1AHBDJ"	1	#fddbc7
"BS_XZM79E42"	1	#fddbc7
"BS_YDEVMD24"	1	#fddbc7
"BS_ZD5HN296"	1	#fddbc7
"BS_ZV1P6W9C"	1	#fddbc7
"BS_0X9EGHY2"	1	#fddbc7
"BS_2WPQ8YCW"	1	#fddbc7
"BS_47SJZ3PH"	1	#fddbc7
"BS_6N3AFF66"	1	#fddbc7
"BS_6VF6VPCG"	1	#fddbc7
"BS_7H4RFCW9"	1	#fddbc7
"BS_94MT16N2"	1	#fddbc7
"BS_9755PSCS"	1	#fddbc7
"BS_9F09XV62"	1	#fddbc7
"BS_9SJWWYQ4"	1	#fddbc7
"BS_AVYNZHSB"	1	#fddbc7
"BS_B0SVFK4P"	1	#fddbc7
"BS_B6M763JS"	1	#fddbc7
"BS_B7GEH89C"	1	#fddbc7
"BS_BC936YNZ"	1	#fddbc7
"BS_CS170P7T"	1	#fddbc7
"BS_E1CGF3KV"	1	#fddbc7
"BS_E3EJHXQV"	1	#fddbc7
"BS_EXYHZ6D4"	1	#fddbc7
"BS_G5QBBHDV"	1	#fddbc7
"BS_HV8PFRBR"	1	#fddbc7
"BS_J6VKB1VE"	1	#fddbc7
"BS_JG9JZTA9"	1	#fddbc7
"BS_N5B2CZMH"	1	#fddbc7
"BS_PN2CE34A"	1	#fddbc7
"BS_S50KQEXV"	1	#fddbc7
"BS_T4JFN54G"	1	#fddbc7
"BS_V3REENH9"	1	#fddbc7
"BS_W3R88RFP"	1	#fddbc7
"BS_XKKB4MZV"	1	#fddbc7
"BS_YG0A13JH"	1	#fddbc7
"BS_YY5B2XDD"	1	#fddbc7
"BS_YZ2Z1Q6Y"	1	#fddbc7
"BS_ZTWGFWTX"	1	#fddbc7
"BS_ZVX2GRD6"	1	#fddbc7
"BS_44A3ES23"	1	#fddbc7
"BS_8T7DZV2F"	1	#fddbc7
"BS_CHDGRYHJ"	1	#fddbc7
"BS_H4B5Y6S0"	1	#fddbc7
"BS_HKZENFDA"	1	#fddbc7
"BS_JTMXAMB7"	1	#fddbc7
"BS_KYF0Q0E7"	1	#fddbc7
"BS_M84H3KXA"	1	#fddbc7
"BS_TW8DQH8J"	1	#fddbc7
"BS_Z7PKVY9J"	1	#fddbc7
"BS_C7N3J4NW"	1	#fddbc7
