gene	splice_event	avg_dpsi	stdev_dpsi	freq	coord	str	flip
SMARCA1	SMARCA1_129493040-129493075	-0.385434782608696	0.0884990118521909	23		chrX:129493040-129493075	-	0
CBY1	CBY1_38665546-38665685	-0.411	0.210255796590724	13		chr22:38665546-38665685	+	0
TRPM2	TRPM2_44427010-44427111	-0.310688888888889	0.0358023756336098	45		chr21:44427010-44427111	+	0
GRIK1-AS1	GRIK1-AS1_29758831-29759010	-0.5616	0.195912735675862	5		chr21:29758831-29759010	+	0
AURKA	AURKA_56388687-56388784	-0.612625	0.152224608791546	24		chr20:56388687-56388784	-	0
AURKA	AURKA_56390556-56390665	-0.610238095238095	0.136990085011308	42		chr20:56390556-56390665	-	0
RNF114	RNF114_49941583-49941711	-0.243246575342466	0.0206106639212689	73		chr20:49941583-49941711	+	0
ZNF334	ZNF334_46504214-46504306	-0.320697674418605	0.00901727147972668	43		chr20:46504214-46504306	-	0
ZNF334	ZNF334_46504214-46504359	-0.4186875	0.0137944296845712	32		chr20:46504214-46504359	-	0
ZNF334	ZNF334_46509605-46509751	-0.545222222222222	0.207464986527656	36		chr20:46509605-46509751	-	0
CD40	CD40_46121820-46121898	-0.238472222222222	0.0156870940787298	36		chr20:46121820-46121898	+	0
PKIG	PKIG_44582585-44582731	-0.4867	0.214965139292656	10		chr20:44582585-44582731	+	0
EPB41L1	EPB41L1_36214357-36214440	-0.314125	0.0464596599212693	32		chr20:36214357-36214440	+	0
EPB41L1	EPB41L1_36214360-36214440	-0.286344827586207	0.0438481762628317	29		chr20:36214360-36214440	+	0
LINC00630	LINC00630_102825993-102826169	-0.468609756097561	0.202555656308184	41		chrX:102825993-102826169	+	1
CFAP61	CFAP61_20341831-20341921	-0.518	2.26274406041091e-16	27		chr20:20341831-20341921	+	0
MKKS	MKKS_10413796-10413931	-0.275014492753623	0.032210471787194	69		chr20:10413796-10413931	-	0
PLCB4	PLCB4_9476717-9476753	-0.549101694915254	0.0804658194547598	59		chr20:9476717-9476753	+	0
IDH3B	IDH3B_2659525-2659585	-0.585	0	13		chr20:2659525-2659585	-	0
SDCBP2-AS1	SDCBP2-AS1_1374484-1374698	-0.595619047619047	0.194024759845792	42		chr20:1374484-1374698	+	1
ZNF135	ZNF135_58059974-58060035	-0.596666666666667	0.080636530183286	9		chr19:58059974-58060035	+	0
ZNF549	ZNF549_57535144-57535270	-0.865636363636363	0.0705413433305683	66		chr19:57535144-57535270	+	1
AC004076.1	AC004076.1_57455653-57455743	-0.80075	0.232828083930325	4		chr19:57455653-57455743	-	1
ZNF749	ZNF749_57441885-57442011	-0.687333333333333	0.0410406302745624	3		chr19:57441885-57442011	+	1
ZNF667	ZNF667_56474012-56474124	-0.834347826086956	0.22695245971862	23		chr19:56474012-56474124	-	0
ZNF444	ZNF444_56142276-56142386	-0.403181818181818	0.224448576819644	11		chr19:56142276-56142386	+	0
LAIR1	LAIR1_54364295-54364486	-1	0	42		chr19:54364295-54364486	-	1
ZNF615	ZNF615_52000358-52000378	-0.449421052631579	0.142003644628296	19		chr19:52000358-52000378	-	0
LMTK3	LMTK3_48509135-48509248	-0.472084745762712	0.171043883070135	59		chr19:48509135-48509248	-	0
CARD8	CARD8_48206384-48206520	-0.567355555555556	0.224066564334185	45		chr19:48206384-48206520	-	0
AC011530.1	AC011530.1_45780214-45780381	-0.2996	0.127770497377133	5		chr19:45780214-45780381	-	0
DMPK	DMPK_45780323-45780381	-0.283772727272727	0.0926184861822087	22		chr19:45780323-45780381	-	0
TMEM91	TMEM91_41383561-41383632	-0.544333333333333	0.174080220234589	27		chr19:41383561-41383632	+	0
PLD3	PLD3_40365553-40365585	-0.70725	0.174475404188289	16		chr19:40365553-40365585	+	0
PLD3	PLD3_40365553-40365930	-0.373855072463768	0.10385953117812	69		chr19:40365553-40365930	+	0
PLD3	PLD3_40365662-40365930	-0.386367647058824	0.121654870820617	68		chr19:40365662-40365930	+	0
PLD3	PLD3_40365718-40365930	-0.385493150684932	0.119448748108373	73		chr19:40365718-40365930	+	0
AKT2	AKT2_40269423-40269540	-0.629766666666667	0.178217550769555	30		chr19:40269423-40269540	-	1
SUPT5H	SUPT5H_39458294-39458305	-0.580860759493671	0.0562534863141183	79		chr19:39458294-39458305	+	0
LINC01535	LINC01535_37257231-37257394	-0.979826086956522	0.0475142583135105	23		chr19:37257231-37257394	+	1
LINC01535	LINC01535_37262542-37262655	-0.942789473684211	0.104993219316383	38		chr19:37262542-37262655	+	1
ZNF529	ZNF529_36551877-36551977	-0.27259375	0.0673780185151824	32		chr19:36551877-36551977	-	0
AD000671.2	AD000671.2_35740380-35740564	-0.487840909090909	0.0943491642737461	44		chr19:35740380-35740564	-	0
PDCD5	PDCD5_32585816-32585907	-0.452	0.142835569799683	2		chr19:32585816-32585907	+	0
ZNF681	ZNF681_23754823-23754897	-0.344441176470588	0.15256179893913	34		chr19:23754823-23754897	-	0
ZNF681	ZNF681_23754823-23754918	-0.36984	0.177642654374059	50		chr19:23754823-23754918	-	1
ZNF431	ZNF431_21151079-21151198	-0.34225	0.15278065509556	8		chr19:21151079-21151198	+	0
NFIX	NFIX_13078613-13078735	-0.225137931034483	0.0106564341421856	58		chr19:13078613-13078735	+	0
ZNF490	ZNF490_12609870-12609974	-0.335692307692308	0.0549232564817865	13		chr19:12609870-12609974	-	0
ZNF44	ZNF44_12272487-12274063	-0.519493150684932	0.1554789306276	73		chr19:12272487-12274063	-	0
ZNF561	ZNF561_9620916-9621049	-0.26709375	0.0516123012187674	32		chr19:9620916-9621049	-	0
ZNF177	ZNF177_9371610-9371752	-0.541461538461538	0.153168330481655	78		chr19:9371610-9371752	+	0
ARVCF	ARVCF_19971216-19971335	-0.32530303030303	0.0674655398525726	66		chr22:19971216-19971335	-	0
CAMSAP3	CAMSAP3_7607821-7607868	-0.533416666666667	0.151381141493913	36		chr19:7607821-7607868	+	0
RFX2	RFX2_6026163-6026237	-0.299307692307692	0.0194224295398585	13		chr19:6026163-6026237	-	0
RELCH	RELCH_62221037-62221108	-0.25272	0.00936349838686463	50		chr18:62221037-62221108	+	0
ZNF532	ZNF532_58948067-58948229	-0.25404347826087	0.0176183743468149	23		chr18:58948067-58948229	+	0
ZNF532	ZNF532_58953518-58953799	-0.29024358974359	0.0137124324075199	78		chr18:58953518-58953799	+	0
TCF4	TCF4_55587045-55587136	-0.332371428571429	0.0391581151639514	35		chr18:55587045-55587136	-	0
AQP4-AS1	AQP4-AS1_26892871-26892992	-0.629275862068966	0.15811496961915	58		chr18:26892871-26892992	+	0
EPB41L3	EPB41L3_5400969-5401043	-0.417166666666667	0.0969774079209113	18		chr18:5400969-5401043	-	0
NOTUM	NOTUM_81958935-81958995	-0.732869565217391	0.0174259585567209	23		chr17:81958935-81958995	-	0
AC087741.1	AC087741.1_80204499-80204596	-0.531555555555555	0.203010061246531	18		chr17:80204499-80204596	-	0
CANT1	CANT1_79000100-79000270	-0.746166666666667	0.204401555607973	42		chr17:79000100-79000270	-	1
ZNF211	ZNF211_57633713-57633905	-0.352	0.149271564606257	4		chr19:57633713-57633905	+	0
ZNF211	ZNF211_57634023-57634061	-0.563151515151515	0.168125158729052	66		chr19:57634023-57634061	+	0
ITGB4	ITGB4_75755055-75755213	-0.377018518518518	0.0847824053348782	54		chr17:75755055-75755213	+	0
ABCA8	ABCA8_68949312-68949472	-0.462	0	4		chr17:68949312-68949472	-	0
BCAS3	BCAS3_61380506-61380571	-0.63569696969697	0.127740478458591	66		chr17:61380506-61380571	+	0
CLTC	CLTC_59687001-59687021	-0.287405405405405	0.0506921314623107	37		chr17:59687001-59687021	+	0
TEX14	TEX14_58615232-58615345	-0.919673469387755	0.114995178840083	49		chr17:58615232-58615345	-	1
PTPRS	PTPRS_5216720-5216767	-0.407276923076923	0.118490704763642	65		chr19:5216720-5216767	-	0
ACSF2	ACSF2_50472428-50472579	-0.347861538461538	0.0594006199786345	65		chr17:50472428-50472579	+	0
SP2	SP2_47897815-47897927	-0.290266666666667	0.0645329004314484	15		chr17:47897815-47897927	+	0
GOSR2	GOSR2_46935029-46935169	-0.254037037037037	0.034877663806004	54		chr17:46935029-46935169	+	0
GOSR2	GOSR2_46935029-46935225	-0.290577777777778	0.0545358467969334	45		chr17:46935029-46935225	+	0
AC008105.3	AC008105.3_45220868-45220914	-0.384	0.0678822509939085	2		chr17:45220868-45220914	-	0
GUSBP11	GUSBP11_23640308-23640423	-0.2855	0.097449132029656	4		chr22:23640308-23640423	-	0
GFAP	GFAP_44903959-44905149	-0.870809523809524	0.136695547883096	63		chr17:44903959-44905149	-	1
AC060780.1	AC060780.1_43159423-43159727	-0.483823529411765	0.230392875335475	34		chr17:43159423-43159727	-	1
KDM4B	KDM4B_5119118-5119219	-0.394283333333333	0.088143967686666	60		chr19:5119118-5119219	+	0
PTGES3L	PTGES3L_42971607-42971696	-0.973086956521739	0.0566144175147232	46		chr17:42971607-42971696	-	1
SMARCE1	SMARCE1_40642118-40642559	-0.317023255813953	0.0415024315822883	43		chr17:40642118-40642559	-	0
SLFN5	SLFN5_35264183-35264903	-0.497807692307692	0.00558583373020881	26		chr17:35264183-35264903	+	0
RHOT1	RHOT1_32209350-32209445	-0.263	0.0551543289325507	2		chr17:32209350-32209445	+	0
CRLF3	CRLF3_30792440-30792572	-0.284705882352941	0.00703036449662722	34		chr17:30792440-30792572	-	0
CORO6	CORO6_29619651-29619773	-0.271578947368421	0.0224630951401372	19		chr17:29619651-29619773	-	0
FBF1	FBF1_75939818-75939882	-0.3905	0.0958214112667042	36		chr17:75939818-75939882	-	0
SLC46A1	SLC46A1_28402238-28402321	-0.308653846153846	0.0462609488079891	26		chr17:28402238-28402321	-	0
EPN2	EPN2_19328711-19328887	-0.570333333333333	0.00346410161513774	27		chr17:19328711-19328887	+	0
FBXW10	FBXW10_18756045-18756154	-0.795	0.289913780286485	2		chr17:18756045-18756154	+	1
MPRIP	MPRIP_17180607-17180669	-0.4175	0.0247487373415291	2		chr17:17180607-17180669	+	0
ARHGAP44	ARHGAP44_12987101-12987152	-0.318	0.0762954782408499	3		chr17:12987101-12987152	+	0
ALOX12-AS1	ALOX12-AS1_7009796-7009889	-0.370638297872341	0.0544475916870346	47		chr17:7009796-7009889	-	0
XAF1	XAF1_6759256-6759718	-0.7912	0.150371043912908	60		chr17:6759256-6759718	+	1
XAF1	XAF1_6759662-6759718	-0.893907692307692	0.101772375162191	65		chr17:6759662-6759718	+	1
RPAIN	RPAIN_5425971-5426082	-0.214	0.0074258236676383	15		chr17:5425971-5426082	+	0
RPAIN	RPAIN_5426236-5426299	-0.221529411764706	0.0191902242269952	17		chr17:5426236-5426299	+	0
MINK1	MINK1_4892402-4892512	-0.374025	0.158099690636912	40		chr17:4892402-4892512	+	0
RPH3AL	RPH3AL_215654-215802	-0.31586274509804	0.000980196058819607	51		chr17:215654-215802	-	0
AC010547.4	AC010547.4_71456072-71456121	-0.493906976744186	0.134741341970015	43		chr16:71456072-71456121	-	0
KLHDC4	KLHDC4_87730552-87730644	-0.234469387755102	0.0141422859432512	49		chr16:87730552-87730644	-	0
ADGRG1	ADGRG1_57641587-57641708	-0.283	0.0529211003017025	29		chr16:57641587-57641708	+	0
RPGRIP1L	RPGRIP1L_53638310-53638411	-0.541655737704918	0.217296179230553	61		chr16:53638310-53638411	-	0
HEATR3	HEATR3_50072605-50072714	-0.480569230769231	0.0403852422112526	65		chr16:50072605-50072714	+	0
FOXO3B	FOXO3B_18681615-18681846	-0.895640625	0.114216220345796	64		chr17:18681615-18681846	-	1
ZNF133	ZNF133_18289899-18290074	-0.5428	0.226485432825273	40		chr20:18289899-18290074	+	0
SH2B1	SH2B1_28873170-28873269	-0.282959459459459	0.0417118094342496	74		chr16:28873170-28873269	+	0
KIAA0895L	KIAA0895L_67181558-67181697	-0.438233766233766	0.0887273909087321	77		chr16:67181558-67181697	-	0
KIAA0895L	KIAA0895L_67181606-67181697	-0.440175675675676	0.0967074897735658	74		chr16:67181606-67181697	-	0
TXNDC11	TXNDC11_11700452-11700564	-0.351909090909091	0.0487310353338999	55		chr16:11700452-11700564	-	0
LINC02177	LINC02177_9385374-9385465	-0.543444444444444	0.124691730991986	9		chr16:9385374-9385465	+	0
NAGPA	NAGPA_5033341-5033728	-0.667000000000001	8.94881748153859e-16	67		chr16:5033341-5033728	-	0
CHTF18	CHTF18_790531-790666	-0.789470588235294	0.0173501865345345	68		chr16:790531-790666	+	0
METTL26	METTL26_634889-635063	-0.285	0.0171464281994822	4		chr16:634889-635063	-	0
LYSMD4	LYSMD4_99731718-99732007	-0.6739	0.184639859666806	10		chr15:99731718-99732007	-	0
LYSMD4	LYSMD4_99732929-99733028	-0.38325	0.23736241628924	4		chr15:99732929-99733028	-	1
GDPGP1	GDPGP1_90236063-90236181	-0.374761194029851	0.130486628776522	67		chr15:90236063-90236181	+	0
MIR9-3HG	MIR9-3HG_89387431-89387538	-0.507657894736842	0.164814929184023	38		chr15:89387431-89387538	+	0
MROH8	MROH8_37137810-37137970	-0.754	0.0823690880529016	4		chr20:37137810-37137970	-	0
MROH8	MROH8_37173995-37174116	-0.392509803921569	0.0942287371344899	51		chr20:37173995-37174116	-	0
GOLGA2P7	GOLGA2P7_84204177-84204331	-0.58495	0.102870114835728	20		chr15:84204177-84204331	-	0
GOLGA2P7	GOLGA2P7_84205231-84205319	-0.672111111111111	0.182397819741533	45		chr15:84205231-84205319	-	0
EFL1	EFL1_82259088-82259155	-0.566716666666667	0.0296996785160177	60		chr15:82259088-82259155	-	0
AC016705.2	AC016705.2_80397944-80398006	-0.730875	0.0764513556623341	24		chr15:80397944-80398006	-	0
MAN2C1	MAN2C1_75363999-75364188	-0.401405063291139	0.0594160728896159	79		chr15:75363999-75364188	-	0
AC069368.1	AC069368.1_64921921-64922019	-0.424888888888889	0.141478306150134	9		chr15:64921921-64922019	+	0
MYO5A	MYO5A_52337810-52337884	-0.351090909090909	0.152411288445659	44		chr15:52337810-52337884	-	0
UBR1	UBR1_43048392-43048491	-0.237108695652174	0.0043727858441327	46		chr15:43048392-43048491	-	0
MGA	MGA_41708104-41708208	-0.459528301886793	0.00245422534844662	53		chr15:41708104-41708208	+	0
ZFYVE19	ZFYVE19_40812699-40812902	-0.390941176470588	0.104165322437917	68		chr15:40812699-40812902	+	0
HERC2P9	HERC2P9_28618524-28618655	-0.3628125	0.101279954416788	16		chr15:28618524-28618655	+	0
SNHG14	SNHG14_24998366-24998486	-0.482527777777778	0.0767147583396106	72		chr15:24998366-24998486	+	0
DOP1B	DOP1B_36211974-36212097	-0.360175	0.00372715262186386	40		chr21:36211974-36212097	+	0
MOK	MOK_102225095-102226408	-0.5	0	31		chr14:102225095-102226408	-	0
MOK	MOK_102265823-102265912	-0.3736875	0.140884633082213	32		chr14:102265823-102265912	-	0
AL117190.1	AL117190.1_100936178-100936310	-0.8625	0.194454364826301	2		chr14:100936178-100936310	+	0
MEG3	MEG3_100835736-100835879	-0.573962264150944	0.183075537401301	53		chr14:100835736-100835879	+	0
MEG3	MEG3_100835739-100835879	-0.581632653061224	0.16367901691491	49		chr14:100835739-100835879	+	0
SLC25A29	SLC25A29_100298027-100298190	-0.457755555555555	0.196410071436309	45		chr14:100298027-100298190	-	0
UNC79	UNC79_93634521-93634637	-0.372564102564102	0.0606872027053458	39		chr14:93634521-93634637	+	0
SLC66A2	SLC66A2_79930228-79930311	-0.263	0	2		chr18:79930228-79930311	-	0
ANGEL1	ANGEL1_76804375-76804415	-0.390384615384615	0.270841139926938	13		chr14:76804375-76804415	-	0
NEK9	NEK9_75095372-75095431	-0.25278125	0.0131275413261525	64		chr14:75095372-75095431	-	0
NUMB	NUMB_73366897-73366981	-0.218	0.00836660026534076	5		chr14:73366897-73366981	-	0
TMEM229B	TMEM229B_67503487-67503551	-0.317114285714286	0.14779930180297	35		chr14:67503487-67503551	-	0
CHURC1	CHURC1_64926007-64926080	-0.232461538461538	0.0262423029008214	26		chr14:64926007-64926080	+	0
PSMA3-AS1	PSMA3-AS1_58285591-58285756	-0.407203125	0.142531887792516	64		chr14:58285591-58285756	-	0
AP5M1	AP5M1_57274244-57274889	-0.224242857142857	0.0081444134214378	70		chr14:57274244-57274889	+	0
PIGA	PIGA_15331216-15331299	-0.599333333333333	0.121261425578513	3		chrX:15331216-15331299	-	0
DDHD1	DDHD1_53096117-53096218	-0.619090909090909	0.0688750515591293	33		chr14:53096117-53096218	-	0
VCPKMT	VCPKMT_50113370-50113512	-0.343095238095238	0.137109045931297	21		chr14:50113370-50113512	-	0
PPP2R3C	PPP2R3C_35116610-35116737	-0.355183333333333	0.0872019848294297	60		chr14:35116610-35116737	-	0
TDRD9	TDRD9_104031108-104031263	-0.4	1.14064572656965e-16	19		chr14:104031108-104031263	+	0
DBF4B	DBF4B_44748341-44748465	-0.515375	0.0159085085775283	32		chr17:44748341-44748465	+	0
HMGN5	HMGN5_81197706-81197778	-0.243125	0.029968733706982	8		chrX:81197706-81197778	-	0
DCUN1D2	DCUN1D2_113462740-113462891	-0.508076923076923	0.235468237487319	65		chr13:113462740-113462891	-	0
LAMP1	LAMP1_113309643-113309862	-0.717030769230769	0.141291362221693	65		chr13:113309643-113309862	+	0
TUBGCP3	TUBGCP3_112545699-112545865	-0.285272727272727	0.0117310776068604	11		chr13:112545699-112545865	-	0
TUBGCP3	TUBGCP3_112547620-112547752	-0.297	0.0155563491861041	2		chr13:112547620-112547752	-	0
ZNF329	ZNF329_58143105-58143198	-0.62	0	7		chr19:58143105-58143198	-	0
UGGT2	UGGT2_95887273-95887393	-0.3025	0.0569356361751291	4		chr13:95887273-95887393	-	0
DLEU1	DLEU1_50083142-50083194	-0.569607142857143	0.0285363177121966	28		chr13:50083142-50083194	+	0
TPT1-AS1	TPT1-AS1_45351897-45352014	-0.52292	0.155050776629249	25		chr13:45351897-45352014	+	0
TPT1-AS1	TPT1-AS1_45381142-45381217	-0.2995	0.114533401241734	6		chr13:45381142-45381217	+	0
NAA16	NAA16_41373637-41373780	-0.311105263157895	0.00390368054590937	57		chr13:41373637-41373780	+	0
EEF2KMT	EEF2KMT_5097280-5097353	-0.284454545454545	0.0732768574346487	22		chr16:5097280-5097353	-	0
TPM1	TPM1_63044027-63044152	-0.535538461538462	0.0879217025211965	78		chr15:63044027-63044152	+	0
TPM1	TPM1_63065896-63066085	-0.625765625	0.185301533944387	64		chr15:63065896-63066085	+	0
WASF3	WASF3_26676549-26676724	-0.290333333333333	0.0952592952594829	3		chr13:26676549-26676724	+	0
WASF3	WASF3_26680035-26680201	-0.451311475409836	0.164944388707589	61		chr13:26680035-26680201	+	0
TPTE2P1	TPTE2P1_24967392-24967453	-0.40272	0.180629344238415	25		chr13:24967392-24967453	-	0
AL359538.1	AL359538.1_24595789-24595859	-0.750555555555556	0.203906296562362	9		chr13:24595789-24595859	+	1
LINC00539	LINC00539_21311042-21311118	-0.431142857142857	0.0875127201638493	7		chr13:21311042-21311118	-	0
ZNF26	ZNF26_132987665-132987768	-0.388	0.121604158763471	57		chr12:132987665-132987768	+	0
CHFR	CHFR_132870724-132870783	-0.510666666666667	0.0522626502904762	27		chr12:132870724-132870783	-	0
GOLGA3	GOLGA3_132827808-132827902	-0.895161290322581	0.114644882000025	62		chr12:132827808-132827902	-	0
EP400P1	EP400P1_132090849-132090943	-0.7381	0.0400603492115005	20		chr12:132090849-132090943	+	0
AC005261.1	AC005261.1_57353725-57353851	-0.579472222222222	0.0296006148690526	72		chr19:57353725-57353851	+	0
CLIP1	CLIP1_122336632-122336748	-0.451577777777778	0.0912848909356379	45		chr12:122336632-122336748	-	0
CLIP1	CLIP1_122351111-122351143	-0.754397260273973	0.189990404708445	73		chr12:122351111-122351143	-	1
MLXIP	MLXIP_122132292-122132383	-0.349444444444444	0.050214999411373	72		chr12:122132292-122132383	+	0
P2RX4	P2RX4_121222947-121222962	-0.520939393939394	0.102574344804738	33		chr12:121222947-121222962	+	0
P2RX4	P2RX4_121222947-121223043	-0.418554054054054	0.0523330069217935	74		chr12:121222947-121223043	+	0
PXN	PXN_120215560-120215661	-0.277363636363636	0.0179404980940182	22		chr12:120215560-120215661	-	0
CIT	CIT_119734164-119734406	-0.271807017543859	0.00374375001307526	57		chr12:119734164-119734406	-	0
VSIG10	VSIG10_118121501-118121618	-0.317754098360656	0.104365807896665	61		chr12:118121501-118121618	-	0
MAPKAPK5-AS1	MAPKAPK5-AS1_111841327-111841470	-0.459608695652174	0.179185376171764	46		chr12:111841327-111841470	-	0
TCTN1	TCTN1_110644967-110645143	-0.311625	0.131250227963328	48		chr12:110644967-110645143	+	0
SVOP	SVOP_108918043-108918124	-0.253444444444445	0.00920841309862192	27		chr12:108918043-108918124	-	0
TCP11L2	TCP11L2_106304093-106304231	-0.53921568627451	0.207257937240096	51		chr12:106304093-106304231	+	0
GOLGA2P5	GOLGA2P5_100157349-100157445	-0.389555555555556	0.0689818579919833	18		chr12:100157349-100157445	-	0
BX890604.2	BX890604.2_3826601-3826729	-0.591533333333333	0.109223798209173	15		chrX:3826601-3826729	-	0
CEP290	CEP290_88115478-88115570	-0.30334375	0.0783184604675041	32		chr12:88115478-88115570	-	0
NAV3	NAV3_77941081-77941133	-0.834753846153847	0.0322771352746563	65		chr12:77941081-77941133	+	0
SLC35E3	SLC35E3_68747930-68748040	-0.207	8.47946841437934e-17	28		chr12:68747930-68748040	+	0
DPY19L2	DPY19L2_63569224-63569349	-0.535548387096774	0.0692140827239069	31		chr12:63569224-63569349	-	0
AC025165.3	AC025165.3_57783941-57784170	-0.56425	0.186368988836662	16		chr12:57783941-57784170	+	1
AC025165.6	AC025165.6_57617230-57617288	-0.577411764705882	0.0168191067819066	17		chr12:57617230-57617288	+	0
ARHGEF25	ARHGEF25_57614516-57614605	-0.24341095890411	0.0207135460350349	73		chr12:57614516-57614605	+	0
ITGA7	ITGA7_55699870-55699989	-0.293666666666667	0.0465595169421481	42		chr12:55699870-55699989	-	0
ITGA7	ITGA7_55700262-55700393	-0.557833333333333	0.115298597852128	6		chr12:55700262-55700393	-	0
BCAT2	BCAT2_48807756-48808236	-0.418333333333333	0.163745552796423	12		chr19:48807756-48808236	-	0
EFCAB6	EFCAB6_43735857-43735993	-0.974650793650794	0.0658929137925289	63		chr22:43735857-43735993	-	1
C20orf194	C20orf194_3343676-3343731	-0.239777777777778	0.00366666666666666	9		chr20:3343676-3343731	-	0
C20orf194	C20orf194_3382427-3382506	-0.21256862745098	0.00452660977757431	51		chr20:3382427-3382506	-	0
CSAD	CSAD_53172346-53172436	-0.332333333333333	0.102787807318443	3		chr12:53172346-53172436	-	0
BIN2	BIN2_51297089-51297164	-0.311666666666667	0.00923760430703402	3		chr12:51297089-51297164	-	0
POU6F1	POU6F1_51195970-51196173	-0.244657142857143	0.0149849061394552	70		chr12:51195970-51196173	-	0
FMNL3	FMNL3_49646639-49646753	-0.3154	0.0168463645929916	5		chr12:49646639-49646753	-	0
AC008014.1	AC008014.1_46455012-46455141	-0.3184	0.108585040917758	10		chr12:46455012-46455141	+	0
OBI1-AS1	OBI1-AS1_78188309-78188436	-0.483375	0.187232664490398	24		chr13:78188309-78188436	+	0
DDX11	DDX11_31077945-31078288	-0.723638888888889	0.173932195783756	36		chr12:31077945-31078288	+	1
ARNTL2	ARNTL2_27370129-27370230	-0.38764	0.0984703339420897	25		chr12:27370129-27370230	+	0
ITGA3	ITGA3_50088225-50088366	-0.302057971014493	0.0303198071825561	69		chr17:50088225-50088366	+	0
EML5	EML5_88622604-88622718	-0.34638	0.00320006377487469	50		chr14:88622604-88622718	-	0
IFFO1	IFFO1_6549476-6549484	-0.32192	0.0835308924889469	25		chr12:6549476-6549484	-	0
PARP11	PARP11_3828910-3829030	-0.601282051282051	0.120050952108807	78		chr12:3828910-3829030	-	0
ERC1	ERC1_1112215-1112298	-0.620641025641026	0.117561144561554	78		chr12:1112215-1112298	+	1
ERC1	ERC1_1112215-1112307	-0.482815789473684	0.140084327986283	76		chr12:1112215-1112307	+	1
ERC1	ERC1_1263034-1263165	-0.29925641025641	0.0260122028793161	78		chr12:1263034-1263165	+	0
CCDC77	CCDC77_395124-395221	-0.427631578947369	0.114857501339856	19		chr12:395124-395221	+	0
CCDC77	CCDC77_409368-409421	-0.612130434782609	0.142022255199201	69		chr12:409368-409421	+	1
NTM	NTM_132317655-132317690	-0.436823529411765	0.136581654094882	51		chr11:132317655-132317690	+	0
NTM	NTM_132330153-132330185	-0.623506666666667	0.139545533916482	75		chr11:132330153-132330185	+	0
TMEM218	TMEM218_125110491-125110549	-0.3356	0.0955735319008354	5		chr11:125110491-125110549	-	0
ZNF202	ZNF202_123740393-123740536	-0.597655737704918	0.191467828911796	61		chr11:123740393-123740536	-	0
MIR100HG	MIR100HG_122033314-122033462	-0.566710526315789	0.051847962713624	38		chr11:122033314-122033462	-	0
MIR100HG	MIR100HG_122100374-122101029	-0.669191489361702	0.076778800940237	47		chr11:122100374-122101029	-	0
HMBS	HMBS_119088255-119088308	-0.312461538461538	0.0289012742599034	65		chr11:119088255-119088308	+	0
CCDC84	CCDC84_119001613-119001825	-0.291176470588235	0.0619457779978967	17		chr11:119001613-119001825	+	0
USP28	USP28_113854258-113854335	-0.906714285714286	0.145059429528859	7		chr11:113854258-113854335	-	0
DRD2	DRD2_113414375-113414461	-0.820131578947368	0.149001391441468	38		chr11:113414375-113414461	-	1
