Splice ID	Case	Sample	Histology	CNS	Type
RFC5:118017690-118017815_118016700-118016892_118019071-118019136	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
RFC5:118017690-118018053_118016721-118016892_118019071-118019136	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
ATXN7:63913157-63913225_63912587-63912923_63952378-63952483	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
USP8:50432338-50432499_50424379-50424514_50439008-50439177	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
USP8:50432338-50432499_50424404-50424654_50439008-50439177	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
CAPRIN2:30719079-30719225_30716289-30716676_30720810-30720915	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
SSH2:29848849-29848929_29793615-29793937_29929937-29930167	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
COLEC12:480707-480757_357399-357522_500507-500701	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
RNF14:141974804-141974955_141973582-141973742_141983379-141983552	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
C1orf54:150275741-150275799_150274086-150274170_150276521-150276632	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
PLXND1:129559620-129559783_129558427-129558575_129560329-129560434	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
MT1L:56618179-56618244_56617427-56617590_56618588-56618680	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
MTERF4:241094277-241094429_241089979-241090044_241097242-241097427	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
PXMP4:33710555-33710773_33707488-33707969_33714673-33714736	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
RBIS:85219236-85219360_85217385-85217502_85220305-85220353	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
RBIS:85219236-85219363_85217385-85217502_85220305-85220384	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
FRG1HP:41008881-41009006_41007439-41007609_41011616-41011730	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
FRG1HP:41008920-41009006_41007439-41007609_41011616-41011730	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
PXYLP1:141234216-141234318_141231860-141231911_141260122-141260254	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
KANSL3:96602116-96602338_96601642-96601776_96602752-96602862	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
ALDH1L1:126114557-126114656_126112781-126112880_126118004-126118098	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
NMRAL1:4471314-4471449_4469226-4469465_4474092-4474166	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
POLR2E:1093756-1093903_1091791-1091907_1095258-1095336	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
MARF1:15625372-15625797_15625015-15625173_15630331-15630504	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
MARF1:15625372-15625800_15625015-15625173_15630331-15630504	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
TTYH1:54416789-54416924_54415464-54415678_54419127-54419306	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
TAF9:69368825-69368987_69366502-69366595_69369462-69369490	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
PCGF3:732444-732498_730969-731110_733671-733789	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
PRR5L:36451209-36451335_36446299-36446440_36462341-36464965	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
NRIP1:15014344-15014466_14961234-14968526_15043494-15043574	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
TASOR2:5712394-5712539_5709529-5709663_5712822-5712918	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
GAPVD1:125268936-125268984_125261809-125261959_125298889-125299106	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
ZMAT3:179071327-179071447_179067482-179067809_179071594-179072215	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
CTSH:78944538-78944631_78939139-78939171_78944890-78945046	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
UBA1:47211036-47211225_47210841-47210916_47212423-47212512	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
KCTD20:36451534-36451632_36443037-36443111_36470051-36470257	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
ATP13A2:16993629-16993835_16992485-16992581_16995975-16996164	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
TJP2:69185087-69185204_69151650-69151771_69212547-69212601	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
MEGF11:65909034-65909121_65906084-65906141_65912081-65912200	SE	BS_0ZA67BBC	H3.3 K28	NA	Inclusion
MED14:40666720-40666851_40664306-40664489_40671860-40671972	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
DHTKD1:12081472-12081627_12068953-12069187_12084539-12084751	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
LOXL2:23298836-23298947_23296896-23298122_23302026-23302163	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
STXBP5L:121250723-121250763_121240439-121240507_121254894-121255112	SE	BS_0ZA67BBC	H3.3 K28	NA	Skipping
TIMM17B:48895352-48895454_48895037-48895101_48896758-48896858	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
TIMM17B:48895352-48895501_48895037-48895101_48896758-48896858	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
TIMM17B:48895352-48895972_48895037-48895101_48896758-48896858	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
SAT1:23784294-23784403_23783799-23783883_23785327-23785429	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
RBX1:40953555-40953633_40951346-40951476_40964046-40964117	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
MRPS6:34125341-34125480_34073577-34073745_34142407-34143030	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
PEDS1:50151212-50151315_50143501-50143621_50153516-50153734	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
RPN2:37200447-37200494_37199049-37199225_37203884-37203960	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
RPS9:54206276-54206724_54201486-54201609_54207397-54207644	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
ERCC1:45413963-45414034_45413433-45413745_45414860-45414960	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
SIRT2:38898379-38898425_38893818-38893971_38899505-38899618	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
SENP6:75622751-75622858_75621531-75621625_75623899-75623960	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
SAMD4A:54784340-54784381_54776410-54776540_54784536-54784620	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
HMGN1:39345830-39345958_39345145-39345274_39348291-39348339	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
EIF4E2:232557884-232558018_232556415-232556530_232564246-232564351	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
ARPC1B:99377338-99377455_99374674-99374781_99385701-99385778	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
ARPC1B:99377358-99377455_99374729-99374781_99385701-99385778	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
COPS5:67047685-67047859_67045811-67045960_67051229-67051341	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
COPS5:67047768-67047859_67045811-67045960_67051229-67051341	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
ZNF655:99571688-99571792_99560532-99560695_99572244-99572318	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
MFGE8:88899656-88899811_88898682-88899532_88901550-88901735	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
PMPCB:103307596-103307708_103304410-103304490_103308951-103309095	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
SRSF7:38748898-38749346_38748578-38748653_38749528-38749705	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
CAMK2G:73819532-73819617_73817478-73817554_73821681-73821730	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
ACTR3B:152783187-152783242_152759748-152759926_152800530-152800655	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
PEX11A:89686431-89686546_89681534-89683948_89690576-89690662	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
MTURN:30146177-30146299_30134985-30135298_30157437-30162760	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
HMGN5:81119788-81119817_81118729-81118759_81121534-81121672	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
CXXC4:104494506-104494581_104490743-104492059_104494700-104494901	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
SPP1:87977662-87977787_87977058-87977097_87980045-87980126	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
SPP1:87977662-87977850_87977058-87977097_87980045-87980126	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
SPP1:87977662-87977859_87977058-87977097_87980045-87980126	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
XAF1:6761886-6762037_6760405-6760601_6762154-6762193	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
BCAN:156647346-156647394_156647127-156647175_156647507-156647682	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
SRSF3:36599821-36600276_36598848-36598983_36601151-36601190	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
DLG1:197076586-197076682_197075836-197075870_197081050-197081117	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
DLG1:197076586-197076685_197075836-197075870_197081050-197081117	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
BEST1:61951771-61951958_61950350-61950427_61955106-61955201	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
IFI27:94111625-94111773_94110735-94110797_94114850-94114880	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
IFI27:94111659-94111773_94110677-94110797_94114850-94114880	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
MFSD1:158805341-158805474_158804318-158804371_158807039-158807082	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
TMEM18:675758-676238_675509-675630_677288-677406	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
PPIL3:200885262-200885367_200881420-200881488_200885697-200885772	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
PACC1:212375193-212375300_212363927-212365376_212377561-212377706	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
DYNC1LI2:66724662-66724748_66723600-66723822_66725827-66725944	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
RBM5:50100532-50100605_50099981-50100051_50103082-50103107	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
TMBIM6:49741957-49742115_49741548-49741611_49752463-49752549	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
CSDE1:114749821-114750207_114739691-114739890_114757924-114757964	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
DPH3:16264155-16264229_16257060-16260829_16264768-16264943	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
TRA2A:23522132-23522432_23521706-23521840_23531788-23532041	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
TRA2A:23522354-23522432_23521706-23521840_23531788-23532023	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
BAG6:31644307-31644414_31644081-31644194_31644524-31644602	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
EIF4A2:186788310-186788416_186787802-186787882_186789124-186789881	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
EIF4A2:186788310-186788420_186787802-186787882_186789124-186789291	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
RNF146:127286050-127286177_127280230-127280340_127286615-127286643	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
RTN3:63704851-63704907_63681449-63681778_63749990-63750198	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
GYG2:2877200-2877307_2875809-2875914_2881051-2882818	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
MAP4:47853163-47853352_47850689-47852938_47855247-47855360	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
TRA2B:185926601-185926734_185925084-185925626_185937824-185937987	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
TRA2B:185931577-185931852_185926600-185926734_185937824-185938029	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
SDCCAG8:243293399-243293494_243293090-243293219_243304712-243304777	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
GPS1:82052256-82052459_82051896-82051964_82053273-82053366	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
GPS1:82052259-82052459_82051896-82051964_82053273-82053366	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
GPS1:82052375-82052459_82051874-82051964_82053273-82053366	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
GPS1:82052378-82052459_82051896-82051964_82053273-82053366	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
SSBP4:18431353-18431418_18430840-18430930_18431646-18431706	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
FAM161A:61838538-61838705_61836009-61836109_61839420-61840581	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
PREPL:44359497-44359750_44346267-44346390_44361523-44361805	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
ARHGEF11:156971697-156971816_156969997-156970043_156976982-156977054	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
C5orf38:2752622-2752754_2752147-2752464_2755028-2755376	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
CMC2:80998285-80998354_80997313-80997429_81001247-81001334	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
LSM14A:34226408-34226464_34221349-34221738_34227364-34227617	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
KIAA1191:176359811-176359918_176359461-176359567_176361601-176361735	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
COMMD2:149750257-149750382_149741389-149741718_149750677-149750851	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
BOLA3:74142272-74142360_74135399-74135658_74145188-74145303	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
GPR107:130110370-130110426_130107495-130107539_130124914-130124964	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
DCAF8:160261285-160261358_160243959-160244034_160262275-160262476	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
BIN1:127051154-127051243_127050801-127050912_127057472-127057601	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
BIN1:127051154-127051243_127050801-127050912_127059010-127059155	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
BIN1:127057473-127057601_127051153-127051243_127059010-127059155	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
PARL:183842298-183842384_183840569-183840640_183844230-183844274	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
PARL:183842298-183842447_183840569-183840640_183844230-183844326	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
ARID1B:157174847-157175005_157172775-157174117_157180968-157180994	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
FGF12:192727181-192727323_192360427-192360538_192727483-192727500	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
HDAC9:18629350-18629481_18593907-18594029_18634626-18634742	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
ARIH2:48924718-48924839_48922747-48922811_48927461-48927813	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
PBRM1:52558249-52558413_52550746-52550817_52561766-52561968	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
RNASEH2B:50953905-50953985_50947986-50949505_50969931-50970413	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
DDR1:30885625-30885680_30881065-30881125_30888687-30888814	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
RPAIN:5425971-5426082_5422768-5422829_5432541-5432608	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
FAM193B:177532156-177532200_177531337-177531521_177532442-177532612	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
RXYLT1:63782541-63782704_63781018-63781174_63784969-63785072	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
MRPL52:22833418-22833482_22830186-22830254_22834171-22834345	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
MRPL52:22833418-22833489_22830186-22830254_22834171-22834346	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
CARD19:93111879-93111938_93110567-93110721_93112217-93112289	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
MAPT:45989878-45990075_45987039-45987095_45991459-45991586	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
ELOB:2775451-2775556_2771413-2772102_2776992-2777127	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
MLC1:50070527-50070583_50068432-50068555_50074215-50074332	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
NSMF:137455239-137455307_137454390-137454443_137456410-137456486	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
STRADA:63726638-63726695_63714005-63714108_63728333-63728384	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
BCAS1:53944926-53944996_53936776-53941524_53953431-53953695	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
EIF4G2:10801661-10801774_10800961-10801087_10802048-10802209	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
PSMA4:78542483-78542645_78542176-78542219_78544189-78544267	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
PTPMT1:47569700-47569891_47565457-47565986_47571470-47572360	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
EFS:23360555-23360833_23360140-23360281_23365007-23365172	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
TFDP1:113631623-113631905_113623179-113623286_113633119-113633285	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
PRDX5:64319734-64319868_64318120-64318386_64320864-64320903	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
DBI:119367559-119367644_119366988-119367060_119368187-119368305	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
METTL23:76729690-76729794_76726838-76727178_76732977-76733215	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
PPP1R1A:54581976-54582131_54580943-54581050_54582731-54582795	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
GIT2:109951167-109951316_109947255-109947504_109953091-109953234	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
GIT2:109951212-109951316_109947255-109947504_109953091-109953234	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
PI4KB:151324745-151324917_151315572-151316509_151326171-151326373	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
PABPC4:39563836-39563922_39563526-39563741_39564422-39564491	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
SEC31B:100498705-100498804_100498028-100498207_100499159-100499258	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
TIMM9:58424008-58424095_58411906-58411971_58427053-58427114	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
ATOX1:151746279-151746449_151742821-151742959_151758545-151758631	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
ATXN2L:28836326-28836490_28835932-28836122_28836727-28837237	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
SRP14:40037309-40037348_40036985-40037018_40038281-40038394	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
GABARAPL2:75568037-75568209_75566851-75566907_75577278-75577530	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
CKLF:66563122-66563217_66558189-66558348_66565885-66566068	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
NAE1:66827935-66828077_66826676-66826780_66830846-66830976	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
CCDC28B:32204233-32204379_32203878-32204045_32204597-32204620	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
SNHG29:16439528-16439703_16439062-16439414_16440184-16440253	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
SNHG29:16439581-16439692_16439326-16439414_16440184-16440253	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
SNHG29:16439660-16439703_16439036-16439414_16440184-16440253	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
SNHG29:16441074-16441130_16439015-16440253_16441367-16441502	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
SMARCE1:40630208-40630286_40627721-40628993_40630713-40630924	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
LUC7L3:50737287-50737479_50736959-50737026_50740305-50740345	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
WBP1:74459438-74459552_74458473-74458671_74459642-74459745	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
WBP1:74459478-74459562_74458449-74458671_74459642-74459745	SE	BS_2ARXK0TD	H3.3 K28	NA	Inclusion
ILF3:10680346-10680443_10679815-10679927_10681018-10681028	SE	BS_2ARXK0TD	H3.3 K28	NA	Skipping
