gene	splice_event	avg_dpsi	stdev_dpsi	freq	coord	str	flip
ITSN1	ITSN1_33802430-33802444	0.414658227848101	0.0183902747960879	79		chr21:33802430-33802444	+	0
AP000295.1	AP000295.1_33262793-33263637	0.5485	0.101260390413363	4		chr21:33262793-33263637	+	0
KCNQ2	KCNQ2_63431340-63431369	0.829722222222222	0.153610741098752	72		chr20:63431340-63431369	-	1
ARFGAP1	ARFGAP1_63283851-63283880	0.635435897435897	0.0579472643692992	78		chr20:63283851-63283880	+	0
NKAIN4	NKAIN4_63242539-63242623	0.4252	0.148931552759674	55		chr20:63242539-63242623	-	0
SLCO4A1	SLCO4A1_62668012-62668184	0.375407407407408	0.119190622778827	27		chr20:62668012-62668184	+	0
EDN3	EDN3_59322372-59322417	0.425777777777778	0.244772740403102	9		chr20:59322372-59322417	+	0
EDN3	EDN3_59322372-59322482	0.486	0.208871426306407	12		chr20:59322372-59322482	+	1
STX16-NPEPL1	STX16-NPEPL1_58659623-58659634	0.34052	0.107048766304647	50		chr20:58659623-58659634	+	0
AURKA	AURKA_56388687-56388784	0.63925	0.122344269871418	28		chr20:56388687-56388784	-	0
PKIG	PKIG_44582585-44582731	0.245592592592593	0.0585315557621957	27		chr20:44582585-44582731	+	0
SNHG11	SNHG11_38447930-38448093	0.38404	0.122573919388611	50		chr20:38447930-38448093	+	0
EPB41L1	EPB41L1_36173764-36173954	0.482753246753247	0.10802194658155	77		chr20:36173764-36173954	+	0
EPB41L1	EPB41L1_36200873-36200977	0.396328947368421	0.065909713630672	76		chr20:36200873-36200977	+	0
EPB41L1	EPB41L1_36214357-36214440	0.3552	0.135076644909474	5		chr20:36214357-36214440	+	0
EPB41L1	EPB41L1_36214360-36214440	0.2802	0.0606522876732609	5		chr20:36214360-36214440	+	0
ERGIC3	ERGIC3_35554372-35554386	0.342948717948718	0.0224498849885102	78		chr20:35554372-35554386	+	0
EDEM2	EDEM2_35134738-35134949	0.317714285714286	0.153973714516163	7		chr20:35134738-35134949	-	0
TTLL9	TTLL9_31871122-31871195	0.835909090909091	0.0976114303859509	22		chr20:31871122-31871195	+	0
TTLL9	TTLL9_31887196-31887239	0.528444444444444	0.119711690694305	45		chr20:31887196-31887239	+	0
HM13	HM13_31568078-31568224	0.49075	0.137488931733454	64		chr20:31568078-31568224	+	0
HM13	HM13_31568078-31568280	0.440491803278689	0.151234103622036	61		chr20:31568078-31568280	+	0
GINS1	GINS1_25413790-25413854	0.348	0.0944427264082765	8		chr20:25413790-25413854	+	0
PLCB4	PLCB4_9096287-9096342	0.603245283018868	0.160134307290952	53		chr20:9096287-9096342	+	0
PLCB4	PLCB4_9373047-9373104	0.543973684210526	0.133121461880069	38		chr20:9373047-9373104	+	0
ZNF550	ZNF550_57543651-57544583	0.580383333333333	0.16809965684905	60		chr19:57543651-57544583	-	0
AC004076.1	AC004076.1_57456126-57456182	0.54525	0.122208496704062	4		chr19:57456126-57456182	-	0
ZNF749	ZNF749_57441885-57442011	0.682585365853659	0.121193641666912	41		chr19:57441885-57442011	+	1
ZNF444	ZNF444_56142276-56142386	0.441258064516129	0.130778430367788	31		chr19:56142276-56142386	+	0
LAIR1	LAIR1_54359843-54360072	0.5758125	0.165173532484273	16		chr19:54359843-54360072	-	0
OSCAR	OSCAR_54099748-54099780	0.308769230769231	0.0836761155150758	13		chr19:54099748-54099780	-	0
ZNF528-AS1	ZNF528-AS1_52396610-52396752	0.721395348837209	0.173819301292063	43		chr19:52396610-52396752	-	0
ZNF615	ZNF615_52004417-52004723	0.829390625	0.1205087913789	64		chr19:52004417-52004723	-	0
ZNF615	ZNF615_52007293-52007330	0.615714285714286	0.162106526333511	70		chr19:52007293-52007330	-	1
MYH14	MYH14_50255220-50255318	0.287471428571429	0.0298346755888986	70		chr19:50255220-50255318	+	0
AP2A1	AP2A1_49802534-49802599	0.588769230769231	0.141461841312251	78		chr19:49802534-49802599	+	0
TRPM4	TRPM4_49166041-49166215	0.444342105263158	0.18320130359441	38		chr19:49166041-49166215	+	0
CARD8	CARD8_48218871-48219012	0.299971830985916	0.0679655315647962	71		chr19:48218871-48219012	-	0
AC011530.1	AC011530.1_45780214-45780381	0.431	0.043840620433566	2		chr19:45780214-45780381	-	0
TRAPPC6A	TRAPPC6A_45165127-45165194	0.324170212765957	0.0951311038489461	47		chr19:45165127-45165194	-	0
PLD3	PLD3_40365553-40365585	0.499114754098361	0.0910404851994715	61		chr19:40365553-40365585	+	0
PLD3	PLD3_40365718-40365930	0.352	0.0169705627484771	2		chr19:40365718-40365930	+	0
AKT2	AKT2_40268584-40268685	0.47725	0.157587311892694	24		chr19:40268584-40268685	-	0
ZNF571-AS1	ZNF571-AS1_37585084-37585161	0.686571428571429	0.170407215362552	7		chr19:37585084-37585161	+	0
LINC01535	LINC01535_37256188-37256519	0.587615384615385	0.157426458206966	13		chr19:37256188-37256519	+	0
LINC01535	LINC01535_37256399-37256519	0.552466666666667	0.121525345191073	15		chr19:37256399-37256519	+	0
ZNF585B	ZNF585B_37199400-37199497	0.569754716981132	0.149209443099338	53		chr19:37199400-37199497	-	0
ZNF529	ZNF529_36587402-36587457	0.550484848484848	0.176332803459134	33		chr19:36587402-36587457	-	0
AD000671.2	AD000671.2_35739710-35740088	0.288666666666667	0.0743393121661301	21		chr19:35739710-35740088	-	0
AD000671.2	AD000671.2_35740380-35740564	0.44915	0.116921599913428	20		chr19:35740380-35740564	-	0
AD000671.2	AD000671.2_35744626-35744738	0.378315789473684	0.118500325179593	57		chr19:35744626-35744738	-	0
IGFLR1	IGFLR1_35739710-35739769	0.357333333333333	0.123924035871443	33		chr19:35739710-35739769	-	0
RBM42	RBM42_35632936-35633001	0.317040816326531	0.0586358675725566	49		chr19:35632936-35633001	+	0
GRAMD1A	GRAMD1A_35022900-35022911	0.430615384615385	0.0409888267224608	78		chr19:35022900-35022911	+	0
ZNF30	ZNF30_34942594-34942673	0.463106382978723	0.173171721012329	47		chr19:34942594-34942673	+	0
ZNF826P	ZNF826P_20417666-20417783	0.607119047619048	0.0661779575641583	42		chr19:20417666-20417783	-	0
CRTC1	CRTC1_18744108-18744155	0.565455696202532	0.054213206232041	79		chr19:18744108-18744155	+	0
UNC13A	UNC13A_17616408-17616464	0.356442857142857	0.0294754310434417	70		chr19:17616408-17616464	-	0
UNC13A	UNC13A_17649339-17649344	0.374028571428571	0.118514701424682	35		chr19:17649339-17649344	-	0
C19orf44	C19orf44_16503065-16503380	0.282692307692308	0.0691572900656957	13		chr19:16503065-16503380	+	0
WIZ	WIZ_15428110-15428508	0.366466666666667	0.148905677866564	75		chr19:15428110-15428508	-	0
HOOK2	HOOK2_12765829-12765834	0.554405797101449	0.0569422614792387	69		chr19:12765829-12765834	-	0
ZNF44	ZNF44_12293232-12293375	0.884386666666667	0.0767221898437109	75		chr19:12293232-12293375	-	1
SMARCA4	SMARCA4_11033767-11033865	0.394607594936709	0.0660235812033151	79		chr19:11033767-11033865	+	0
SMARCA4	SMARCA4_11033772-11033865	0.324666666666667	0.0430302420583679	78		chr19:11033772-11033865	+	0
ATG4D	ATG4D_10546839-10547071	0.379972972972973	0.124446661150356	37		chr19:10546839-10547071	+	0
ATG4D	ATG4D_10546839-10547075	0.396769230769231	0.127824810526888	39		chr19:10546839-10547075	+	0
ATG4D	ATG4D_10546839-10547082	0.3915	0.127019630319437	38		chr19:10546839-10547082	+	0
ATG4D	ATG4D_10546839-10547115	0.317333333333333	0.131525337048472	36		chr19:10546839-10547115	+	0
ARVCF	ARVCF_19971216-19971335	0.4365	0.0162634559672906	2		chr22:19971216-19971335	-	0
ARVCF	ARVCF_19976706-19976723	0.87125641025641	0.0351037186387862	78		chr22:19976706-19976723	-	1
RFX2	RFX2_6026163-6026237	0.4605	0.00212132034355964	2		chr19:6026163-6026237	-	0
ZNF565	ZNF565_36201977-36202050	0.362057142857143	0.141486424802386	35		chr19:36201977-36202050	-	0
RELCH	RELCH_62269411-62269512	0.228169230769231	0.0140507664723864	65		chr18:62269411-62269512	+	0
ZNF532	ZNF532_58939445-58939621	0.427558139534884	0.115959825211678	43		chr18:58939445-58939621	+	0
ZNF532	ZNF532_58948067-58948229	0.313	0.0723279567894278	4		chr18:58948067-58948229	+	0
POU2F2	POU2F2_42091867-42091940	0.550191489361702	0.148798468654152	47		chr19:42091867-42091940	-	0
AQP4-AS1	AQP4-AS1_26925817-26925862	0.517428571428571	0.200562176925727	14		chr18:26925817-26925862	+	0
ROCK1	ROCK1_20960663-20960711	0.246532467532467	0.00422892426157246	77		chr18:20960663-20960711	-	0
SPIRE1	SPIRE1_12485959-12486000	0.231828571428571	0.0192758393641698	35		chr18:12485959-12486000	-	0
PTPRM	PTPRM_8122242-8122316	0.434148648648649	0.0547429065730588	74		chr18:8122242-8122316	+	0
PTPRM	PTPRM_8248150-8248176	0.42376	0.244162839606886	50		chr18:8248150-8248176	+	0
EPB41L3	EPB41L3_5398021-5398143	0.642810126582278	0.157602394550123	79		chr18:5398021-5398143	-	0
EPB41L3	EPB41L3_5398021-5401043	0.586962025316455	0.115259066392146	79		chr18:5398021-5401043	-	0
EPB41L3	EPB41L3_5400969-5401043	0.353589285714286	0.0488867994027442	56		chr18:5400969-5401043	-	0
EPB41L3	EPB41L3_5407701-5407736	0.50874025974026	0.0957321376216778	77		chr18:5407701-5407736	-	0
GPS1	GPS1_82052256-82052459	0.401464285714286	0.160547015406217	56		chr17:82052256-82052459	+	0
GPS1	GPS1_82052259-82052459	0.391571428571429	0.170248105958385	14		chr17:82052259-82052459	+	0
CANT1	CANT1_79000100-79000270	0.492666666666667	0.145935773544392	9		chr17:79000100-79000270	-	1
MGAT5B	MGAT5B_76932645-76932775	0.345464285714286	0.128252728382917	56		chr17:76932645-76932775	+	0
SRSF2	SRSF2_76735772-76735875	0.266095238095238	0.0392266837611085	63		chr17:76735772-76735875	-	0
ZNF211	ZNF211_57633713-57633905	0.689836363636364	0.152622478277025	55		chr19:57633713-57633905	+	0
ZNF211	ZNF211_57633786-57633905	0.704783333333333	0.129049864448299	60		chr19:57633786-57633905	+	0
ST6GALNAC1	ST6GALNAC1_76626289-76626392	0.367636363636364	0.111985956911813	11		chr17:76626289-76626392	-	0
ITGB4	ITGB4_75755055-75755213	0.343181818181818	0.0751156683812614	11		chr17:75755055-75755213	+	0
RAB37	RAB37_74745008-74745084	0.310833333333333	0.146518899391129	12		chr17:74745008-74745084	+	0
ABCA8	ABCA8_68949312-68949472	0.335851851851852	0.0342498778253899	27		chr17:68949312-68949472	-	0
BPTF	BPTF_67963333-67963506	0.30852380952381	0.068885283958979	42		chr17:67963333-67963506	+	0
PEG3	PEG3_56817746-56817835	0.290526315789474	0.0962019683449891	19		chr19:56817746-56817835	-	0
SMURF2	SMURF2_64593991-64594104	0.352766666666667	0.0262713733457401	30		chr17:64593991-64594104	-	0
STRADA	STRADA_63723298-63723326	0.536756756756757	0.0973238923503062	74		chr17:63723298-63723326	-	0
SETD4	SETD4_36057384-36057477	0.467203125	0.102559495654033	64		chr21:36057384-36057477	-	0
BCAS3	BCAS3_61026866-61026910	0.374658227848101	0.034256905003356	79		chr17:61026866-61026910	+	0
MOSPD1	MOSPD1_134899090-134899165	0.284117647058824	0.0732375265428704	17		chrX:134899090-134899165	-	0
SKA2	SKA2_59131281-59131367	0.3115	0.104052871176148	28		chr17:59131281-59131367	-	0
PTPRS	PTPRS_5229316-5229342	0.505533333333334	0.222616464103826	75		chr19:5229316-5229342	-	0
PTPRS	PTPRS_5256108-5256119	0.328142857142857	0.019705539086173	77		chr19:5256108-5256119	-	0
GOSR2	GOSR2_46935029-46935225	0.611	0.17819090885901	2		chr17:46935029-46935225	+	0
FMNL1	FMNL1_45234832-45234849	0.435074626865672	0.06022012988544	67		chr17:45234832-45234849	+	0
FMNL1	FMNL1_45246505-45246604	0.738448717948718	0.125621224883346	78		chr17:45246505-45246604	+	0
GUSBP11	GUSBP11_23640308-23640423	0.436789473684211	0.10703300578553	19		chr22:23640308-23640423	-	0
SPOP	SPOP_49636759-49636809	0.47919696969697	0.152561535599646	66		chr17:49636759-49636809	-	0
LINC00910	LINC00910_43387936-43388057	0.722321428571428	0.16080032558734	28		chr17:43387936-43388057	-	0
AC060780.1	AC060780.1_43166980-43167849	0.434030303030303	0.115968876441183	33		chr17:43166980-43167849	-	0
TTC25	TTC25_41938557-41938781	0.542823529411765	0.127682827395718	17		chr17:41938557-41938781	+	0
GSDMB	GSDMB_39908176-39908214	0.635961538461538	0.162366371091857	26		chr17:39908176-39908214	-	1
CACNB1	CACNB1_39185131-39185150	0.649246153846154	0.143700212113756	65		chr17:39185131-39185150	-	1
ARHGAP23	ARHGAP23_38498932-38498954	0.603031746031746	0.23177178487956	63		chr17:38498932-38498954	+	0
KIF16B	KIF16B_16382098-16382130	0.561285714285714	0.126062909465303	35		chr20:16382098-16382130	-	0
ZNF812P	ZNF812P_9700001-9700086	0.8275	0.124214905937826	36		chr19:9700001-9700086	-	0
TMEM98	TMEM98_32931327-32931402	0.298065217391304	0.092850034924642	46		chr17:32931327-32931402	+	0
RHOT1	RHOT1_32209350-32209445	0.277333333333333	0.0273526354610788	33		chr17:32209350-32209445	+	0
ADAP2	ADAP2_30926809-30926918	0.30415625	0.126770839573338	32		chr17:30926809-30926918	+	0
SUZ12P1	SUZ12P1_30787439-30787661	0.653309523809524	0.163230121576906	42		chr17:30787439-30787661	+	0
NSFL1C	NSFL1C_1455714-1455719	0.305677966101695	0.0601740122271739	59		chr20:1455714-1455719	-	0
MPRIP	MPRIP_17164109-17167915	0.292287878787879	0.0562939442436587	66		chr17:17164109-17167915	+	0
MPRIP	MPRIP_17180607-17180669	0.320701754385965	0.070594659073646	57		chr17:17180607-17180669	+	0
ARHGAP44	ARHGAP44_12973302-12973319	0.609206896551724	0.131800276205635	29		chr17:12973302-12973319	+	0
ARHGAP44	ARHGAP44_12987101-12987152	0.373	0.0957329619305702	16		chr17:12987101-12987152	+	0
AC015908.6	AC015908.6_10803606-10803812	0.50425	0.0951082716346656	4		chr17:10803606-10803812	-	0
TEKT1	TEKT1_6819193-6819358	0.513333333333333	0.135500307502726	3		chr17:6819193-6819358	-	0
XAF1	XAF1_6761886-6762037	0.727462686567164	0.135798572799905	67		chr17:6761886-6762037	+	1
RPAIN	RPAIN_5425971-5426082	0.386714285714286	0.154074379069702	21		chr17:5425971-5426082	+	0
RPAIN	RPAIN_5426236-5426299	0.545	0.143626831290907	4		chr17:5426236-5426299	+	0
ZNF232	ZNF232_5111800-5112351	0.478806451612903	0.16469718057794	31		chr17:5111800-5112351	-	0
CAMTA2	CAMTA2_4969500-4969520	0.708873417721519	0.123811930071028	79		chr17:4969500-4969520	-	1
MINK1	MINK1_4890222-4890308	0.371052631578947	0.0646458856101128	76		chr17:4890222-4890308	+	0
MINK1	MINK1_4893286-4893309	0.377692307692308	0.0426880279735166	78		chr17:4893286-4893309	+	0
ZIK1	ZIK1_57584952-57584990	0.597078125	0.158696006159675	64		chr19:57584952-57584990	+	0
SLC43A2	SLC43A2_1586949-1586960	0.620653846153847	0.0503155824984452	78		chr17:1586949-1586960	-	0
WFDC1	WFDC1_84318272-84318355	0.35025	0.202722489859258	20		chr16:84318272-84318355	+	0
CHTF8	CHTF8_69120107-69120208	0.451	0.0899353677391179	28		chr16:69120107-69120208	-	0
CHTF8	CHTF8_69121053-69121170	0.359454545454545	0.134741278460656	22		chr16:69121053-69121170	-	0
RANBP10	RANBP10_67759573-67759732	0.213333333333333	0.00546476315714015	45		chr16:67759573-67759732	-	0
EXOC3L1	EXOC3L1_67186759-67186884	0.44275	0.12744611864586	20		chr16:67186759-67186884	-	0
KLHDC4	KLHDC4_87765066-87765206	0.70895	0.0164869722255045	80		chr16:87765066-87765206	-	0
KLHDC4	KLHDC4_87765066-87765340	0.7287125	0.0364744383356171	80		chr16:87765066-87765340	-	0
AC040168.1	AC040168.1_56187603-56187700	0.460615384615385	0.129384721485368	26		chr16:56187603-56187700	-	0
ZNF720	ZNF720_31759357-31759466	0.423058823529412	0.183828884627877	17		chr16:31759357-31759466	+	0
AC135050.2	AC135050.2_31084119-31084335	0.542769230769231	0.137795835596335	13		chr16:31084119-31084335	-	0
AC135048.1	AC135048.1_30953185-30953460	0.343761904761905	0.0943848000272845	21		chr16:30953185-30953460	+	0
PPP4C	PPP4C_30081200-30081310	0.2724	0.0981447909977906	15		chr16:30081200-30081310	+	0
ATP2A1	ATP2A1_28894505-28894607	0.569	0.202995073831854	5		chr16:28894505-28894607	+	0
MAMLD1	MAMLD1_150462772-150462846	0.319309090909091	0.101032241411907	55		chrX:150462772-150462846	+	0
HAP1	HAP1_41727762-41727836	0.714867924528302	0.27286084349521	53		chr17:41727762-41727836	-	0
KIAA0753	KIAA0753_6611919-6612148	0.28655	0.0813662771216158	20		chr17:6611919-6612148	-	0
TVP23A	TVP23A_10766038-10766153	0.708111111111111	0.161876100134862	27		chr16:10766038-10766153	-	0
TVP23A	TVP23A_10774952-10775096	0.302655172413793	0.0821767589068436	29		chr16:10774952-10775096	-	0
TVP23A	TVP23A_10774952-10775547	0.330833333333333	0.105954411887255	42		chr16:10774952-10775547	-	0
ABAT	ABAT_8713491-8713865	0.412555555555556	0.0594119329577634	9		chr16:8713491-8713865	+	0
NAGPA	NAGPA_5028297-5028365	0.261545454545455	0.0136895068356241	22		chr16:5028297-5028365	-	0
TBC1D24	TBC1D24_2497710-2497727	0.704052631578948	0.0793353884445594	76		chr16:2497710-2497727	+	0
RNPS1	RNPS1_2267175-2267218	0.509875	0.0616840065711256	16		chr16:2267175-2267218	-	0
MAPK8IP3	MAPK8IP3_1758978-1758995	0.42125	0.0700988112119837	76		chr16:1758978-1758995	+	0
METTL26	METTL26_634889-634956	0.375708333333333	0.139315244387829	24		chr16:634889-634956	-	0
METTL26	METTL26_634889-635063	0.353607142857143	0.185815587450791	28		chr16:634889-635063	-	0
RAB11FIP3	RAB11FIP3_491134-491268	0.515592105263158	0.130964237116507	76		chr16:491134-491268	+	0
WASH3P	WASH3P_101966070-101966223	0.463222222222222	0.152181491480424	36		chr15:101966070-101966223	+	0
CERS3-AS1	CERS3-AS1_100408567-100408658	0.48675	0.213559320408484	4		chr15:100408567-100408658	+	0
DNM1P46	DNM1P46_99804800-99804929	0.50275	0.112474744639933	12		chr15:99804800-99804929	-	0
LYSMD4	LYSMD4_99731718-99732007	0.492217391304348	0.1739153285423	23		chr15:99731718-99732007	-	0
LYSMD4	LYSMD4_99732929-99733028	0.955857142857143	0.0588682952910664	7		chr15:99732929-99733028	-	1
MEF2A	MEF2A_99703362-99703385	0.261642857142857	0.0139333280540588	42		chr15:99703362-99703385	+	0
TTC23	TTC23_99245389-99245510	0.580152777777778	0.106343273520995	72		chr15:99245389-99245510	-	0
MCRIP2	MCRIP2_646472-646608	0.486481012658228	0.111732953241141	79		chr16:646472-646608	+	0
IQGAP1	IQGAP1_90482702-90482749	0.395955882352941	0.0426280104897509	68		chr15:90482702-90482749	+	0
ZNF814	ZNF814_57876916-57877042	0.466698113207547	0.129440598925599	53		chr19:57876916-57877042	-	0
ACAN	ACAN_88860326-88860439	0.793134328358209	0.0791178437373525	67		chr15:88860326-88860439	+	1
ACAN	ACAN_88868216-88868329	0.501909090909091	0.131277360784506	66		chr15:88868216-88868329	+	0
MROH8	MROH8_37129032-37129167	0.42775	0.0176328292303495	4		chr20:37129032-37129167	-	0
MROH8	MROH8_37137810-37137970	0.388375	0.0648182899673056	8		chr20:37137810-37137970	-	0
GOLGA2P7	GOLGA2P7_84204177-84204331	0.331454545454545	0.025021445347396	11		chr15:84204177-84204331	-	0
GOLGA2P7	GOLGA2P7_84205231-84205319	0.524	0.172534054609518	2		chr15:84205231-84205319	-	0
AP1S2	AP1S2_15828192-15828200	0.581316455696203	0.0834863023163462	79		chrX:15828192-15828200	-	0
AC016705.2	AC016705.2_80397944-80398006	0.481	0.175314717009155	9		chr15:80397944-80398006	-	0
PARP6	PARP6_72249245-72249314	0.565884615384615	0.124133043495729	78		chr15:72249245-72249314	-	0
LRRC49	LRRC49_70894572-70894669	0.525025974025974	0.024120843806689	77		chr15:70894572-70894669	+	0
LRRC49	LRRC49_70894572-70894755	0.375428571428572	0.0114414166534391	77		chr15:70894572-70894755	+	0
PAQR5	PAQR5_69359966-69360131	0.445171428571429	0.118930401227501	35		chr15:69359966-69360131	+	0
SLC24A1	SLC24A1_65638128-65638181	0.766264705882353	0.111989687377975	68		chr15:65638128-65638181	+	0
ZNF772	ZNF772_57475660-57475786	0.525890625	0.151005951442424	64		chr19:57475660-57475786	-	0
ZNF772	ZNF772_57476634-57476672	0.40645652173913	0.128978672917785	46		chr19:57476634-57476672	-	0
AC069368.1	AC069368.1_64921921-64922019	0.591333333333333	0.118463481677807	39		chr15:64921921-64922019	+	0
CA12	CA12_63328098-63328130	0.517746031746031	0.0272129998903325	63		chr15:63328098-63328130	-	0
RORA-AS1	RORA-AS1_60488524-60488591	0.609416666666667	0.125074856373972	12		chr15:60488524-60488591	+	0
SLTM	SLTM_58912563-58912610	0.348885714285714	0.183988773862872	35		chr15:58912563-58912610	-	0
LIPC	LIPC_58430827-58431151	0.674565217391304	0.170430691348007	23		chr15:58430827-58431151	+	0
ENOSF1	ENOSF1_677743-677872	0.62815	0.141727899285559	40		chr18:677743-677872	-	0
ENOSF1	ENOSF1_678696-678737	0.494021276595745	0.137590047883543	47		chr18:678696-678737	-	0
PIGB	PIGB_55350699-55350803	0.4675	0.173333726219571	32		chr15:55350699-55350803	+	0
PIGB	PIGB_55350699-55350912	0.361888888888889	0.200279868286919	27		chr15:55350699-55350912	+	0
C21orf59-TCP10L	C21orf59-TCP10L_32575377-32576923	0.464458333333333	0.157217926615496	24		chr21:32575377-32576923	-	0
CATSPER2	CATSPER2_43647050-43647118	0.544	0.139609455267185	6		chr15:43647050-43647118	-	0
CATSPER2	CATSPER2_43664418-43664543	0.441083333333333	0.123163201657087	12		chr15:43664418-43664543	-	0
MAPKBP1	MAPKBP1_41813330-41813347	0.820525641025642	0.0373682010656447	78		chr15:41813330-41813347	+	1
SRP14-AS1	SRP14-AS1_40059133-40059289	0.47124	0.143573233345681	25		chr15:40059133-40059289	+	0
RYR3	RYR3_33836906-33836987	0.456525	0.141592949900546	40		chr15:33836906-33836987	+	0
NME4	NME4_398208-398394	0.324880597014925	0.0517899377111329	67		chr16:398208-398394	+	0
HERC2P9	HERC2P9_28618524-28618655	0.433928571428571	0.112447228160053	14		chr15:28618524-28618655	+	0
HERC2P9	HERC2P9_28655495-28655691	0.476368421052632	0.102379582668462	19		chr15:28655495-28655691	+	0
TMEM184B	TMEM184B_38222642-38222662	0.33336	0.0433513739300339	75		chr22:38222642-38222662	-	0
C19orf47	C19orf47_40334835-40334904	0.265835820895522	0.0272900231602805	67		chr19:40334835-40334904	-	0
CLBA1	CLBA1_104989632-104989707	0.370272727272727	0.0223789673983896	11		chr14:104989632-104989707	+	0
ZFYVE21	ZFYVE21_103729793-103729846	0.3331	0.093474472039573	40		chr14:103729793-103729846	+	0
AL139300.1	AL139300.1_103574107-103574170	0.389146341463415	0.115521547984696	41		chr14:103574107-103574170	+	0
KLC1	KLC1_103684986-103685036	0.623303797468355	0.124096566454947	79		chr14:103684986-103685036	+	0
GGT1	GGT1_24607954-24608023	0.423166666666667	0.155163677020966	6		chr22:24607954-24608023	+	0
MOK	MOK_102265823-102265912	0.4735	0.0685893577750951	2		chr14:102265823-102265912	-	0
