SpliceID	dPSI	Uniprot	Type
COQ4:128325778-128325881	0.153	Mod	SE
CREB5:28507615-28507737	-0.103	Mod	SE
CREM:35179133-35179276	0.564	Mod	SE
CRTC2:153951259-153951666	-0.305	Mod	SE
CRTC2:153953265-153953369	0.121	Mod	SE
CTDP1:79717809-79718016	0.667	Mod	SE
CTDP1:79728906-79729069	0.395	Mod	SE
CTDP1:79736354-79736521	-0.351	Mod	SE
CTH:70429793-70429851	-0.138	Mod	SE
CTTN:70421469-70421580	0.132	Mod	SE
DDR1:30895403-30895514	0.105	Mod	SE
DENND2B:8729949-8731209	0.141	Mod	SE
DENND2B:8731122-8731209	0.164	Mod	SE
DENND5B:31495809-31495919	-0.117	Mod	SE
DEPDC1:68482045-68482897	0.105	Mod	SE
DLG4:7191892-7192002	-0.108	Mod	SE
DLG4:7191892-7192002	-0.152	Mod	SE
DMTN:22067084-22067159	0.161	Mod	SE
DNAAF2:49628011-49628155	0.111	Mod	SE
DNAJC11:6652828-6652951	-0.121	Mod	SE
DNAJC11:6652828-6653387	-0.157	Mod	SE
DNAJC19:180986942-180987022	-0.101	Mod	SE
DNM1L:32737864-32737942	0.164	Mod	SE
DNMT1:10180777-10180885	-0.207	Mod	SE
DSN1:36770872-36770977	0.15	Mod	SE
DSN1:36770872-36771024	0.114	Mod	SE
DYRK2:67649796-67649945	0.243	Mod	SE
EDIL3:84229854-84229884	-0.12	Mod	SE
EIF4G1:184315762-184315856	0.26	Mod	SE
EIF4G1:184317320-184317431	0.121	Mod	SE
EIF4G1:184317320-184317431	0.337	Mod	SE
EIF4G1:184317716-184317816	0.246	Mod	SE
EIF4G1:184317716-184317816	0.289	Mod	SE
ELF2:139067683-139067770	0.184	Mod	SE
ELN:74065693-74065732	0.32	Mod	SE
ELP3:28113018-28113173	-0.314	Mod	SE
ENSG00000261832:28488590-28488662	-0.359	Mod	SE
ENSG00000272980:167003192-167004401	-0.108	Mod	SE
ENSG00000274272:100577272-100577389	0.12	Mod	SE
EP400:132021078-132021321	0.129	Mod	SE
EPB41L1:36173763-36173954	0.216	Mod	SE
EPB41L1:36209487-36209898	0.117	Mod	SE
EPB41L2:130869562-130870126	0.203	Mod	SE
EPB41L2:130869811-130870126	0.126	Mod	SE
EPB41L2:130869811-130870126	0.199	Mod	SE
EPB41L2:130880143-130880206	0.166	Mod	SE
EPB41L4A:112205420-112205504	0.27	Mod	SE
EPHA5:65490376-65490712	0.258	Mod	SE
EPS15L1:16377121-16377254	0.109	Mod	SE
EWSR1:29288605-29288755	-0.12	Mod	SE
FAM13A:88805010-88805052	-0.138	Mod	SE
FAM171B:186751133-186751304	-0.333	Mod	SE
FAM189B:155250275-155250821	-0.194	Mod	SE
FAM189B:155250275-155250929	-0.25	Mod	SE
FAM189B:155253858-155253978	0.109	Mod	SE
FAM219B:74904981-74905039	0.103	Mod	SE
FAM219B:74904981-74905059	0.168	Mod	SE
FBXL4:98926476-98927060	0.128	Mod	SE
FBXO38:148427212-148427722	0.179	Mod	SE
FBXO38:148427212-148427947	0.18	Mod	SE
FCHO2:73054159-73054171	-0.506	Mod	SE
FGFR1:38429681-38429948	0.123	Mod	SE
FGFR2:121565437-121565704	0.169	Mod	SE
FGFR3:1803691-1803836	-0.173	Mod	SE
FGFR4:177090389-177090653	-0.144	Mod	SE
FKBP10:41819209-41819399	-0.187	Mod	SE
FKBP10:41819529-41820049	-0.441	Mod	SE
FLAD1:154989559-154989707	-0.242	Mod	SE
FNIP2:158833527-158833628	-0.145	Mod	SE
GARNL3:127264951-127265021	0.199	Mod	SE
GATAD2A:19492580-19492712	-0.177	Mod	SE
GFAP:44904765-44905149	0.483	Mod	SE
GGA1:37625796-37625949	-0.133	Mod	SE
GGA1:37625796-37625949	-0.284	Mod	SE
GGT1:24623779-24623916	0.22	Mod	SE
GIT2:109951166-109951316	0.138	Mod	SE
GIT2:109951211-109951316	0.147	Mod	SE
GNPDA1:142007798-142007900	-0.349	Mod	SE
GPR89B:147968874-147968963	-0.188	Mod	SE
GRHPR:37424844-37424975	-0.129	Mod	SE
GRHPR:37424844-37424975	-0.164	Mod	SE
GSS:34929400-34929590	-0.119	Mod	SE
GSTM2:109668424-109668500	0.132	Mod	SE
GSTP1:67584684-67584772	0.363	Mod	SE
GTF2H1:18341260-18341410	0.433	Mod	SE
GTPBP1:38708844-38708956	-0.217	Mod	SE
HCFC1:153958568-153958766	-0.115	Mod	SE
HDAC9:18585280-18585522	-0.142	Mod	SE
HDAC9:18585280-18585522	-0.405	Mod	SE
HDAC9:18648465-18648683	-0.185	Mod	SE
HDDC3:90932428-90932806	0.189	Mod	SE
HDGFL2:4501190-4501317	0.186	Mod	SE
HJURP:233847396-233847461	-0.19	Mod	SE
HNRNPA2B1:26193598-26193694	-0.528	Mod	SE
HNRNPAB:178209329-178209432	-0.138	Mod	SE
HNRNPH1:179618144-179618323	0.179	Mod	SE
HNRNPR:23340851-23341017	0.113	Mod	SE
IFNLR1:24180730-24180854	0.346	Mod	SE
IFT43:76058641-76058674	-0.524	Mod	SE
IKBKE:206493265-206493378	-0.161	Mod	SE
IL17RA:17103493-17103577	-0.613	Mod	SE
ILF3:10688549-10688678	-0.117	Mod	SE
IRAK1BP1:78898063-78898298	0.124	Mod	SE
ITGAE:3723287-3723383	0.108	Mod	SE
ITGB3BP:63490082-63490218	0.252	Mod	SE
ITGB4:75755700-75755850	-0.148	Mod	SE
ITSN1:33819240-33819323	-0.667	Mod	SE
KAT7:49796749-49796926	-0.102	Mod	SE
KIAA1191:176355570-176355749	0.338	Mod	SE
KIF23:69440767-69441079	0.124	Mod	SE
KIFC3:57759727-57759836	-0.435	Mod	SE
KMT2A:118471661-118471985	0.127	Mod	SE
KNL1:40628069-40628208	0.42	Mod	SE
KNSTRN:40386404-40386494	-0.46	Mod	SE
KRT8:52949455-52949517	-0.4	Mod	SE
KRT8:52949455-52949585	-0.302	Mod	SE
KTN1:55663954-55664041	0.195	Mod	SE
LAMTOR4:100149498-100149565	-0.638	Mod	SE
LGALSL:64455343-64455415	-0.197	Mod	SE
LHCGR:48729152-48729227	0.133	Mod	SE
LIMK2:31262133-31262239	0.364	Mod	SE
LIPE-AS1:42521991-42522098	0.191	Mod	SE
LOXL3:74536708-74536928	-0.182	Mod	SE
LRRC37A2:46512315-46515321	0.166	Mod	SE
LSM14A:34215123-34215300	-0.39	Mod	SE
LSM14B:62129784-62129952	0.163	Mod	SE
LTV1:143844485-143844617	-0.104	Mod	SE
MAMLD1:150473679-150473802	-0.387	Mod	SE
MAP2:209692624-209696350	-0.276	Mod	SE
MAP2:209692636-209696350	-0.382	Mod	SE
MAP4:47915950-47917174	0.155	Mod	SE
MAP7D1:36174897-36175008	0.155	Mod	SE
MAPK7:19378895-19379132	0.221	Mod	SE
MAPT:45989877-45990075	0.18	Mod	SE
MARF1:15622933-15623126	0.107	Mod	SE
MCRIP2:646471-646608	-0.317	Mod	SE
MCRIP2:647416-647544	0.449	Mod	SE
METTL26:634888-634956	0.139	Mod	SE
METTL26:634888-635063	0.174	Mod	SE
MFF:227347225-227347384	0.123	Mod	SE
MFF:227347225-227347384	0.173	Mod	SE
MGA:41762128-41762362	-0.105	Mod	SE
MGST1:16357604-16357699	-0.179	Mod	SE
MICAL1:109448202-109448393	-0.423	Mod	SE
MICALL1:37921971-37922426	0.114	Mod	SE
MIDEAS:73721296-73721509	-0.117	Mod	SE
MINDY1:151002164-151002323	0.283	Mod	SE
MINDY1:151002164-151002400	0.297	Mod	SE
MINDY1:151002164-151002706	0.305	Mod	SE
MINDY1:151002164-151002968	0.272	Mod	SE
MINK1:4892401-4892512	0.304	Mod	SE
MIR762HG:30888713-30888958	0.482	Mod	SE
MKI67:128114927-128116007	0.109	Mod	SE
MKNK1:46560233-46560277	0.132	Mod	SE
MLLT10:21617111-21617207	0.122	Mod	SE
MNAT1:60796216-60796369	-0.212	Mod	SE
MNAT1:60968228-60968397	-0.119	Mod	SE
MPND:4352896-4353029	-0.123	Mod	SE
MPZL1:167776063-167776166	-0.144	Mod	SE
MPZL3:118237049-118237260	0.182	Mod	SE
MRE11:94492781-94492897	-0.371	Mod	SE
MRE11:94492781-94492906	-0.354	Mod	SE
MRPL39:25603795-25603935	-0.117	Mod	SE
MRPL43:100983947-100984074	0.129	Mod	SE
MTA3:42707910-42708054	-0.613	Mod	SE
MTMR14:9697710-9697866	0.199	Mod	SE
MTMR14:9697710-9697866	0.211	Mod	SE
MUC1:155188327-155188503	0.252	Mod	SE
MYH3:10651511-10651668	0.157	Mod	SE
NAB2:57093406-57093598	-0.172	Mod	SE
NAGK:71075554-71075642	-0.106	Mod	SE
NAP1L1:76059776-76059878	-0.135	Mod	SE
NAXD:110624233-110624279	0.231	Mod	SE
NBEA:35452091-35452235	-0.136	Mod	SE
NBEA:35649654-35649847	-0.122	Mod	SE
NBEA:35649669-35649847	-0.215	Mod	SE
NCL:231458265-231458344	0.607	Mod	SE
NCL:231458265-231458620	0.54	Mod	SE
NCOA2:70144641-70144848	-0.243	Mod	SE
NCOA2:70213902-70214075	0.4	Mod	SE
NCOR2:124354477-124354582	-0.13	Mod	SE
NCOR2:124354477-124354582	-0.248	Mod	SE
NDST1:150545311-150545486	0.117	Mod	SE
NDUFB9:124543119-124543279	-0.178	Mod	SE
NEDD4L:58341677-58341797	0.361	Mod	SE
NFATC2:51523080-51523596	-0.189	Mod	SE
NFATC2:51523080-51524110	-0.382	Mod	SE
NFIB:14125631-14125766	0.507	Mod	SE
NFIC:3453762-3453916	0.131	Mod	SE
NHS:17724298-17724430	-0.555	Mod	SE
NLE1:35139819-35140066	0.127	Mod	SE
NME4:401946-402043	0.146	Mod	SE
NTMT1:129632649-129632801	-0.183	Mod	SE
NTMT1:129632649-129632865	-0.163	Mod	SE
NTRK2:84744972-84745073	0.171	Mod	SE
NUP214:131189052-131189131	-0.308	Mod	SE
NUP35:183133565-183133623	-0.153	Mod	SE
NVL:224307990-224308217	0.111	Mod	SE
OSBPL3:24849068-24849176	0.146	Mod	SE
OXSR1:38236838-38236961	-0.114	Mod	SE
P4HTM:49004860-49005170	-0.421	Mod	SE
P4HTM:49004860-49005867	-0.121	Mod	SE
P4HTM:49005776-49005867	-0.111	Mod	SE
P4HTM:49005776-49005867	-0.283	Mod	SE
PAK1:77349238-77349287	0.105	Mod	SE
PAK1:77379893-77379994	-0.128	Mod	SE
PARD3:34284134-34284245	0.177	Mod	SE
PARP2:20344931-20345126	-0.104	Mod	SE
PATL1:59655955-59656045	0.129	Mod	SE
PBRM1:52615350-52615456	-0.203	Mod	SE
PCMTD1:51860860-51861246	0.127	Mod	SE
PCNT:46444693-46444821	0.295	Mod	SE
PCNX1:70995740-70995925	0.105	Mod	SE
PCNX1:70995740-70995925	0.299	Mod	SE
PEX14:10536212-10536297	-0.102	Mod	SE
PEX14:10536212-10536297	-0.407	Mod	SE
PEX19:160283529-160283639	-0.267	Mod	SE
PHACTR4:28465684-28465849	-0.153	Mod	SE
PIGG:507404-507593	0.374	Mod	SE
PIGT:45418771-45418979	0.322	Mod	SE
PIGT:45418851-45418979	-0.263	Mod	SE
PIGT:45418851-45418979	0.292	Mod	SE
PIGT:45418851-45418979	0.314	Mod	SE
PIP5K1C:3633436-3633520	-0.166	Mod	SE
PKP4:158577270-158577383	-0.175	Mod	SE
PLD1:171687370-171687584	-0.467	Mod	SE
PLD1:171687370-171687584	-0.853	Mod	SE
PLEC:143922503-143925884	0.121	Mod	SE
PLEKHA7:16794487-16794714	0.364	Mod	SE
PLSCR1:146521543-146522053	0.358	Mod	SE
PLSCR1:146521832-146522053	0.454	Mod	SE
PLSCR1:146528613-146528831	0.127	Mod	SE
PLXNB3:153766872-153767913	-0.142	Mod	SE
PLXND1:129583566-129583669	0.106	Mod	SE
PML:74033155-74033422	-0.164	Mod	SE
POGLUT3:108481179-108481376	0.113	Mod	SE
POGZ:151424954-151425061	0.385	Mod	SE
POGZ:151427822-151428014	0.762	Mod	SE
PPA2:105424195-105424322	0.151	Mod	SE
PPARGC1A:23801729-23801881	0.104	Mod	SE
PPIG:169631765-169631933	-0.135	Mod	SE
PPIG:169631774-169631933	-0.179	Mod	SE
PPRC1:102146671-102147392	0.473	Mod	SE
PRC1:90969078-90969120	0.126	Mod	SE
PRC1:90969078-90969120	0.129	Mod	SE
PRDX1:45514872-45514995	0.383	Mod	SE
PRKAB2:147166845-147166939	-0.19	Mod	SE
PRKAB2:147167766-147167933	-0.343	Mod	SE
PRMT7:68321425-68321462	-0.179	Mod	SE
PSMA2:42927382-42927459	0.123	Mod	SE
PSRC1:109281618-109282060	-0.101	Mod	SE
PTPN13:86758259-86758349	-0.106	Mod	SE
PTPN3:109422717-109422852	0.215	Mod	SE
PUF60:143820665-143820716	-0.2	Mod	SE
PUM1:31005852-31006031	0.121	Mod	SE
PUM1:31006993-31007102	0.173	Mod	SE
PUM2:20278582-20278819	0.188	Mod	SE
QKI:163563419-163563719	-0.279	Mod	SE
RABL6:136838908-136839121	0.111	Mod	SE
RAF1:12586274-12587637	-0.157	Mod	SE
RAF1:12587590-12587637	-0.127	Mod	SE
RAI14:34813573-34813660	0.258	Mod	SE
RALGAPB:38567095-38567232	0.785	Mod	SE
RALY:34075873-34076040	0.333	Mod	SE
RARG:53227361-53227687	-0.124	Mod	SE
RASA1:87374162-87374320	-0.129	Mod	SE
RBCK1:409829-410025	0.136	Mod	SE
RBCK1:409880-410025	0.113	Mod	SE
RBM41:107088435-107088839	-0.13	Mod	SE
RBM4:66643449-66644140	0.166	Mod	SE
RDH11:67692437-67692593	0.311	Mod	SE
REEP5:112892449-112892817	0.402	Mod	SE
RFFL:35016369-35016580	0.557	Mod	SE
RGL2:33298454-33298651	0.239	Mod	SE
RGL3:11399854-11399951	0.167	Mod	SE
RGL3:11399854-11399969	0.219	Mod	SE
RGS12:3386415-3386437	-0.125	Mod	SE
RIF1:151468473-151468551	0.166	Mod	SE
RIN1:66335977-66336158	-0.257	Mod	SE
RIPOR2:24848024-24848154	-0.103	Mod	SE
RNF130:179966805-179967010	0.149	Mod	SE
RO60:193069033-193069181	0.13	Mod	SE
RPAP2:92323444-92324375	-0.116	Mod	SE
RPL27A:8684685-8684892	-0.167	Mod	SE
RPL7A:133351001-133351071	0.158	Mod	SE
RPS11:49497193-49497282	0.251	Mod	SE
RPS20:56073116-56073272	-0.158	Mod	SE
RPS3:75402303-75402446	0.178	Mod	SE
RPTOR:80923489-80923673	0.269	Mod	SE
RSRC2:122522142-122522329	-0.194	Mod	SE
SAMHD1:36941038-36941111	0.195	Mod	SE
SATB2:199455868-199456096	0.185	Mod	SE
SCAMP3:155261656-155261734	-0.374	Mod	SE
SCFD1:30628208-30628279	0.102	Mod	SE
SCFD1:30670255-30670395	-0.151	Mod	SE
SCN1A:166052851-166052943	-0.124	Mod	SE
SCN9A:166304237-166304329	-0.312	Mod	SE
SCYL1:65538269-65538324	0.12	Mod	SE
SCYL2:100337386-100337506	-0.154	Mod	SE
SEC16A:136445051-136445111	-0.112	Mod	SE
SEC16A:136453427-136453510	-0.408	Mod	SE
SENP6:75621531-75621625	-0.13	Mod	SE
SEPTIN4:58526681-58526978	0.128	Mod	SE
SGO1:20174248-20175055	-0.233	Mod	SE
SGTB:65685367-65685472	-0.181	Mod	SE
SHARPIN:144099080-144099205	0.114	Mod	SE
SHMT2:57231480-57231560	-0.132	Mod	SE
SIPA1L3:38201861-38201997	0.167	Mod	SE
SKA3:21157921-21158125	-0.101	Mod	SE
SLC12A9:100854155-100854378	-0.131	Mod	SE
SLC12A9:100854155-100854378	-0.359	Mod	SE
SLC22A15:115992030-115992243	0.112	Mod	SE
SLC29A2:66366430-66366564	0.233	Mod	SE
SLC35F6:26775463-26775676	0.151	Mod	SE
SLC38A6:61046066-61046167	-0.369	Mod	SE
SLC43A1:57493992-57494171	0.184	Mod	SE
SLC9A8:49886751-49886898	-0.426	Mod	SE
SMAGP:51246750-51246831	-0.151	Mod	SE
SMPDL3A:122795676-122795890	0.136	Mod	SE
SNAP23:42529674-42529819	0.308	Mod	SE
SNX5:17968374-17968457	-0.142	Mod	SE
SORBS1:95375972-95376056	-0.118	Mod	SE
SORBS1:95375972-95376056	-0.141	Mod	SE
SORBS1:95414493-95414655	0.241	Mod	SE
SORBS1:95414493-95414862	0.236	Mod	SE
SORBS1:95414493-95414862	0.279	Mod	SE
SP100:230449560-230449710	0.206	Mod	SE
SP100:230462434-230462518	-0.292	Mod	SE
SPECC1:20096630-20096798	-0.113	Mod	SE
SPEG:219444652-219444742	-0.413	Mod	SE
SPEN:15872815-15873136	-0.111	Mod	SE
SRGAP3:8990511-8990839	0.108	Mod	SE
SRSF4:29159863-29160058	0.169	Mod	SE
SRSF4:29159863-29160091	0.102	Mod	SE
SSR1:7295384-7295485	0.118	Mod	SE
ST8SIA5:46692168-46692255	0.133	Mod	SE
STAU1:49165996-49166285	0.157	Mod	SE
STAU1:49165996-49166285	0.196	Mod	SE
STX1A:73709044-73709122	-0.13	Mod	SE
SVIL:29532528-29533458	0.268	Mod	SE
TANC1:159150369-159150556	0.138	Mod	SE
TANC1:159163282-159163546	0.106	Mod	SE
TANC2:63267747-63267873	-0.512	Mod	SE
TBC1D2B:78054033-78054187	0.174	Mod	SE
TCF12:57063749-57063823	-0.205	Mod	SE
TCF4:55461018-55461115	-0.115	Mod	SE
TCF4:55461018-55461115	-0.253	Mod	SE
TECTA:121166577-121166780	-0.162	Mod	SE
TENM3:182774917-182775153	-0.116	Mod	SE
TET2:105233896-105237351	-0.117	Mod	SE
TJP1:29719776-29720016	0.221	Mod	SE
TJP1:29761600-29761769	0.759	Mod	SE
TLE4:79705888-79705942	-0.231	Mod	SE
TLE4:79705888-79705942	-0.646	Mod	SE
TLE4:79706746-79706899	-0.206	Mod	SE
TLR4:117708562-117708729	0.136	Mod	SE
TMEM161A:19134783-19134887	0.131	Mod	SE
TMEM161A:19134783-19134916	-0.124	Mod	SE
TMEM175:947708-948154	0.116	Mod	SE
TMEM201:9609839-9609911	-0.13	Mod	SE
TMEM59:54047266-54047372	-0.371	Mod	SE
TMPO:98544229-98544349	0.298	Mod	SE
TMPO:98544441-98544537	0.216	Mod	SE
TMPO:98544950-98545061	-0.294	Mod	SE
TNC:115048259-115048532	0.405	Mod	SE
TNIK:171128713-171128878	0.146	Mod	SE
TOM1L1:54960565-54960627	0.113	Mod	SE
TP53BP1:43421024-43421174	-0.258	Mod	SE
TPM2:35684731-35684807	0.137	Mod	SE
TRIO:14487463-14487730	0.241	Mod	SE
TRRAP:98957980-98958091	-0.134	Mod	SE
TSC2:2077597-2077726	0.122	Mod	SE
TSC22D4:100477276-100477459	-0.24	Mod	SE
UBE4B:10106196-10106583	0.563	Mod	SE
USP10:84733434-84733503	-0.107	Mod	SE
USP10:84740308-84740369	-0.211	Mod	SE
USP10:84744632-84745673	0.157	Mod	SE
USP10:84744632-84745673	0.221	Mod	SE
USP10:84744632-84745673	0.227	Mod	SE
USP13:179690243-179690301	-0.119	Mod	SE
USP15:62349220-62349307	0.182	Mod	SE
WAC:28595694-28596041	0.244	Mod	SE
WAC:28595732-28596041	0.236	Mod	SE
WDR20:102208602-102209862	0.206	Mod	SE
WIPF2:40260534-40260627	0.251	Mod	SE
WIPF2:40260534-40260667	0.145	Mod	SE
WNK3:54309094-54309315	-0.386	Mod	SE
XPO6:28180940-28181031	0.105	Mod	SE
XPO6:28180940-28181031	0.267	Mod	SE
YWHAZ:100924134-100924322	-0.602	Mod	SE
ZBTB21:41992492-41994108	-0.246	Mod	SE
ZC2HC1A:78698413-78698513	-0.201	Mod	SE
ZKSCAN8:28148315-28148824	-0.128	Mod	SE
ZKSCAN8:28148315-28148824	-0.235	Mod	SE
ZKSCAN8:28148315-28148838	-0.257	Mod	SE
ZKSCAN8:28148315-28148838	-0.338	Mod	SE
ZMYND8:47238757-47239138	0.197	Mod	SE
ZNF385A:54371472-54371642	0.375	Mod	SE
ZNF638:71428546-71428651	-0.449	Mod	SE
ZNF692:248856513-248856562	-0.173	Mod	SE
AAMDC:77842478-77842628	0.101	Other	SE
AASDH:56354038-56354211	-0.291	Other	SE
AASS:122082787-122082891	0.197	Other	SE
AASS:122085577-122085718	0.127	Other	SE
ABCB9:122940806-122940995	0.106	Other	SE
ABCC1:16076325-16076401	-0.301	Other	SE
ABHD11:73736928-73737110	0.262	Other	SE
ABHD11:73736928-73737220	0.287	Other	SE
ABHD17B:71866798-71867006	0.166	Other	SE
ABI1:26755654-26755741	-0.199	Other	SE
ABI1:26763879-26763960	-0.321	Other	SE
ABI3BP:100787727-100787802	0.557	Other	SE
ABI3BP:100810411-100810477	0.128	Other	SE
ABI3BP:100829580-100829664	0.321	Other	SE
ABI3BP:100830577-100830634	-0.504	Other	SE
ABI3BP:100838209-100838284	0.376	Other	SE
ABRAXAS1:83470202-83470396	0.112	Other	SE
ABRAXAS1:83472221-83472288	0.495	Other	SE
ACCS:44073343-44073517	-0.248	Other	SE
ACCS:44073446-44073517	-0.258	Other	SE
ACD:67658554-67658641	0.109	Other	SE
ACHE:100892333-100892554	-0.118	Other	SE
ACHE:100892333-100892643	-0.118	Other	SE
ACHE:100892333-100892818	-0.115	Other	SE
ACSF3:89100661-89101347	-0.12	Other	SE
ACSF3:89114338-89114487	-0.108	Other	SE
ACYP2:54135452-54135469	0.126	Other	SE
ADAL:43335695-43335826	-0.134	Other	SE
ADAL:43335695-43335826	-0.199	Other	SE
ADAL:43335695-43335826	-0.201	Other	SE
ADAM17:9543152-9543226	0.121	Other	SE
ADAM17:9543220-9543285	-0.105	Other	SE
ADAM32:39129975-39130097	-0.227	Other	SE
ADAM32:39136656-39136718	-0.169	Other	SE
ADAMTS17:100281228-100281401	0.205	Other	SE
ADGRE5:14397076-14397223	-0.163	Other	SE
ADGRG1:57656513-57656617	-0.211	Other	SE
ADH5:99081364-99081420	-0.319	Other	SE
ADPGK:72756250-72756447	-0.102	Other	SE
ADPRS:36091243-36091340	-0.143	Other	SE
AFDN:167965756-167965853	0.157	Other	SE
AFDN:167965756-167966276	0.102	Other	SE
AFG1L:108346987-108347039	-0.251	Other	SE
AFMID:78205092-78205190	-0.386	Other	SE
AFMID:78205602-78205738	0.223	Other	SE
AFMID:78205602-78205753	0.275	Other	SE
AFMID:78205945-78206050	0.124	Other	SE
AGAP3:151120519-151120567	0.347	Other	SE
AGAP3:151120519-151120745	0.34	Other	SE
AGPS:177523747-177523805	-0.133	Other	SE
AHCTF1:246890955-246891060	-0.11	Other	SE
AHCYL1:110020730-110020851	-0.219	Other	SE
AHI1:135456188-135456373	0.633	Other	SE
AHRR:422728-422858	-0.115	Other	SE
