SpliceID	geneSymbol	dPSI	Preference_psi	Preference_de	z	sample_id
MRE11:94492781-94492906	MRE11	0.354	Inclusion	Down	NA	NA
MTA3:42707910-42708054	MTA3	0.613	Inclusion	Down	NA	NA
NAB2:57093406-57093598	NAB2	0.172	Inclusion	Down	NA	NA
NAP1L1:76059776-76059878	NAP1L1	0.135	Inclusion	Down	NA	NA
NCOA2:70144641-70144848	NCOA2	0.243	Inclusion	Down	NA	NA
NCOR2:124354477-124354582	NCOR2	0.13	Inclusion	Down	NA	NA
NCOR2:124354477-124354582	NCOR2	0.248	Inclusion	Down	NA	NA
NFATC2:51523080-51523596	NFATC2	0.189	Inclusion	Down	NA	NA
NFATC2:51523080-51524110	NFATC2	0.382	Inclusion	Down	NA	NA
NUP214:131189052-131189131	NUP214	0.308	Inclusion	NA	NA	NA
OXSR1:38236838-38236961	OXSR1	0.114	Inclusion	NA	NA	NA
PAK1:77379893-77379994	PAK1	0.128	Inclusion	Down	NA	NA
PARP2:20344931-20345126	PARP2	0.104	Inclusion	NA	NA	NA
PBRM1:52615350-52615456	PBRM1	0.203	Inclusion	Down	-2.482	pHGG
PHACTR4:28465684-28465849	PHACTR4	0.153	Inclusion	NA	NA	NA
PLD1:171687370-171687584	PLD1	0.467	Inclusion	Down	NA	NA
PLD1:171687370-171687584	PLD1	0.853	Inclusion	Down	NA	NA
PML:74033155-74033422	PML	0.164	Inclusion	Down	NA	NA
PRKAB2:147166845-147166939	PRKAB2	0.19	Inclusion	NA	NA	NA
PRKAB2:147167766-147167933	PRKAB2	0.343	Inclusion	NA	NA	NA
PRMT7:68321425-68321462	PRMT7	0.179	Inclusion	NA	NA	NA
PTPN13:86758259-86758349	PTPN13	0.106	Inclusion	Down	NA	NA
PUF60:143820665-143820716	PUF60	0.2	Inclusion	NA	NA	NA
QKI:163563419-163563719	QKI	0.279	Inclusion	NA	NA	NA
RAF1:12586274-12587637	RAF1	0.157	Inclusion	NA	-2.4259	pHGG
RAF1:12587590-12587637	RAF1	0.127	Inclusion	NA	-2.4259	pHGG
RARG:53227361-53227687	RARG	0.124	Inclusion	Down	NA	NA
RASA1:87374162-87374320	RASA1	0.129	Inclusion	NA	NA	NA
RBM41:107088435-107088839	RBM41	0.13	Inclusion	NA	NA	NA
SCYL2:100337386-100337506	SCYL2	0.154	Inclusion	NA	NA	NA
SNX5:17968374-17968457	SNX5	0.142	Inclusion	Down	NA	NA
SP100:230462434-230462518	SP100	0.292	Inclusion	Down	NA	NA
SPECC1:20096630-20096798	SPECC1	0.113	Inclusion	Down	NA	NA
SPEG:219444652-219444742	SPEG	0.413	Inclusion	Down	NA	NA
SPEN:15872815-15873136	SPEN	0.111	Inclusion	Down	NA	NA
TCF12:57063749-57063823	TCF12	0.205	Inclusion	Down	NA	NA
TCF4:55461018-55461115	TCF4	0.115	Inclusion	Down	NA	NA
TCF4:55461018-55461115	TCF4	0.253	Inclusion	Down	NA	NA
TECTA:121166577-121166780	TECTA	0.162	Inclusion	NA	NA	NA
TET2:105233896-105237351	TET2	0.117	Inclusion	Down	NA	NA
TLE4:79705888-79705942	TLE4	0.231	Inclusion	Down	NA	NA
TLE4:79705888-79705942	TLE4	0.646	Inclusion	Down	NA	NA
TLE4:79706746-79706899	TLE4	0.206	Inclusion	Down	NA	NA
TP53BP1:43421024-43421174	TP53BP1	0.258	Inclusion	NA	NA	NA
TRRAP:98957980-98958091	TRRAP	0.134	Inclusion	NA	NA	NA
WNK3:54309094-54309315	WNK3	0.386	Inclusion	Down	NA	NA
YWHAZ:100924134-100924322	YWHAZ	0.602	Inclusion	NA	NA	NA
ZBTB21:41992492-41994108	ZBTB21	0.246	Inclusion	Down	NA	NA
ZKSCAN8:28148315-28148824	ZKSCAN8	0.128	Inclusion	NA	NA	NA
ZKSCAN8:28148315-28148824	ZKSCAN8	0.235	Inclusion	NA	NA	NA
ZKSCAN8:28148315-28148838	ZKSCAN8	0.257	Inclusion	NA	NA	NA
ZKSCAN8:28148315-28148838	ZKSCAN8	0.338	Inclusion	NA	NA	NA
ZNF638:71428546-71428651	ZNF638	0.449	Inclusion	Down	NA	NA
ZNF692:248856513-248856562	ZNF692	0.173	Inclusion	Down	NA	NA
ABCC1:16076325-16076401	ABCC1	0.301	Inclusion	NA	NA	NA
ABI1:26755654-26755741	ABI1	0.199	Inclusion	Down	NA	NA
ABI1:26763879-26763960	ABI1	0.321	Inclusion	Down	NA	NA
ACCS:44073343-44073517	ACCS	0.248	Inclusion	NA	NA	NA
ACCS:44073446-44073517	ACCS	0.258	Inclusion	NA	NA	NA
AHCTF1:246890955-246891060	AHCTF1	0.11	Inclusion	Down	NA	NA
AHCYL1:110020730-110020851	AHCYL1	0.219	Inclusion	Down	NA	NA
AHRR:422728-422858	AHRR	0.115	Inclusion	Down	NA	NA
AHRR:422728-422858	AHRR	0.138	Inclusion	Down	NA	NA
ALDH18A1:95637286-95637436	ALDH18A1	0.288	Inclusion	Down	NA	NA
APTX:32988091-32988124	APTX	0.152	Inclusion	Down	NA	NA
AXIN1:291189-291297	AXIN1	0.116	Inclusion	NA	NA	NA
BCAS3:61354361-61354502	BCAS3	0.546	Inclusion	Down	NA	NA
BCL2L1:31666990-31667147	BCL2L1	0.424	Inclusion	Down	-3.601663333333333	pHGG
BECN1:42820773-42820841	BECN1	0.178	Inclusion	Down	NA	NA
BECN1:42820773-42820841	BECN1	0.451	Inclusion	Down	NA	NA
BRF1:105252506-105252579	BRF1	0.453	Inclusion	NA	NA	NA
BRMS1:66338242-66338282	BRMS1	0.164	Inclusion	Down	NA	NA
BTRC:101550698-101550891	BTRC	0.108	Inclusion	Down	NA	NA
CAMTA2:4982088-4982175	CAMTA2	0.285	Inclusion	Down	NA	NA
CAMTA2:4982088-4982227	CAMTA2	0.33	Inclusion	Down	NA	NA
CBFB:67066681-67066798	CBFB	0.133	Inclusion	NA	NA	NA
CBX7:39134400-39134752	CBX7	0.177	Inclusion	Down	NA	NA
CD44:35196745-35196874	CD44	0.113	Inclusion	Down	NA	NA
CD44:35198147-35198246	CD44	0.322	Inclusion	Down	NA	NA
CD44:35204511-35204640	CD44	0.182	Inclusion	Down	NA	NA
CD44:35204511-35204640	CD44	0.214	Inclusion	Down	NA	NA
CDC42BPA:227254063-227254155	CDC42BPA	0.121	Inclusion	Down	NA	NA
COL11A1:103025799-103025952	COL11A1	0.114	Inclusion	NA	NA	NA
COL11A1:103026215-103026332	COL11A1	0.462	Inclusion	NA	NA	NA
COL11A1:103026215-103026332	COL11A1	0.484	Inclusion	NA	NA	NA
CREM:35188199-35188388	CREM	0.148	Inclusion	NA	NA	NA
CUL5:108104189-108104902	CUL5	0.188	Inclusion	Down	NA	NA
CYP2D6:42129032-42129185	CYP2D6	0.354	Inclusion	NA	NA	NA
DAZAP1:1429966-1429996	DAZAP1	0.203	Inclusion	Down	NA	NA
DDX58:32492390-32492538	DDX58	0.167	Inclusion	Down	NA	NA
DIABLO:122224644-122224748	DIABLO	0.135	Inclusion	NA	NA	NA
DMTF1:87188038-87188301	DMTF1	0.235	Inclusion	NA	NA	NA
EEA1:92812979-92813093	EEA1	0.105	Inclusion	Down	NA	NA
EED:86264171-86264263	EED	0.336	Inclusion	Down	-3.13992	pHGG
ELF4:130081255-130081312	ELF4	0.201	Inclusion	Down	NA	NA
ELF4:130081255-130081539	ELF4	0.107	Inclusion	Down	NA	NA
ELN:74065943-74065997	ELN	0.184	Inclusion	Down	NA	NA
ELP2:36159734-36159830	ELP2	0.241	Inclusion	Down	NA	NA
ELP3:28107912-28107976	ELP3	0.172	Inclusion	Down	NA	NA
EOMES:27719359-27719481	EOMES	0.189	Inclusion	Down	NA	NA
EOMES:27720170-27720325	EOMES	0.161	Inclusion	Down	NA	NA
EOMES:27720170-27720325	EOMES	0.326	Inclusion	Down	NA	NA
ETV6:11825643-11825713	ETV6	0.171	Inclusion	Down	NA	NA
EWSR1:29272215-29272252	EWSR1	0.399	Inclusion	NA	-2.9172291666666665	pHGG
EWSR1:29291561-29291599	EWSR1	0.125	Inclusion	NA	-2.9172291666666665	pHGG
EWSR1:29291564-29291599	EWSR1	0.102	Inclusion	NA	-2.9172291666666665	pHGG
FAT1:186590367-186590403	FAT1	0.486	Inclusion	Down	NA	NA
FBXL19:30928466-30928630	FBXL19	0.153	Inclusion	Down	NA	NA
FBXO31:87343597-87343765	FBXO31	0.649	Inclusion	Down	NA	NA
FGF11:7442593-7442792	FGF11	0.309	Inclusion	Down	NA	NA
FIP1L1:53379072-53379117	FIP1L1	0.288	Inclusion	Down	NA	NA
FUT8:65721774-65722021	FUT8	0.108	Inclusion	Down	NA	NA
GPNMB:23253306-23253459	GPNMB	0.153	Inclusion	Down	NA	NA
GPX3:151025339-151025493	GPX3	0.108	Inclusion	Down	NA	NA
HDAC10:50248661-50248751	HDAC10	0.258	Inclusion	NA	NA	NA
HDAC11:13483463-13483564	HDAC11	0.205	Inclusion	Down	NA	NA
HDAC11:13483463-13483564	HDAC11	0.23	Inclusion	Down	NA	NA
HDAC11:13502883-13502980	HDAC11	0.166	Inclusion	Down	NA	NA
HDAC2:113962366-113962394	HDAC2	0.158	Inclusion	Down	-2.262094444444444	pHGG
HDAC6:48817359-48817459	HDAC6	0.139	Inclusion	Down	NA	NA
HDAC8:72568753-72568884	HDAC8	0.252	Inclusion	NA	NA	NA
HIRA:19351357-19351446	HIRA	0.149	Inclusion	NA	NA	NA
HNRNPA1:54283078-54283234	HNRNPA1	0.213	Inclusion	Down	NA	NA
HNRNPA2B1:26193574-26193598	HNRNPA2B1	0.161	Inclusion	Down	NA	NA
HNRNPH1:179619268-179619360	HNRNPH1	0.161	Inclusion	Down	NA	NA
HNRNPH3:68337857-68337996	HNRNPH3	0.268	Inclusion	Down	NA	NA
IKBKB:42288633-42288728	IKBKB	0.229	Inclusion	NA	NA	NA
IKBKE:206493022-206493119	IKBKE	0.25	Inclusion	Down	NA	NA
IKBKE:206493022-206493119	IKBKE	0.412	Inclusion	Down	NA	NA
ING4:6656726-6656798	ING4	0.414	Inclusion	Down	NA	NA
IRAK4:43771219-43771365	IRAK4	0.153	Inclusion	Down	NA	NA
IRF1:132484361-132484497	IRF1	0.178	Inclusion	Down	NA	NA
IRF3:49664442-49664673	IRF3	0.137	Inclusion	NA	NA	NA
JAK2:5050685-5050831	JAK2	0.563	Inclusion	NA	NA	NA
KMT2D:49024577-49024737	KMT2D	0.149	Inclusion	NA	-3.46914	pHGG
L3MBTL2:41229539-41229656	L3MBTL2	0.319	Inclusion	Down	NA	NA
LARP1B:128091000-128091144	LARP1B	0.368	Inclusion	NA	NA	NA
LARP1B:128091000-128091144	LARP1B	0.441	Inclusion	NA	NA	NA
LARP1B:128091000-128091144	LARP1B	0.567	Inclusion	NA	NA	NA
LCORL:17886067-17886161	LCORL	0.161	Inclusion	Down	NA	NA
LMO3:16600600-16600868	LMO3	0.127	Inclusion	NA	NA	NA
MAP2:209696916-209697051	MAP2	0.103	Inclusion	Down	NA	NA
MAP4K3:39336919-39336967	MAP4K3	0.107	Inclusion	NA	NA	NA
MAPK12:50248661-50248751	MAPK12	0.238	Inclusion	NA	NA	NA
MBD1:50272823-50272955	MBD1	0.191	Inclusion	NA	NA	NA
MIA2:39293999-39294071	MIA2	0.107	Inclusion	NA	NA	NA
MIA2:39320927-39321056	MIA2	0.257	Inclusion	NA	NA	NA
MLH1:37020309-37020463	MLH1	0.16	Inclusion	Down	NA	NA
MLLT10:21682224-21682257	MLLT10	0.199	Inclusion	Down	NA	NA
MTERF4:241089979-241090044	MTERF4	0.11	Inclusion	Down	NA	NA
MVK:109581394-109581550	MVK	0.301	Inclusion	NA	NA	NA
MYD88:38139863-38139998	MYD88	0.108	Inclusion	Down	NA	NA
NAT10:34139190-34139287	NAT10	0.102	Inclusion	Down	NA	NA
NEDD4:55846968-55847034	NEDD4	0.144	Inclusion	Down	NA	NA
NEK8:28735239-28735371	NEK8	0.391	Inclusion	NA	NA	NA
NFE2L1:48054929-48055150	NFE2L1	0.119	Inclusion	Down	NA	NA
NFIB:14155824-14155893	NFIB	0.228	Inclusion	NA	NA	NA
NFIB:14155824-14155893	NFIB	0.264	Inclusion	NA	NA	NA
NFIB:14179726-14179780	NFIB	0.11	Inclusion	NA	NA	NA
NPM2:22025646-22025772	NPM2	0.171	Inclusion	NA	NA	NA
NPRL2:50349385-50349490	NPRL2	0.307	Inclusion	NA	NA	NA
NPRL2:50349385-50349494	NPRL2	0.13	Inclusion	NA	NA	NA
NR1H3:47259790-47259979	NR1H3	0.199	Inclusion	NA	NA	NA
NR1H3:47261546-47261726	NR1H3	0.355	Inclusion	NA	NA	NA
NR4A2:156326311-156326328	NR4A2	0.344	Inclusion	Down	NA	NA
PABPC1L:44933056-44933185	PABPC1L	0.249	Inclusion	NA	NA	NA
PABPC1L:44933071-44933185	PABPC1L	0.271	Inclusion	NA	NA	NA
PCBP2:53455884-53456001	PCBP2	0.126	Inclusion	Down	NA	NA
PCGF1:74505951-74506057	PCGF1	0.446	Inclusion	NA	NA	NA
PDSS2:107212108-107212282	PDSS2	0.207	Inclusion	Down	NA	NA
PER2:238260827-238260953	PER2	0.106	Inclusion	Down	NA	NA
PER2:238275742-238275897	PER2	0.122	Inclusion	Down	NA	NA
PER2:238275742-238275897	PER2	0.14	Inclusion	Down	NA	NA
PHC3:170128339-170128387	PHC3	0.142	Inclusion	Down	NA	NA
PHC3:170145422-170145521	PHC3	0.116	Inclusion	Down	NA	NA
PHF21A:46079133-46079166	PHF21A	0.249	Inclusion	NA	NA	NA
PIM2:48915019-48915392	PIM2	0.145	Inclusion	NA	NA	NA
PKD1:2092953-2093093	PKD1	0.135	Inclusion	Down	NA	NA
PLD1:171686684-171686798	PLD1	0.614	Inclusion	Down	NA	NA
PLEKHA8:30061896-30062027	PLEKHA8	0.138	Inclusion	Down	NA	NA
PML:74032571-74032715	PML	0.201	Inclusion	Down	NA	NA
PNCK:153671879-153672018	PNCK	0.136	Inclusion	NA	NA	NA
PTK2:140879470-140879637	PTK2	0.151	Inclusion	Down	NA	NA
PTK2B:27422303-27422383	PTK2B	0.142	Inclusion	NA	NA	NA
PTPN12:77592184-77592256	PTPN12	0.14	Inclusion	Down	NA	NA
RAB7A:128797942-128798069	RAB7A	0.344	Inclusion	NA	NA	NA
RAD51D:35107365-35107447	RAD51D	0.298	Inclusion	Down	NA	NA
RARA:40342795-40342867	RARA	0.126	Inclusion	Down	-3.4883999999999995	pHGG
RBM33:155711172-155711455	RBM33	0.39	Inclusion	Down	NA	NA
RBM33:155711202-155711455	RBM33	0.206	Inclusion	Down	NA	NA
RBSN:15075046-15075116	RBSN	0.319	Inclusion	Down	NA	NA
RBX1:40964046-40964117	RBX1	0.563	Inclusion	NA	NA	NA
RBX1:40967798-40967884	RBX1	0.295	Inclusion	NA	NA	NA
RFX5:151345927-151345957	RFX5	0.179	Inclusion	Down	NA	NA
RIPK1:3080978-3081116	RIPK1	0.177	Inclusion	NA	NA	NA
RPA2:27897632-27897707	RPA2	0.124	Inclusion	NA	NA	NA
RSF1:77693506-77693611	RSF1	0.444	Inclusion	Down	NA	NA
RSKR:28612261-28612366	RSKR	0.14	Inclusion	Down	NA	NA
RSRP1:25306895-25306949	RSRP1	0.407	Inclusion	Down	NA	NA
RSRP1:25306895-25306949	RSRP1	0.558	Inclusion	Down	NA	NA
RUNX1:34859473-34859578	RUNX1	0.102	Inclusion	Down	NA	NA
RXRB:33196433-33196606	RXRB	0.735	Inclusion	Down	NA	NA
SDHC:161323613-161323670	SDHC	0.43	Inclusion	Down	-2.73995	pHGG
SDHC:161326650-161326768	SDHC	0.414	Inclusion	Down	-2.73995	pHGG
SDHC:161328395-161328497	SDHC	0.206	Inclusion	Down	-2.73995	pHGG
SEMA4B:90217766-90217928	SEMA4B	0.38	Inclusion	Down	NA	NA
SH3BP2:2825125-2825196	SH3BP2	0.135	Inclusion	Down	NA	NA
SIN3B:16853068-16853158	SIN3B	0.15	Inclusion	NA	NA	NA
SIRT6:4179103-4179286	SIRT6	0.152	Inclusion	NA	NA	NA
SMARCAD1:94278421-94278517	SMARCAD1	0.278	Inclusion	Down	NA	NA
SMARCC2:56164302-56164368	SMARCC2	0.224	Inclusion	Down	NA	NA
SNRPD2:45689232-45689347	SNRPD2	0.195	Inclusion	NA	NA	NA
SP3:173964404-173964553	SP3	0.152	Inclusion	NA	NA	NA
SS18:26084051-26084175	SS18	0.174	Inclusion	Down	NA	NA
SS18L1:62161435-62161580	SS18L1	0.111	Inclusion	Down	NA	NA
SSBP3:54258068-54258149	SSBP3	0.117	Inclusion	Down	NA	NA
SSBP4:18431646-18431706	SSBP4	0.427	Inclusion	Down	NA	NA
STRADA:63713459-63713527	STRADA	0.134	Inclusion	Down	NA	NA
TAF1:71459149-71459251	TAF1	0.252	Inclusion	NA	NA	NA
TBX18:84760254-84760356	TBX18	0.13	Inclusion	Down	NA	NA
TBX20:35249950-35250203	TBX20	0.156	Inclusion	Down	NA	NA
TCF3:1631950-1632116	TCF3	0.114	Inclusion	Down	NA	NA
TCF4:55350873-55351003	TCF4	0.136	Inclusion	Down	NA	NA
TET2:105243569-105243778	TET2	0.144	Inclusion	Down	NA	NA
TLE4:79652592-79652794	TLE4	0.159	Inclusion	Down	NA	NA
TLE4:79707122-79707218	TLE4	0.525	Inclusion	Down	NA	NA
TP73:3682332-3682430	TP73	0.219	Inclusion	Down	NA	NA
TTLL3:9816073-9816202	TTLL3	0.124	Inclusion	NA	NA	NA
TTLL3:9817644-9817759	TTLL3	0.173	Inclusion	NA	NA	NA
TTLL3:9817644-9818920	TTLL3	0.108	Inclusion	NA	NA	NA
TTLL3:9817644-9820741	TTLL3	0.145	Inclusion	NA	NA	NA
TTLL3:9818554-9818920	TTLL3	0.159	Inclusion	NA	NA	NA
TTLL3:9818821-9818920	TTLL3	0.149	Inclusion	NA	NA	NA
TYW5:199936404-199936492	TYW5	0.152	Inclusion	Down	NA	NA
UCHL5:193020306-193020381	UCHL5	0.147	Inclusion	NA	NA	NA
USP32:60211375-60211514	USP32	0.115	Inclusion	Down	NA	NA
WDR82:52260384-52260501	WDR82	0.141	Inclusion	NA	NA	NA
WIZ:15428109-15428508	WIZ	0.213	Inclusion	NA	NA	NA
ZDHHC18:26850300-26850438	ZDHHC18	0.194	Inclusion	Down	NA	NA
ZDHHC3:44929305-44929436	ZDHHC3	0.284	Inclusion	Down	NA	NA
ZDHHC3:44933117-44933199	ZDHHC3	0.589	Inclusion	Down	NA	NA
ZFP1:75166769-75166896	ZFP1	0.146	Inclusion	NA	NA	NA
ZMYND11:247397-247466	ZMYND11	0.288	Inclusion	Down	NA	NA
ZNF195:3361975-3362032	ZNF195	0.262	Inclusion	Down	NA	NA
ZNF346:177041777-177041870	ZNF346	0.148	Inclusion	Down	NA	NA
ZNF346:177041777-177041870	ZNF346	0.188	Inclusion	Down	NA	NA
ZNF346:177044388-177044533	ZNF346	0.131	Inclusion	Down	NA	NA
ZNF346:177044391-177044533	ZNF346	0.154	Inclusion	Down	NA	NA
ZNF346:177044391-177044533	ZNF346	0.457	Inclusion	Down	NA	NA
ZNF385D:21436969-21437203	ZNF385D	0.176	Inclusion	Down	NA	NA
ZNF385D:21510860-21511023	ZNF385D	0.158	Inclusion	Down	NA	NA
ZNF410:73896347-73896534	ZNF410	0.322	Inclusion	NA	NA	NA
ZNF44:12272486-12274063	ZNF44	0.18	Inclusion	NA	NA	NA
ZNF451:57090832-57090894	ZNF451	0.105	Inclusion	Down	NA	NA
ZNF512:27583657-27583716	ZNF512	0.201	Inclusion	Down	NA	NA
ZNF514:95152673-95152769	ZNF514	0.259	Inclusion	NA	NA	NA
ZNF618:114008476-114008554	ZNF618	0.156	Inclusion	Down	NA	NA
ZNF778:89223156-89223283	ZNF778	0.204	Inclusion	Down	NA	NA
ZNF875:37357961-37358039	ZNF875	0.38	Inclusion	NA	NA	NA
ZSCAN23:28435858-28436343	ZSCAN23	0.259	Inclusion	NA	NA	NA
ADAM23:206561127-206561212	ADAM23	0.183	Inclusion	Down	NA	NA
ADGRE5:14396341-14396473	ADGRE5	0.132	Inclusion	Down	NA	NA
BMPR1B:95114719-95114827	BMPR1B	0.189	Inclusion	Down	NA	NA
LRP1B:140993994-140994135	LRP1B	0.103	Inclusion	NA	NA	NA
LTBP2:74528482-74528698	LTBP2	0.21	Inclusion	NA	NA	NA
MALT1:58709975-58710072	MALT1	0.611	Inclusion	Down	NA	NA
NOTCH3:15184294-15184450	NOTCH3	0.155	Inclusion	Down	NA	NA
PKD1:2116832-2117016	PKD1	0.162	Inclusion	Down	NA	NA
PKD1:2116832-2117053	PKD1	0.148	Inclusion	Down	NA	NA
MIER1:66928886-66928963	MIER1	0.108	Inclusion	Down	NA	NA
MIER1:66928889-66928963	MIER1	0.147	Inclusion	Down	NA	NA
SERPINI2:167473736-167473827	SERPINI2	0.324	Inclusion	Down	NA	NA
ABL2:179107717-179109441	ABL2	0.342	Inclusion	Down	NA	NA
AKR1B1:134447297-134448061	AKR1B1	0.194	Inclusion	Down	NA	NA
APTX:32987543-32988129	APTX	0.12	Inclusion	Down	NA	NA
ATF3:212619045-212619555	ATF3	0.509	Inclusion	Up	NA	NA
BRD2:32976561-32977570	BRD2	0.285	Inclusion	Down	NA	NA
CIRBP:1271980-1274440	CIRBP	0.207	Inclusion	NA	NA	NA
CLK1:200859679-200861466	CLK1	0.544	Inclusion	Down	NA	NA
CLK4:178616881-178618778	CLK4	0.582	Inclusion	Down	NA	NA
CTNND1:57805541-57806983	CTNND1	0.113	Inclusion	NA	NA	NA
CUL2:35031490-35032494	CUL2	0.278	Inclusion	Down	NA	NA
DDIT3:57517268-57517753	DDIT3	0.152	Inclusion	Down	NA	NA
DNAJC11:6652828-6654039	DNAJC11	0.142	Inclusion	NA	NA	NA
EIF3I:32228726-32229208	EIF3I	0.304	Inclusion	Down	-4.6093472222222225	pHGG
EXOSC2:130699328-130702310	EXOSC2	0.169	Inclusion	NA	NA	NA
EZH2:148816683-148818117	EZH2	0.12	Inclusion	Down	-2.11252	pHGG
GLYR1:4803202-4805310	GLYR1	0.117	Inclusion	Down	NA	NA
HINT1:131159295-131162676	HINT1	0.186	Inclusion	Down	NA	NA
HNRNPA2B1:26190992-26192577	HNRNPA2B1	0.192	Inclusion	Down	NA	NA
HNRNPH1:179620891-179621397	HNRNPH1	0.176	Inclusion	Down	NA	NA
HNRNPH3:68337198-68338687	HNRNPH3	0.114	Inclusion	Down	NA	NA
HNRNPL:38840095-38840559	HNRNPL	0.121	Inclusion	Down	NA	NA
HSP90B1:103931520-103932418	HSP90B1	0.128	Inclusion	Down	NA	NA
MAP3K12:53486946-53487428	MAP3K12	0.155	Inclusion	Down	NA	NA
MAP3K14:45270412-45271221	MAP3K14	0.224	Inclusion	NA	NA	NA
MAPK12:50255614-50256199	MAPK12	0.222	Inclusion	NA	NA	NA
MARS1:57516244-57516655	MARS1	0.199	Inclusion	Down	NA	NA
PABPC4:39563613-39564542	PABPC4	0.108	Inclusion	NA	NA	NA
PABPC4:39563613-39564542	PABPC4	0.145	Inclusion	NA	NA	NA
PPIE:39741894-39743297	PPIE	0.128	Inclusion	NA	NA	NA
RAF1:12585121-12587637	RAF1	0.215	Inclusion	NA	-2.4259	pHGG
RBM3:48575560-48576083	RBM3	0.171	Inclusion	Down	NA	NA
RBMX:136872267-136875168	RBMX	0.227	Inclusion	Down	NA	NA
RIPK1:3082546-3083313	RIPK1	0.125	Inclusion	NA	NA	NA
SMAD3:67166530-67166853	SMAD3	0.22	Inclusion	Down	NA	NA
SMARCE1:40631591-40636102	SMARCE1	0.784	Inclusion	Down	NA	NA
TCF3:1615284-1615821	TCF3	0.129	Inclusion	Down	NA	NA
