Kinase	Epigenetic	SWISNF	Cancer	SF
ULK3	KDM7A			SNRPG
ULK4	KDM8			SNRPN
PIK3R4	KEAP1			SNU13
Wee1	KMT2A			SNURF
MYT1	KMT2B			SNW1
Wee1B	KMT2C			SPEN
Wnk1	KMT2D			SREK1
Wnk4	KMT2E			SRPK1
Wnk3	L3MBTL1			SRPK2
Wnk2	L3MBTL2			SRPK3
HSER	L3MBTL3			SRRM1
CYGF	L3MBTL4			SRRM2
CYGD	LAS1L			SRRT
ANPa	LBR			SRSF1
ANPb	LEO1			SRSF10
MAP3K5	LRWD1			SRSF11
MAP3K6	MAP3K7			SRSF12
MAP3K7	MAPKAPK3			SRSF2
MAP3K1	MASTL			SRSF3
MAP3K8	MAX			SRSF4
MAP3K3	MAZ			SRSF5
MAP3K2	MBD1			SRSF6
MAP3K4	MBD2			SRSF7
OSR1	MBD3			SRSF8
STLK3	MBD4			SRSF9
GCK	MBD5			SSB
KHS2	MBD6			SUGP1
KHS1	MBIP			SYF2
HPK1	MBTD1			SYNCRIP
HGK	MCRS1			TAF15
TNIK	MDC1			TCERG1
NRK	MEAF6			TFIP11
MINK	MECP2			THOC1
MST2	MEN1			THOC2
MST1	MGA			THOC3
MYO3A	MGEA5			THOC5
MYO3B	MINA			THOC6
PAK1	MLLT1			THOC7
PAK2	MLLT10			THRAP3
PAK3	MLLT6			TIA1
PAK4	MORF4L1			TIAL1
PAK6	MORF4L2			TNPO1
PAK5	MOV10			TOE1
LOK	MPHOSPH8			TOP1MT
SLK	MRGBP			TOPORS
STLK6	MSH6			TRA2A
STLK5	MSL1			TRA2B
TAO2	MSL2			TRIM24
TAO3	MSL3			TTC14
TAO1	MST1			TXNL4A
MST3	MTA1			U2AF1
YSK1	MTA2			U2AF1L4
MST4	MTA3			U2AF2
MAP2K1	MTF2			U2SURP
MAP2K2	MUM1			UBL5
MAP2K3	MYBBP1A			USP39
MAP2K6	MYO1C			WBP11
MAP2K4	MYSM1			WBP4
MAP2K5	NAA60			WDR77
MAP2K7	NAP1L1			WDR83
COT	NAP1L2			WTAP
NIK	NAP1L4			XAB2
ABL1	NASP			YBX1
ABL2	NAT10			YBX3
ACK	NBN			ZC3H11A
TNK1	NCL			ZC3H13
ALK	NCOA1			ZC3H18
LTK	NCOA2			ZC3H4
AXL	NCOA3			ZC3HAV1
TYRO3	NCOA6			ZCCHC10
MER	NCOR1			ZCCHC8
CCK4	NCOR2			ZCRB1
CSK	NEK6			ZFR
CTK	NEK9			ZMAT2
DDR1	NFRKB			ZMAT5
DDR2	NFYB			ZMYM3
EGFR	NFYC			ZNF131
ErbB2	NIPBL			ZNF207
ErbB3	NOC2L			ZNF326
ErbB4	NPAS2			ZNF346
EphA2	NPM1			ZNF830
EphA1	NPM2			ZRSR1
EphA3	NSD1			ZRSR2
EphA4	NSL1			
EphA5	OGT			
EphA7	PADI1			
EphA8	PADI2			
EphB1	PADI3			
EphB2	PADI4			
EphB3	PAF1			
EphB4	PAGR1			
EphB6	PAK2			
EphA10	PARG			
EphA6	PARP1			
PYK2	PARP2			
FAK	PARP3			
FER	PAXIP1			
FES	PBK			
FGFR1	PBRM1			
FGFR3	PCGF1			
FGFR2	PCGF2			
FGFR4	PCGF3			
IGF1R	PCGF5			
INSR	PCGF6			
IRR	PCNA			
JAK1	PDP1			
JAK2	PELP1			
JAK3	PHC1			
TYK2	PHC2			
LMR1	PHC3			
LMR2	PHF1			
LMR3	PHF10			
MET	PHF12			
RON	PHF13			
MUSK	PHF14			
FMS	PHF19			
FLT3	PHF2			
KIT	PHF20			
PDGFRa	PHF20L1			
PDGFRb	PHF21A			
RET	PHF8			
ROR1	PHIP			
ROR2	PIWIL4			
RYK	PKM			
ROS	PKN1			
FRK	POGZ			
FGR	POLE3			
FYN	PPARGC1A			
SRC	PPM1G			
YES	PPP2CA			
BLK	PPP4C			
HCK	PPP4R2			
LCK	PRDM1			
LYN	PRDM11			
BRK	PRDM12			
SRM	PRDM13			
SYK	PRDM14			
ZAP70	PRDM16			
BMX	PRDM2			
BTK	PRDM4			
ITK	PRDM5			
TEC	PRDM6			
TXK	PRDM7			
TIE2	PRDM8			
TIE1	PRDM9			
SuRTK106	PRKAA1			
TRKA	PRKAA2			
TRKB	PRKAB1			
TRKC	PRKAB2			
FLT1	PRKAG1			
FLT4	PRKAG2			
KDR	PRKAG3			
IRAK1	PRKCA			
IRAK2	PRKCB			
IRAK3	PRKCD			
IRAK4	PRKDC			
LIMK1	PRMT1			
LIMK2	PRMT2			
TESK1	PRMT5			
TESK2	PRMT6			
LRRK1	PRMT7			
LRRK2	PRMT8			
HH498	PRMT9			
ILK	PRPF31			
DLK	PRR14			
LZK	PSIP1			
MLK1	RAD51			
MLK2	RAD54B			
MLK3	RAD54L			
MLK4	RAD54L2			
TAK1	RAG1			
ZAK	RAG2			
KSR1	RAI1			
KSR2	RARA			
ARAF	RB1			
BRAF	RBBP4			
RAF1	RBBP5			
RIPK1	RBBP7			
RIPK2	RBX1			
RIPK3	RCC1			
ANKRD3	RCOR1			
SgK288	RCOR3			
ALK2	REST			
ALK4	RING1			
ALK1	RLIM			
BMPR1A	RMI1			
BMPR1B	RNF168			
TGFbR1	RNF2			
ALK7	RNF20			
ACTR2	RNF40			
ACTR2B	RNF8			
MISR2	RPS6KA3			
BMPR2	RPS6KA4			
TGFbR2	RPS6KA5			
MLKL	RRP8			
CK2a1-rs	RSF1			
STLK6-rs	RUVBL1			
MRCKps	RUVBL2			
GPRK6ps	RYBP			
PRKXps	SAFB			
PKCips	SAP130			
p70S6Kps2	SAP18			
p70S6Kps1	SAP25			
RIOK3ps	SAP30			
MARKps30	SAP30L			
MARKps29	SATB1			
MARKps28	SATB2			
MARKps27	SCMH1			
MARKps26	SCML2			
MARKps25	SCML4			
MARKps24	SENP1			
MARKps23	SENP3			
MARKps22	SET			
MARKps21	SETD1A			
MARKps20	SETD1B			
MARKps19	SETD2			
MARKps18	SETD3			
MARKps17	SETD5			
MARKps16	SETD6			
MARKps15	SETD7			
MARKps13	SETD8			
MARKps12	SETDB1			
MARKps11	SETDB2			
MARKps10	SETMAR			
MARKps09	SF3B1			
MARKps08	SF3B3			
MARKps07	SFMBT1			
MARKps05	SFMBT2			
MARKps04	SFPQ			
MARKps03	SHPRH			
MARKps02	SIN3A			
MARKps01	SIN3B			
STK33ps	SIRT1			
MAPKAPKps1	SIRT2			
MNK1ps	SIRT6			
PHKg1ps3	SIRT7			
PHKg1ps2	SKP1			
PHKg1ps1	SMARCA1			
PSKH1ps	SMARCA2			
CHK2ps2	SMARCA4			
CHK2ps1	SMARCA5			
TSSKps2	SMARCAD1			
TSSKps1	SMARCAL1			
CK1aps3	SMARCB1			
CK1aps2	SMARCC1			
CK1aps1	SMARCC2			
CK1g2ps	SMARCD1			
VRK3ps	SMARCD2			
CDK4ps	SMARCD3			
CDK5ps	SMARCE1			
CDK7ps	SMEK1			
CDK8ps	SMEK2			
CLK3ps	SMYD1			
CLK2ps	SMYD2			
PRP4ps	SMYD3			
Erk3ps4	SMYD4			
Erk3ps3	SNAI2			
Erk3ps2	SP1			
Erk3ps1	SP100			
SRPK2ps	SP140			
AurBps1	SPEN			
AurAps2	SPOP			
AurAps1	SRCAP			
MPSK1ps	SRSF1			
NEK2ps3	SRSF3			
NEK2ps2	SS18L1			
NEK2ps1	SS18L2			
NEK4ps	SSRP1			
HRIps	STK4			
PLK1ps2	SUDS3			
PLK1ps1	SUPT16H			
SgK384ps	SUPT3H			
SAKps	SUPT6H			
SCYL2ps	SUPT7L			
TLK2ps2	SUV39H1			
TLK2ps1	SUV39H2			
TLK1ps	SUV420H1			
Wee1ps2	SUV420H2			
Wee1ps1	SUZ12			
Wee1Bps	SYNCRIP			
SgK050ps	TADA1			
KSGCps	TADA2A			
CGDps	TADA2B			
PAK2ps	TADA3			
STLK6ps1	TAF1			
MST3ps	TAF10			
MAP2K2ps	TAF12			
MAP2K1ps	TAF1L			
TYRO3ps	TAF2			
FERps	TAF3			
RYKps	TAF4			
YESps	TAF5			
FLT1ps	TAF5L			
LIMK2ps	TAF6			
RAF1ps	TAF6L			
BRAFps	TAF7			
ARAFps	TAF8			
BMPR1Aps2	TAF9			
BMPR1Aps1	TAF9B			
	TBL1XR1			
	TDG			
	TDRD3			
	TDRD7			
	TDRKH			
	TET1			
	TET2			
	TET3			
	TEX10			
	TFDP1			
	TFPT			
	TLE1			
	TLE2			
	TLE4			
	TLK1			
	TLK2			
	TNP1			
	TNP2			
	TONSL			
	TOP2A			
	TOP2B			
	TP53			
	TP53BP1			
	TRIM16			
	TRIM24			
	TRIM27			
	TRIM28			
	TRIM33			
	TRRAP			
	TSSK6			
	TTK			
	TYW5			
	UBE2A			
	UBE2B			
	UBE2D1			
	UBE2D3			
	UBE2E1			
	UBE2H			
	UBE2N			
	UBE2T			
	UBN1			
	UBR2			
	UBR5			
	UBR7			
	UCHL5			
	UHRF1			
	UHRF2			
	UIMC1			
	USP11			
	USP12			
	USP15			
	USP16			
	USP17L2			
	USP21			
	USP22			
	USP3			
	USP36			
	USP44			
	USP46			
	USP49			
	USP7			
	UTY			
	VDR			
	VPS72			
	VRK1			
	WAC			
	WDR5			
	WDR77			
	WDR82			
	WHSC1			
	WHSC1L1			
	WSB2			
	YAF2			
	YEATS2			
	YEATS4			
	YWHAB			
	YWHAE			
	YWHAZ			
	YY1			
	ZBTB16			
	ZBTB33			
	ZBTB7C			
	ZCWPW1			
	ZFP57			
	ZGPAT			
	ZHX1			
	ZMYM2			
	ZMYM3			
	ZMYND11			
	ZMYND8			
	ZNF217			
	ZNF516			
	ZNF532			
	ZNF541			
	ZNF592			
	ZNF687			
	ZNF711			
	ZNHIT1			
	ZRANB3			
	ZZZ3			
