Vessel Name: 2024.05.30_Cirtuvivint
Metric: KNS-42 Confluence (%)
Cell Type: KNS-42, SMS-KAN
Passage: 1
Notes: Entered by user kconkrite on 6/3/2024 12:36:16 PM:
Cells plated 5/30. 12k/well for 3 day assay, 6k/well for 6 day. Allow to settle 30 minutes before placing in Incucyte. Wait 30 minutes in Incucyte before initiating scan.

5/31- 2 pm. Remove plates from Incucyte, remove 95 uL media from each well. Replace with 100 uL either fresh media, media + DMSO, or Media + Cirtuvivint in serial dilutions. Replace back into Incucyte and continue scanning.
Analysis: KNS-42_20x_klc

Date Time	Elapsed	KNS-42 (2) 12K / well Fresh Media 100% (B2)	KNS-42 (2) 12K / well Fresh Media 100% (B11)	KNS-42 (2) 12K / well Fresh Media 100% (C2)	KNS-42 (2) 12K / well Fresh Media 100% (C11)	KNS-42 (2) 12K / well Fresh Media 100% (D2)	KNS-42 (2) 12K / well Fresh Media 100% (D11)	KNS-42 (2) 12K / well DMSO Vehicle 2% (B3)	KNS-42 (2) 12K / well DMSO Vehicle 2% (C3)	KNS-42 (2) 12K / well DMSO Vehicle 2% (D3)	KNS-42 (2) 12K / well CIrtuvivint 10 µM (B4)	KNS-42 (2) 12K / well CIrtuvivint 10 µM (C4)	KNS-42 (2) 12K / well CIrtuvivint 10 µM (D4)	KNS-42 (2) 12K / well CIrtuvivint 5 µM (B5)	KNS-42 (2) 12K / well CIrtuvivint 5 µM (C5)	KNS-42 (2) 12K / well CIrtuvivint 5 µM (D5)	KNS-42 (2) 12K / well CIrtuvivint 1 µM (B6)	KNS-42 (2) 12K / well CIrtuvivint 1 µM (C6)	KNS-42 (2) 12K / well CIrtuvivint 1 µM (D6)	KNS-42 (2) 12K / well CIrtuvivint 0.5 µM (B7)	KNS-42 (2) 12K / well CIrtuvivint 0.5 µM (C7)	KNS-42 (2) 12K / well CIrtuvivint 0.5 µM (D7)	KNS-42 (2) 12K / well CIrtuvivint 0.1 µM (B8)	KNS-42 (2) 12K / well CIrtuvivint 0.1 µM (C8)	KNS-42 (2) 12K / well CIrtuvivint 0.1 µM (D8)	KNS-42 (2) 12K / well CIrtuvivint 0.05 µM (B9)	KNS-42 (2) 12K / well CIrtuvivint 0.05 µM (C9)	KNS-42 (2) 12K / well CIrtuvivint 0.05 µM (D9)	KNS-42 (2) 12K / well CIrtuvivint 0.01 µM (B10)	KNS-42 (2) 12K / well CIrtuvivint 0.01 µM (C10)	KNS-42 (2) 12K / well CIrtuvivint 0.01 µM (D10)
5/31/2024 11:23:00 AM	20	57.38453	61.54051	64.96032	62.19694	60.7682	68.11463	64.9316	59.54212	63.69518	61.16873	68.60199	59.7211	65.24026	63.02184	60.14365	64.3955	59.42953	54.04723	64.54547	60.05544	60.02193	58.94446	59.83695	64.85462	68.36626	62.50908	61.73046	66.23682	65.31635	61.34876
5/31/2024 1:23:00 PM	22	60.18151	64.98407	68.36983	64.84457	63.70349	70.79607	67.74851	62.31394	66.57692	64.40559	71.33944	61.8869	67.95388	65.30541	62.7178	66.87042	61.56123	57.12952	67.73236	62.98527	61.82704	62.20699	61.65582	67.41199	70.8208	65.04811	64.1901	69.29327	67.39222	64.53513
5/31/2024 3:23:00 PM	24	61.54225	66.97931	70.27161	66.64349	65.9103	72.70815	68.11798	62.77904	67.1917	67.02918	72.36367	63.36734	70.0878	56.22417	64.16589	68.62292	62.91734	59.3498	68.49092	64.64031	57.44116	64.18127	62.8541	69.30141	71.85233	65.21964	65.7262	70.68518	65.2055	65.95177
5/31/2024 5:23:00 PM	26	63.51147	67.84413	71.50933	66.81333	66.76532	74.03674	68.49382	63.33567	66.68045	68.80788	73.46155	65.18124	71.42769	68.47477	65.73077	70.57424	63.44614	61.3341	70.23572	65.89789	49.1729	66.07545	63.27954	70.24091	73.86512	65.96655	67.20123	71.12576	64.35638	67.18878
5/31/2024 7:23:00 PM	28	60.6363	70.43401	73.11652	69.09261	68.48415	75.73569	69.63153	64.88698	65.7063	70.80251	74.62007	62.2199	73.47898	70.99874	64.19097	72.72073	66.10986	63.70607	72.92897	67.85512	67.66915	67.56366	66.55849	73.21514	76.09355	68.27492	69.75553	73.81745	66.99645	68.52602
5/31/2024 9:23:00 PM	30	65.59168	71.78242	75.84659	71.11137	70.68867	77.15544	70.23606	65.25842	69.61086	72.25772	76.55588	67.94326	75.67806	67.7494	71.03659	74.89182	70.44274	65.79352	74.69769	70.16649	70.72491	69.46267	68.10227	75.51329	77.68356	69.44409	71.77125	76.20842	67.90604	71.84638
5/31/2024 11:23:00 PM	32	66.66663	73.90814	77.55109	72.85325	73.43463	78.86722	70.34209	65.14828	70.90746	73.30058	77.77602	68.98782	77.30637	71.49892	72.82332	77.19193	72.4408	67.84958	76.70903	72.26396	73.0306	70.42084	69.57524	76.77435	79.03673	71.46134	72.91449	78.10794	62.38085	72.74794
6/1/2024 1:23:00 AM	34	68.57501	75.69023	79.58527	74.98067	75.56705	80.98996	70.65164	66.31734	71.94098	73.92021	78.31314	69.83378	78.47738	70.28915	74.12747	78.88116	73.86928	69.55235	78.33058	62.1959	76.06746	71.28059	70.50358	78.16873	80.61806	72.52457	74.75852	79.60454	79.09064	75.43909
6/1/2024 3:23:00 AM	36	71.76585	78.07568	82.00989	76.67879	77.15466	82.55527	73.0334	66.6411	72.66724	74.38258	78.67247	70.23946	79.03629	71.49812	75.17057	80.36508	75.08855	70.76114	79.96951	76.13149	78.00093	73.03888	72.57298	79.49346	81.82819	73.95341	76.52568	81.23872	66.675	77.42091
6/1/2024 5:23:00 AM	38	71.9285	80.5658	79.92834	77.59525	76.27087	79.51539	73.11809	68.35879	72.90997	74.45807	78.7599	70.87532	80.05825	69.64792	75.35246	82.11007	68.90533	72.14203	81.56922	77.85489	78.68053	75.64612	74.43137	81.56299	83.30774	78.50152	78.66446	82.40024	79.5807	77.6782
6/1/2024 7:23:00 AM	40	68.97265	81.74681	69.49998	78.90449	78.6534	84.81636	74.69888	70.05856	71.84679	74.56379	77.91865	71.33629	80.44678	75.5654	76.16381	83.48244	77.2243	73.2449	83.04552	79.04668	73.08438	77.07324	77.12772	84.27008	85.42337	79.31644	79.6424	84.37925	82.79883	81.2504
6/1/2024 9:23:00 AM	42	64.74065	83.20451	75.0928	79.83533	78.40468	85.78656	75.47884	71.62244	74.70818	74.72836	77.3972	71.3533	81.04382	70.16181	76.95437	85.00111	79.56044	75.12547	84.55096	80.71185	74.29893	79.13686	78.32921	85.13074	85.76433	80.35487	82.19997	85.28143	83.92944	83.06683
6/1/2024 11:23:00 AM	44	77.54811	84.13231	86.2158	81.06992	79.413	87.03207	77.34126	73.04856	75.36223	74.72441	77.46937	71.09483	81.46889	77.6396	77.34699	86.30934	79.88095	76.30029	85.78724	69.66109	84.63416	80.63712	79.26176	86.53787	86.87486	82.12738	82.79573	85.82742	84.54325	83.9451
6/1/2024 1:23:00 PM	46	77.68834	85.10683	87.02248	82.929	80.21578	87.35533	77.87638	74.10509	75.78214	74.40546	77.92837	70.9521	81.49943	77.10048	77.44627	86.92294	80.92888	77.97829	86.79197	69.63959	83.99025	81.30933	80.71024	86.80594	87.00794	82.53858	82.76126	86.51299	85.40897	85.03117
6/1/2024 3:23:00 PM	48	79.49587	85.11836	87.62048	83.92991	81.03539	87.98566	78.29637	75.93996	77.31093	73.91536	77.97293	70.70258	81.62074	76.94194	77.50368	87.95092	82.69449	79.33069	87.68983	84.08743	85.37336	81.14171	81.79889	87.5213	87.26366	83.26354	84.09029	87.12405	86.05078	85.33009
6/1/2024 5:23:00 PM	50	79.86639	85.94298	89.01505	84.52979	82.57314	88.96765	80.12318	76.80187	77.82341	73.38158	77.71091	70.65859	81.66809	77.01038	77.9408	88.7773	83.15248	80.43503	89.15783	85.79811	87.6936	81.3448	81.84968	87.0321	87.76816	84.39605	85.50634	87.32811	85.0521	85.39685
6/1/2024 7:23:00 PM	52	81.01011	85.37347	89.75145	84.68182	83.72459	89.74614	81.52325	77.59576	78.9104	73.03293	77.5713	70.19522	81.6644	76.56403	77.92258	89.34761	82.98122	81.00607	89.7169	69.80433	86.12835	81.44237	81.67477	87.41512	89.02676	84.7018	85.64656	88.4223	85.6993	86.2941
6/1/2024 9:23:00 PM	54	81.50474	86.59753	90.11401	85.74404	84.28326	90.40479	83.08588	78.9038	80.27776	72.30137	77.31121	69.64098	81.44041	79.01857	77.81618	89.74812	85.15707	81.61923	90.49686	73.61443	87.20716	82.8946	82.74992	87.99538	89.56953	86.16955	86.45071	89.72487	88.28555	87.18262
6/1/2024 11:23:00 PM	56	82.76991	87.66328	90.97784	86.66673	84.54117	91.74461	84.30939	80.11134	81.97817	72.01379	77.01921	69.27077	81.02105	78.64151	77.59545	90.17563	84.98109	82.18005	91.18679	88.46931	89.12824	83.38573	83.93194	89.25977	90.63888	86.72807	86.87752	90.8028	89.37445	88.64899
6/2/2024 1:23:00 AM	58	84.55148	88.3464	92.15994	87.59967	85.63355	92.46122	85.55365	81.48615	83.72236	71.71651	76.96999	69.12174	81.0535	78.76753	77.56559	90.41927	84.84952	82.65451	91.93431	89.00877	89.83651	85.43631	85.70224	90.31274	91.57501	88.09169	88.25554	91.51184	82.66296	89.80122
6/2/2024 3:23:00 AM	60	85.01598	89.39583	91.85888	88.85007	86.70995	91.99333	86.13209	83.00948	84.59334	71.59555	76.57668	68.82088	80.49493	77.36089	77.30746	90.58862	84.98927	82.46629	92.46066	89.51503	74.62125	86.5835	86.69893	90.67493	92.64617	89.08855	89.27031	91.99476	89.31925	91.43372
6/2/2024 5:23:00 AM	62	85.47699	90.17388	94.1487	89.63658	87.61439	92.06921	86.71268	83.5638	85.57552	71.28793	76.31364	68.63982	80.75765	73.46088	77.01906	90.54452	77.14334	82.82875	92.78049	73.8776	69.25731	87.19746	87.44482	91.79247	93.40323	89.49969	89.59608	92.89192	91.23389	92.00102
6/2/2024 7:23:00 AM	64	75.51438	91.20624	91.55558	90.61278	82.19229	92.82366	84.66415	83.76144	81.37392	71.06863	76.20583	68.17577	80.42252	74.37946	75.99179	90.15464	79.68784	82.85448	92.96806	89.43228	71.36949	87.95506	88.04576	92.24655	93.69772	89.05372	90.34993	92.70002	86.33224	92.24834
6/2/2024 9:23:00 AM	66	86.04686	91.91772	95.13309	90.88199	88.75491	93.65442	88.25924	84.84177	86.42101	70.80556	76.0405	68.4082	80.63422	75.26596	76.61375	90.44331	84.14032	82.84724	93.935	91.01549	79.51574	88.70439	88.73752	92.98703	94.36951	91.22171	90.59732	94.36369	93.30428	92.96656
6/2/2024 11:23:00 AM	68	88.08949	92.95538	95.55582	91.64678	90.20528	94.29926	88.91442	85.2652	87.70757	70.67055	75.79892	68.28535	80.51493	71.28008	76.29269	90.90089	86.07378	82.92467	94.26144	74.34566	93.12164	89.56393	89.80415	93.78926	94.77319	91.22439	91.23545	95.14769	93.03635	93.51154
6/2/2024 1:23:00 PM	70	88.63101	93.57285	96.01251	92.63537	91.07317	94.76992	89.12181	85.8808	88.08537	70.58737	76.00015	68.15112	80.17489	75.91561	75.78004	91.15556	83.10232	83.06245	94.49319	91.66515	93.60942	89.23466	90.52872	94.17362	94.62941	92.21724	91.85164	95.7599	93.63818	94.02174
6/2/2024 3:23:00 PM	72	81.69878	94.1199	96.44724	93.22076	92.34298	95.35654	89.31744	86.2654	87.5479	70.3802	75.58591	67.95772	79.79498	75.96353	75.72807	91.35301	83.91533	83.06664	94.54458	74.20191	74.58701	90.08664	90.03959	94.59189	95.20666	92.88155	92.05672	96.08533	91.07771	93.89114
6/2/2024 5:23:00 PM	74	90.73474	95.23331	92.42523	93.8405	92.93044	95.81677	90.32658	86.58939	88.21318	70.35136	75.57985	67.54795	79.80891	74.10863	75.65054	91.5976	86.46642	83.88199	95.13494	92.35834	83.49898	90.60167	90.24287	94.37827	95.49925	91.84146	91.99153	96.27011	94.6946	94.35816
6/2/2024 7:23:00 PM	76	92.25869	95.92818	97.5155	94.33815	93.56327	96.25568	90.98827	87.22859	88.94971	70.31857	75.46791	67.4342	79.4893	75.20699	75.54373	91.64863	85.87692	83.98482	95.56277	92.39312	73.26027	91.37698	90.65472	94.87374	95.81723	93.2596	92.43396	96.30795	89.01104	95.15199
6/2/2024 9:23:00 PM	78	92.28175	96.17657	97.6528	94.99895	94.05862	96.56013	90.87415	87.55784	89.69408	70.31561	74.98782	67.30008	79.65298	74.63458	75.55537	91.14723	83.20529	83.9501	95.43736	92.28017	72.75332	92.13242	91.26364	95.11465	96.07372	93.84119	93.00103	96.89087	94.27249	95.67678
6/2/2024 11:23:00 PM	80	87.75757	96.74224	98.08535	95.69472	94.62695	96.72565	91.34316	88.39644	90.25013	70.65223	74.72913	67.21114	79.3282	74.44689	75.28143	91.37378	83.89083	84.1626	95.74809	92.51128	82.92074	92.11775	92.04676	95.20338	96.65874	93.47349	93.71896	97.43261	96.43588	96.18229
6/3/2024 1:23:00 AM	82	94.59103	97.08417	98.66109	96.09628	94.67693	97.06196	91.61884	88.72872	90.93201	70.45995	74.60741	67.24127	79.48368	75.00345	75.3232	91.83591	85.60361	84.25404	96.34454	76.90317	78.73122	91.57879	92.55334	95.73831	96.71871	94.53022	93.72596	97.63393	96.93506	96.59543
6/3/2024 3:23:00 AM	84	95.08326	97.41253	98.86589	96.6074	95.37695	97.52254	91.68745	89.04126	91.02315	70.25121	74.38309	67.05324	79.32431	74.77942	74.77113	92.00405	85.4746	84.65654	96.20105	92.58159	83.50265	92.23331	92.64665	95.7355	96.96185	95.15799	94.27969	97.6624	96.57246	97.16004
6/3/2024 5:23:00 AM	86	90.98938	97.81876	99.00616	97.02889	95.51588	97.59533	92.15532	89.35099	91.42323	70.24388	74.35202	66.87485	79.23061	74.62713	74.55971	91.97812	83.81559	85.12241	96.04147	76.28032	81.99577	92.70748	93.29791	96.34352	97.25883	95.83081	94.70295	98.07855	97.22301	97.55159
6/3/2024 7:23:00 AM	88	96.00665	98.27619	99.17142	97.04997	96.3244	97.83626	92.50343	89.94374	92.50235	69.78117	74.1706	66.79354	79.10149	75.46151	74.56445	91.77678	87.14511	85.14384	96.30697	78.08138	81.89562	93.00864	93.63144	96.76511	97.67737	96.31801	95.46641	98.52721	97.21423	97.90391
6/3/2024 9:23:00 AM	90	96.42134	98.47089	99.05154	97.75025	96.94228	98.30472	92.69335	89.94275	92.69232	69.52348	74.02024	66.63344	78.98948	75.3046	74.50296	91.70842	86.55862	85.04108	96.28497	81.2138	95.43874	93.39854	94.11469	96.97994	97.67021	96.3617	95.82018	98.7881	97.37465	97.99625
6/3/2024 11:23:00 AM	92	96.55379	98.76637	99.20399	98.16782	97.51044	98.44241	93.23511	90.28614	93.10704	69.37798	73.66777	66.70419	79.19264	74.57048	74.6044	91.59238	86.8155	85.63226	96.59058	87.09464	94.55962	94.09119	94.63004	97.25792	97.6745	96.74214	96.39549	98.90205	97.64327	98.10744
