Vessel Name: 2024.05.30_Cirtuvivint-6D
Metric: KNS-42 Confluence (%)
Cell Type: KNS-42, SMS-KAN
Passage: 1
Notes: Entered by user kconkrite on 6/3/2024 12:28:06 PM:
Cells plated 5/30. 12k/well for 3 day assay, 6k/well for 6 day. Allow to settle 30 minutes before placing in Incucyte. Wait 30 minutes in Incucyte before initiating scan.

5/31- 2 pm. Remove plates from Incucyte, remove 95 uL media from each well. Replace with 100 uL either fresh media, media + DMSO, or Media + Cirtuvivint in serial dilutions. Replace back into Incucyte and continue scanning.
Analysis: KNS-42_20x_klc

Date Time	Elapsed	KNS-42 (2) 6K / well Fresh DMEM 100% (B2)	KNS-42 (2) 6K / well Fresh DMEM 100% (B11)	KNS-42 (2) 6K / well Fresh DMEM 100% (C2)	KNS-42 (2) 6K / well Fresh DMEM 100% (C11)	KNS-42 (2) 6K / well Fresh DMEM 100% (D2)	KNS-42 (2) 6K / well Fresh DMEM 100% (D11)	KNS-42 (2) 6K / well DMSO vehicle 2% (B3)	KNS-42 (2) 6K / well DMSO vehicle 2% (C3)	KNS-42 (2) 6K / well DMSO vehicle 2% (D3)	KNS-42 (2) 6K / well Cirtuvivint 10 µM (B4)	KNS-42 (2) 6K / well Cirtuvivint 10 µM (C4)	KNS-42 (2) 6K / well Cirtuvivint 10 µM (D4)	KNS-42 (2) 6K / well Cirtuvivint 5 µM (B5)	KNS-42 (2) 6K / well Cirtuvivint 5 µM (C5)	KNS-42 (2) 6K / well Cirtuvivint 5 µM (D5)	KNS-42 (2) 6K / well Cirtuvivint 1 µM (B6)	KNS-42 (2) 6K / well Cirtuvivint 1 µM (C6)	KNS-42 (2) 6K / well Cirtuvivint 1 µM (D6)	KNS-42 (2) 6K / well Cirtuvivint 0.5 µM (B7)	KNS-42 (2) 6K / well Cirtuvivint 0.5 µM (C7)	KNS-42 (2) 6K / well Cirtuvivint 0.5 µM (D7)	KNS-42 (2) 6K / well Cirtuvivint 0.1 µM (B8)	KNS-42 (2) 6K / well Cirtuvivint 0.1 µM (C8)	KNS-42 (2) 6K / well Cirtuvivint 0.1 µM (D8)	KNS-42 (2) 6K / well Cirtuvivint 0.05 µM (B9)	KNS-42 (2) 6K / well Cirtuvivint 0.05 µM (C9)	KNS-42 (2) 6K / well Cirtuvivint 0.05 µM (D9)	KNS-42 (2) 6K / well Cirtuvivint 0.01 µM (B10)	KNS-42 (2) 6K / well Cirtuvivint 0.01 µM (C10)	KNS-42 (2) 6K / well Cirtuvivint 0.01 µM (D10)
5/31/2024 11:23:00 AM	20	31.53001	30.61348	33.05399	36.37649	36.14537	33.43489	34.11636	30.61713	37.20889	33.81749	33.66101	37.37815	33.75084	33.86201	35.89355	36.70432	33.91251	39.78512	30.25001	33.97326	32.63356	30.77999	32.13036	31.07705	33.95112	33.45969	30.55094	31.44439	33.24079	33.92892
5/31/2024 1:23:00 PM	22	33.26827	32.10331	34.39029	38.6805	37.64362	35.18189	35.54204	32.02423	38.80009	35.70369	35.48265	38.26529	35.2677	35.76991	36.74159	38.82614	35.85258	41.33681	31.77965	34.6863	34.13253	32.03253	33.89938	31.97335	35.97729	34.21216	32.07301	32.93913	34.86299	35.8367
5/31/2024 3:23:00 PM	24	34.3352	33.72192	36.11323	40.1866	38.19753	36.20385	36.87423	31.80797	38.74878	36.60397	37.15253	40.54942	37.09635	38.17958	38.54265	41.01518	38.56283	43.16865	33.49044	35.62119	35.8378	33.91482	35.69559	33.67019	37.01273	36.23724	33.17712	34.60213	35.64231	37.55449
5/31/2024 5:23:00 PM	26	35.5979	35.05993	37.77705	40.6544	39.09029	33.92947	37.12291	32.00917	37.47258	37.12627	38.3506	42.12061	39.06755	39.82355	39.42222	43.15218	39.18388	45.37132	34.48421	38.36762	38.52237	35.73713	37.81089	35.28004	35.36973	34.67314	34.10501	33.61676	37.39925	36.10966
5/31/2024 7:23:00 PM	28	35.58268	36.31066	39.26397	43.02198	40.91237	38.84441	37.72423	32.64141	40.47845	37.77634	39.40602	43.45867	40.37474	40.91771	40.77167	44.75058	42.50249	46.83276	36.19701	39.3961	38.84875	36.80286	38.82957	36.1554	39.28595	39.39973	35.50533	37.53459	38.56083	40.27607
5/31/2024 9:23:00 PM	30	38.4374	38.53857	40.4752	44.74574	41.73521	40.66954	38.5117	33.21687	40.68103	38.63365	40.4317	45.06115	42.0904	42.48868	42.2226	46.54795	44.02231	48.03183	37.91248	40.50994	40.02444	38.02241	39.21246	36.7559	40.24414	40.52012	36.51049	38.90411	39.74896	41.71875
5/31/2024 11:23:00 PM	32	41.13745	39.996	42.48127	46.728	43.11158	42.08967	39.56631	34.28123	41.95442	39.42347	40.99167	45.64362	43.6337	43.48954	43.8503	48.19366	45.21288	50.26034	38.90746	40.17294	41.74629	38.91605	40.21322	37.97747	42.3257	41.49438	38.32613	40.37089	41.0692	43.33298
6/1/2024 1:23:00 AM	34	42.0699	41.66727	43.86766	49.00375	44.88052	43.80637	40.19453	34.50591	43.38553	39.90154	41.22382	46.31062	44.36597	44.45468	45.06931	49.5654	46.31139	52.23592	40.11611	44.04792	43.49191	39.42695	40.95957	38.71679	43.41705	42.44992	39.40834	42.36683	42.4573	44.15266
6/1/2024 3:23:00 AM	36	41.63385	43.49386	44.35724	50.75716	46.75242	45.73484	41.09211	36.22707	44.29143	40.23226	41.13123	46.34711	45.2831	45.22591	45.68631	51.11072	48.31796	53.57898	41.51807	45.42055	45.42062	40.23171	42.4351	39.23075	45.2525	43.83528	41.49277	43.84429	43.96046	45.55042
6/1/2024 5:23:00 AM	38	44.22523	44.67568	46.41378	51.22424	48.21748	46.88056	42.02136	37.87411	45.12828	40.25985	41.12218	46.1305	46.1319	45.93716	46.30594	52.39908	48.21815	55.07556	43.0047	46.4422	45.67204	41.72827	43.41775	42.08457	46.41593	44.43649	43.06396	45.5057	44.04749	47.03349
6/1/2024 7:23:00 AM	40	44.04243	46.21418	47.10886	53.0893	50.8557	49.2021	43.4825	38.68166	47.76784	40.78009	41.05212	46.36388	46.81377	45.95945	46.72435	54.48167	51.25711	57.08112	44.37064	47.56296	47.8754	43.02456	45.31475	42.35172	48.48182	46.9359	43.72935	46.59641	47.18516	48.87644
6/1/2024 9:23:00 AM	42	43.71181	47.42595	48.1874	54.91528	51.85461	50.66611	45.22403	39.49022	48.33472	40.9333	40.8045	46.96098	47.06695	46.78274	47.45025	55.60675	52.72599	58.82658	45.92574	48.82966	49.07541	44.59375	47.77692	43.92467	49.70626	48.38773	44.91243	47.82207	48.05201	50.59089
6/1/2024 11:23:00 AM	44	48.41404	49.14043	49.80064	55.7316	53.33884	51.0243	46.1797	40.50926	49.81271	40.96958	40.91769	46.77396	47.54217	47.06939	47.99719	57.53911	53.70134	59.87084	47.21674	50.90523	50.42967	45.9315	49.10412	45.03872	50.67231	49.59831	46.562	48.72736	48.87895	51.77393
6/1/2024 1:23:00 PM	46	49.36839	49.78362	50.67806	57.42783	54.38239	52.56646	47.21236	41.90401	49.84182	40.87178	40.85505	46.82139	47.75667	47.24486	48.00121	58.29637	54.83308	61.46559	48.49604	51.34272	51.25842	47.15859	50.21709	46.12899	51.31935	50.02317	47.75165	49.46425	49.78787	52.2445
6/1/2024 3:23:00 PM	48	50.37587	50.19867	51.66304	57.84284	54.5914	53.0654	48.80521	42.60848	52.58333	40.75618	40.71877	46.55658	47.89786	47.62682	48.1287	59.23788	55.50083	61.95889	49.32888	52.53993	52.39097	47.80143	51.74639	46.35491	51.83573	50.65348	48.42683	50.30896	51.42982	52.82138
6/1/2024 5:23:00 PM	50	51.25172	51.28891	52.39695	58.91919	55.95145	53.47511	49.98909	43.56959	54.00014	40.43873	40.84727	46.93311	48.05792	47.931	47.95659	60.40645	56.42264	63.1511	50.32119	53.45348	54.07219	48.27867	52.15837	46.97786	52.74832	50.57265	48.09743	50.94098	52.07887	54.11105
6/1/2024 7:23:00 PM	52	51.94262	51.91918	52.5797	59.34499	56.06779	52.55842	51.63292	44.90372	54.6342	40.30511	40.58993	46.56805	48.12566	47.97886	48.06852	61.16979	57.29304	64.12427	50.40278	54.68632	54.76837	48.37663	52.04316	48.04848	52.91524	50.19778	48.57341	51.88683	51.90648	54.87963
6/1/2024 9:23:00 PM	54	52.39942	53.18327	53.17975	59.91252	56.60173	54.54069	52.64267	46.16238	55.49018	40.1764	40.37015	46.17102	48.20712	48.04829	48.03806	61.52367	57.72428	64.16801	51.55657	55.35206	55.07053	48.51856	52.65749	48.46048	53.31275	50.25349	49.95171	52.64341	51.88319	54.60924
6/1/2024 11:23:00 PM	56	53.11617	54.13724	54.68634	60.07536	57.84777	55.71125	53.99108	47.74614	56.82496	40.00818	39.932	45.92811	48.09568	48.01334	48.27126	62.08047	58.14296	64.43024	52.14179	55.92389	55.84818	49.48527	54.41932	49.99873	54.94176	50.89492	49.90721	54.21626	53.88849	55.76023
6/2/2024 1:23:00 AM	58	54.86143	55.40365	55.84508	61.32527	59.66641	57.62932	54.72979	48.25357	57.33088	39.66643	39.88056	45.79364	48.15904	48.06219	48.16483	62.72983	58.75089	65.1162	53.049	56.08665	56.62679	51.21322	55.21628	52.04527	56.19178	52.87471	51.1501	55.20989	55.52297	57.11902
6/2/2024 3:23:00 AM	60	55.55449	56.79025	56.74627	62.4197	61.43599	57.88509	55.358	49.11027	57.64983	39.71705	39.56734	45.89384	48.17179	48.16706	48.23177	62.6909	58.81646	65.80655	53.99139	58.5911	57.52467	52.39146	55.41601	52.18099	56.69765	54.22629	52.44564	56.38474	55.9924	57.81398
6/2/2024 5:23:00 AM	62	55.5361	57.56354	57.40791	63.79958	61.59903	58.35387	56.07461	49.93695	59.41292	39.64159	39.79652	45.63	47.93631	47.89469	48.06924	62.71877	58.45756	65.7547	54.2697	59.04582	55.86634	53.56609	56.20423	53.0905	57.2114	55.67094	52.97563	56.78328	56.23386	58.9694
6/2/2024 7:23:00 AM	64	57.25476	58.6976	58.77074	65.3813	62.58018	58.91473	50.81165	50.9727	59.8156	39.59273	39.45024	44.77501	47.80565	47.8463	47.84429	62.16978	58.68024	66.4526	54.96193	59.15221	56.52811	54.37365	57.36497	53.74722	58.2202	53.94857	53.7213	58.45085	57.03731	59.62976
6/2/2024 9:23:00 AM	66	58.23415	60.0787	60.61532	66.26427	63.45785	61.20996	52.47966	51.89491	60.21776	39.32983	39.48281	44.69122	47.6935	47.55132	47.90713	62.92484	60.45415	66.7011	55.84933	59.46977	59.92192	55.39356	58.42635	56.03686	59.85059	57.596	54.76388	59.26334	58.96149	60.02074
6/2/2024 11:23:00 AM	68	58.16956	61.11941	61.1155	67.21968	64.81934	62.27988	57.18098	52.28538	60.94339	39.44489	39.43364	44.52237	47.45218	47.34044	47.74281	62.84389	60.6495	66.5953	56.77446	60.62599	61.05627	56.34019	59.20518	55.86152	60.71804	58.78124	56.00237	59.39655	59.89121	60.45475
6/2/2024 1:23:00 PM	70	60.34055	62.45211	61.55647	68.07251	65.88356	63.97602	58.47166	52.96259	61.75492	39.22554	39.32887	44.38835	47.49208	47.20892	47.57642	63.34148	60.84483	66.60593	57.1406	61.61427	60.86589	57.14277	59.99778	56.77043	62.21437	59.48377	56.69859	60.17672	61.32787	62.61152
6/2/2024 3:23:00 PM	72	59.82148	62.97434	62.90167	68.98811	67.27884	64.89319	58.91598	53.5624	61.53217	39.20299	39.10236	44.1577	47.34866	47.12812	47.40205	64.08302	60.62222	66.53645	57.03638	62.59782	61.71494	57.98695	61.23156	57.19989	63.49754	60.22052	57.52131	61.56325	62.98102	63.92828
6/2/2024 5:23:00 PM	74	61.17225	63.85996	63.44019	70.02894	67.61331	65.69408	59.10312	54.29836	61.14614	38.84233	39.1053	43.99571	47.42075	47.07905	47.3167	63.69188	60.65071	66.33316	57.88398	62.41631	61.95872	58.89421	62.43649	58.07412	64.68723	61.66367	58.69523	62.32579	64.13184	65.58195
6/2/2024 7:23:00 PM	76	64.65392	64.53294	64.76238	70.62946	68.62376	66.82484	59.78188	54.9904	64.6407	38.4502	39.18788	43.86672	47.3341	47.3385	47.33765	64.36484	60.77056	66.87928	58.15952	63.29771	61.99467	59.61245	62.93127	60.01851	65.36052	62.55562	58.77911	63.06736	65.76713	66.53301
6/2/2024 9:23:00 PM	78	64.2673	66.20821	65.59039	72.20277	69.26689	67.10667	61.01103	54.364	65.07515	38.50063	39.05034	43.84306	47.44135	47.32193	47.43375	64.24638	61.11415	67.29881	59.19456	63.52827	62.47744	60.07585	62.81011	60.60272	66.56523	62.83867	59.73861	64.74184	66.06857	67.27032
6/2/2024 11:23:00 PM	80	63.88726	67.7562	66.1308	74.11515	69.53705	68.0073	60.7134	55.2531	65.40469	38.30805	38.82077	43.95467	47.50893	46.93972	47.52193	64.37467	61.18484	66.59343	59.38419	63.00634	62.6148	61.00278	63.57619	61.407	67.74921	63.25867	61.15955	65.75036	67.11873	69.21409
6/3/2024 1:23:00 AM	82	67.76884	67.89185	65.83582	74.93359	71.13797	68.98357	61.47119	56.26504	66.37981	38.40556	38.59168	44.08307	47.21625	46.80314	47.41415	64.04254	60.65583	66.24199	59.42647	63.32159	62.84731	61.73119	64.57691	61.68663	68.65266	63.84076	62.313	67.07946	67.87063	70.04842
6/3/2024 3:23:00 AM	84	65.40918	69.36868	67.09346	75.74789	72.69526	69.79814	63.95253	56.80257	68.12507	38.11923	38.52508	44.18361	47.10843	46.83363	47.1302	64.16289	61.15149	66.96088	60.28226	63.79307	63.43757	62.31877	64.85436	61.79508	69.37604	64.5262	63.01372	68.85516	68.56399	71.27163
6/3/2024 5:23:00 AM	86	70.78077	69.66843	69.06783	76.38451	74.17448	71.1268	64.19302	57.33403	67.72464	38.23507	38.34208	43.74196	47.09249	46.73609	47.07337	64.19193	61.34991	66.79441	61.25741	64.08078	63.83384	63.56136	65.45589	62.6389	70.06472	64.93787	64.04621	69.80965	69.453	72.15552
6/3/2024 7:23:00 AM	88	71.44842	70.10308	70.67099	77.1812	75.98841	72.14558	65.31016	57.92953	65.04005	38.10166	38.4244	43.71607	47.10767	46.83307	47.01112	64.04427	61.34079	66.84928	61.40275	63.50227	64.516	64.33984	66.43896	63.42517	70.31989	65.87889	64.77774	70.7624	70.36874	72.55531
6/3/2024 9:23:00 AM	90	71.8695	70.68738	71.39992	78.3626	77.18098	73.65301	65.84904	59.23109	69.9761	37.47226	38.34326	43.64903	46.79918	46.8876	47.03703	64.06537	60.54848	66.37574	61.78074	63.78199	64.74618	65.27318	67.74426	64.34522	70.9538	66.92097	65.76971	71.02245	70.82502	73.92976
6/3/2024 11:23:00 AM	92	72.00291	71.96244	72.67365	79.45073	77.87741	74.82858	66.39853	60.26464	70.43446	37.58019	38.32074	43.47364	47.08409	46.68061	47.07487	64.10573	61.5057	66.42337	62.63334	61.20744	65.52074	66.1681	68.78029	64.71416	71.98507	67.60558	66.75489	71.67038	72.03858	74.81331
6/3/2024 1:23:00 PM	94	73.85945	73.86235	73.41797	80.42487	78.48054	76.14349	66.88654	60.50859	70.8032	37.76009	37.82184	43.24787	46.92782	46.38132	47.07009	64.5951	61.3169	66.67973	63.49747	61.33762	65.11778	67.06761	69.04959	65.74493	73.11706	69.16008	67.65563	72.75433	72.97329	75.8384
6/3/2024 3:23:00 PM	96	74.98013	74.38729	74.56033	80.99435	79.02936	76.92022	67.40195	61.1105	72.22521	37.55376	37.81483	43.20966	46.90575	46.43029	47.3068	64.19691	61.62672	66.77477	63.77866	65.31487	65.77541	67.77581	70.35301	66.38226	73.60526	70.24236	68.49761	74.04918	74.32573	77.20599
6/3/2024 5:23:00 PM	98	75.65544	76.00422	74.74229	82.10669	80.43906	78.44033	68.28719	62.58746	72.21445	38.06263	37.80955	43.27961	47.03033	46.40905	47.24775	63.39509	61.78257	66.53072	64.25911	63.99361	65.32825	69.54616	71.22343	67.91119	75.81982	71.33247	69.3951	75.14352	75.34012	78.29994
6/3/2024 7:23:00 PM	100	77.50636	77.14847	75.91103	83.04163	81.78846	79.41783	69.15882	62.76304	74.00571	37.46437	37.78554	42.65154	46.91594	46.73727	47.07681	62.9304	62.11393	66.93092	64.11457	63.00439	64.37649	69.75266	71.98244	68.2962	76.16928	72.55939	70.25089	76.04193	77.06377	78.9026
6/3/2024 9:23:00 PM	102	78.40549	78.22305	77.35744	84.29161	82.21523	80.05215	69.5538	62.98109	74.17343	37.33482	37.68198	42.69965	46.86853	46.74712	46.99504	62.9361	61.41803	65.85335	63.5169	65.28962	65.70746	70.62608	73.11595	69.57082	77.18403	73.53097	71.23577	77.45409	77.62065	79.866
6/3/2024 11:23:00 PM	104	79.22238	78.59827	78.34088	85.40416	82.95699	80.77892	70.00818	63.71331	71.71369	37.1798	37.58633	42.36693	46.58298	46.62116	46.90755	62.94758	61.6931	65.86871	64.24748	65.25116	65.01541	70.89186	73.45949	69.4894	78.3102	74.43839	71.9808	78.44145	78.50983	80.30446
6/4/2024 1:23:00 AM	106	80.33703	79.87499	79.38314	86.38187	84.29667	81.6171	70.36478	63.80296	74.08833	36.9313	37.51774	41.99454	46.87408	46.56571	46.9298	63.28429	61.21326	66.44514	64.3541	64.30104	65.21004	71.77983	74.31714	69.54098	79.10605	75.32738	72.82521	79.44983	79.55264	81.77838
6/4/2024 3:23:00 AM	108	81.31358	80.63702	80.67715	87.00645	84.77346	82.3632	71.05565	64.41563	75.02953	36.70052	37.13908	41.90295	46.41109	46.81227	46.9607	63.09394	61.45943	65.91324	64.84942	62.6726	65.55734	72.27345	75.28301	70.68852	80.37344	76.94301	73.34025	79.87745	79.92266	82.49814
6/4/2024 5:23:00 AM	110	77.66235	81.26958	81.71315	87.26527	86.31818	82.59557	71.49052	64.94987	78.49117	36.00572	37.02211	41.38708	46.18374	46.53127	46.84604	61.63596	60.26384	65.61089	64.52339	65.97054	64.87267	72.63631	75.86425	71.25184	81.31573	77.65746	73.90922	80.80262	80.97359	83.44839
6/4/2024 7:23:00 AM	112	77.38458	82.01223	82.93083	87.0005	87.55154	81.52886	64.96771	65.44667	77.18958	36.23882	36.58974	41.51179	46.39472	46.3217	46.49591	61.78024	57.75732	65.10634	64.72367	66.62276	61.28677	73.44353	76.48592	72.43781	81.91078	79.0753	74.93937	81.84795	81.58549	84.07417
6/4/2024 9:23:00 AM	114	76.26476	83.70055	83.62759	89.07269	88.57655	84.78932	58.62776	65.15923	72.70176	36.22345	36.63861	41.35259	45.47828	46.02764	46.73777	57.81605	55.66469	64.65588	63.13283	53.28446	62.96352	74.0803	76.82885	72.54367	82.54198	78.13142	76.10377	83.0349	82.6433	84.72938
6/4/2024 11:23:00 AM	116	77.34576	84.42604	84.59804	89.87212	89.63499	85.30232	67.28716	67.58741	80.56125	36.25739	36.37736	41.68721	45.00942	45.55196	46.664	57.99359	59.23922	64.90347	62.83136	60.80473	64.97845	75.42304	75.41347	73.07444	83.70709	81.34158	77.06088	84.17191	83.49165	85.31048
