splicing_event	histology	type	freq
SMUG1:54187819-54187905_54183655-54183959_54188950-54188974	H3.1 K28	inclusion	4
EMC3:9981634-9981747_9977388-9977446_9986506-9986682	H3.1 K28	inclusion	3
WASF3:26676549-26676724_26671871-26671989_26680034-26680201	H3.1 K28	inclusion	3
PSTK:122987334-122987504_122986868-122986962_122990173-122990390	H3.1 K28	inclusion	3
COA4:73876479-73876575_73872996-73873394_73876756-73876843	H3.1 K28	inclusion	4
CCDC90B:83285127-83285211_83280140-83280260_83285872-83285979	H3.1 K28	inclusion	3
CNTN1:41061762-41061884_41029113-41029219_41069958-41070241	H3.1 K28	inclusion	4
COQ5:120526457-120526546_120522213-120522363_120528939-120529140	H3.1 K28	inclusion	4
ALDH3A2:19673151-19673275_19671720-19671956_19675495-19675499	H3.1 K28	inclusion	5
PRKAR1A:68514987-68515119_68511779-68512142_68515393-68515536	H3.1 K28	inclusion	3
VTI1B:67663029-67663190_67662476-67662535_67674374-67674610	H3.1 K28	inclusion	5
STAG2:124021367-124021431_123960518-123960866_124022530-124022671	H3.1 K28	inclusion	4
APOO:23833607-23833612_23833356-23833510_23840312-23840377	H3.1 K28	inclusion	3
NAV2:20056530-20056628_20055768-20055957_20062306-20062359	H3.1 K28	inclusion	5
SECISBP2:89334025-89334155_89332916-89332986_89334521-89334730	H3.1 K28	inclusion	3
BAIAP2:81036863-81036961_81035150-81035308_81053667-81053743	H3.1 K28	inclusion	3
TCF7L2:113089400-113089540_113040024-113040126_113141183-113141316	H3.1 K28	inclusion	3
SAR1A:70162690-70162759_70161857-70161931_70170412-70170523	H3.1 K28	inclusion	5
CRYZ:74730382-74730420_74724710-74724834_74732955-74733061	H3.1 K28	inclusion	3
MRPL43:100983948-100984074_100983754-100983817_100986748-100986975	H3.1 K28	inclusion	4
ST7:117098613-117098815_116953502-116953691_117099761-117099844	H3.1 K28	inclusion	3
CNOT2:70294071-70294294_70278131-70278274_70310894-70311017	H3.1 K28	inclusion	5
CDADC1:49265879-49266003_49259345-49259523_49267489-49267525	H3.1 K28	inclusion	3
RNF34:121402742-121402807_121400118-121400218_121416158-121416377	H3.1 K28	inclusion	6
ABCB4:87411893-87412033_87409235-87409392_87413616-87413717	H3.1 K28	inclusion	3
MYCBP2:77103209-77103310_77097369-77099013_77118339-77118519	H3.1 K28	inclusion	3
BCS1L:218660037-218660218_218659708-218659743_218660938-218661307	H3.1 K28	inclusion	3
BCS1L:218660037-218660245_218659682-218659743_218660938-218661307	H3.1 K28	inclusion	3
SEC13:10319139-10319172_10318049-10318094_10321049-10321082	H3.1 K28	inclusion	3
CAP1:40041429-40041493_40040731-40040801_40059333-40059458	H3.1 K28	inclusion	4
PDPR:70114821-70114930_70114331-70114440_70120460-70120719	H3.1 K28	inclusion	3
YWHAB:44887648-44887742_44885710-44885886_44901530-44901756	H3.1 K28	inclusion	5
PCM1:17983233-17983289_17972582-17972687_17985446-17985619	H3.1 K28	inclusion	5
REPIN1:150369742-150369868_150368808-150368941_150371227-150372242	H3.1 K28	inclusion	4
DENND2A:140605705-140605806_140601402-140602542_140640503-140640813	H3.1 K28	inclusion	5
SLIT2:20525149-20525172_20524013-20524177_20528948-20529099	H3.1 K28	inclusion	3
PCDH7:30950120-30950215_30920152-30920369_31142472-31142954	H3.1 K28	inclusion	5
ARPC1B:99377338-99377455_99374674-99374781_99385701-99385778	H3.1 K28	inclusion	4
ARPC1B:99377358-99377455_99374729-99374781_99385701-99385778	H3.1 K28	inclusion	5
PINX1:10820193-10820269_10764960-10765916_10826151-10826244	H3.1 K28	inclusion	4
PXDC1:3739058-3739161_3738061-3738148_3751275-3751529	H3.1 K28	inclusion	4
ZNF558:8830770-8830891_8825001-8825108_8831317-8831401	H3.1 K28	inclusion	4
SMG7:183502253-183502391_183472477-183472649_183512836-183512868	H3.1 K28	inclusion	5
UGT8:114619423-114619525_114598769-114598974_114622878-114623305	H3.1 K28	inclusion	4
PCBP4:51961749-51962088_51961159-51961304_51967325-51967448	H3.1 K28	inclusion	4
PCBP4:51961941-51962088_51961159-51961304_51967325-51967454	H3.1 K28	inclusion	7
ENSG00000288534:57806461-57806478_57805881-57806035_57806914-57806983	H3.1 K28	inclusion	4
KLHL5:39062559-39063035_39045038-39045096_39075964-39076147	H3.1 K28	inclusion	5
GUK1:228141124-228141288_228140264-228140363_228145510-228145624	H3.1 K28	inclusion	6
GUK1:228141124-228141507_228140317-228140363_228145510-228145624	H3.1 K28	inclusion	5
FOXN3:89190384-89190449_89180700-89180806_89280949-89281014	H3.1 K28	inclusion	4
CDCA7:173359343-173359491_173358711-173358837_173363225-173363462	H3.1 K28	inclusion	6
CDCA7:173359387-173359491_173358711-173358837_173363225-173363462	H3.1 K28	inclusion	5
MECOM:169107926-169107952_169102059-169102226_169112786-169112874	H3.1 K28	inclusion	5
PLEKHA6:204243114-204243263_204241684-204241814_204244863-204245003	H3.1 K28	inclusion	3
EPB41:29058589-29058645_29053103-29053312_29064981-29065158	H3.1 K28	inclusion	3
SULF1:69495765-69495926_69492792-69493125_69501873-69501968	H3.1 K28	inclusion	4
KLC1:103687081-103687211_103679383-103679518_103700654-103700727	H3.1 K28	inclusion	6
DNAJC6:65345611-65345723_65254461-65254649_65364634-65364761	H3.1 K28	inclusion	3
TNC:115052740-115053015_115048259-115048532_115057152-115057425	H3.1 K28	inclusion	6
CGREF1:27110673-27110968_27104286-27104377_27118845-27119030	H3.1 K28	inclusion	5
LST1:31587816-31587966_31587254-31587318_31588517-31588757	H3.1 K28	inclusion	4
LST1:31587944-31587966_31587053-31587318_31588517-31588909	H3.1 K28	inclusion	3
LST1:31587944-31587966_31587053-31587318_31588562-31588626	H3.1 K28	inclusion	5
LINC01094:78673343-78673414_78649600-78649709_78680760-78682548	H3.1 K28	inclusion	4
BDH1:197538306-197538952_197533488-197533561_197546360-197546486	H3.1 K28	inclusion	5
SF3B1:197418896-197418951_197418508-197418588_197420427-197420542	H3.1 K28	inclusion	4
EPB41L3:5400969-5401043_5398020-5398143_5406776-5406968	H3.1 K28	inclusion	4
CYRIB:129896672-129896854_129879388-129879471_129903311-129903350	H3.1 K28	inclusion	3
GPM6A:175812191-175812249_175701574-175701767_176002308-176002332	H3.1 K28	inclusion	4
USP3:63529014-63529166_63504611-63504830_63532646-63532707	H3.1 K28	inclusion	3
CNNM3:96831969-96832068_96828995-96829134_96832551-96832573	H3.1 K28	inclusion	5
SCRIB:143791666-143791740_143791388-143791440_143791875-143791913	H3.1 K28	inclusion	6
ZFAND5:72363470-72363606_72360627-72360787_72364695-72365208	H3.1 K28	inclusion	3
MGRN1:4686259-4686303_4683842-4683932_4688795-4689039	H3.1 K28	inclusion	5
CHL1:398227-398385_394692-394872_399016-399148	H3.1 K28	inclusion	4
SAC3D1:65043025-65043164_65041244-65041866_65044224-65044673	H3.1 K28	inclusion	4
SLC38A10:81250070-81250093_81246884-81247061_81251492-81251612	H3.1 K28	inclusion	3
CUL2:35089896-35090001_35071198-35071339_35090178-35090198	H3.1 K28	inclusion	4
NAP1L4:2949227-2949264_2944436-2945646_2951258-2951315	H3.1 K28	inclusion	5
NRXN2:64626463-64626552_64622752-64623078_64630401-64630573	H3.1 K28	inclusion	5
RIMKLB:8699785-8700614_8697921-8698297_8713810-8714041	H3.1 K28	inclusion	4
PTBP1:805513-805569_805012-805187_806407-806556	H3.1 K28	inclusion	8
TPT1-AS1:45390714-45390858_45389734-45389820_45391031-45391548	H3.1 K28	inclusion	3
PPIP5K2:103186320-103186439_103184671-103184744_103190841-103190982	H3.1 K28	inclusion	3
NDE1:15699729-15699854_15696708-15696860_15724190-15724222	H3.1 K28	inclusion	4
SOCS4:55031863-55031991_55027235-55027471_55042951-55049489	H3.1 K28	inclusion	5
NIPA2:22839655-22839790_22838644-22838921_22851638-22851661	H3.1 K28	inclusion	5
NIPA2:22845146-22845267_22838658-22838921_22851638-22851665	H3.1 K28	inclusion	5
MIR9-1HG:156416769-156416864_156404252-156404601_156421554-156421809	H3.1 K28	inclusion	5
VPS13C:61864641-61864820_61863439-61863528_61868658-61868773	H3.1 K28	inclusion	6
DCAF17:171458372-171458477_171457970-171458075_171468887-171469030	H3.1 K28	inclusion	5
NME4:398208-398394_397191-397313_398989-399123	H3.1 K28	inclusion	6
UBE2I:1312347-1312603_1309634-1309773_1314019-1314096	H3.1 K28	inclusion	6
ARRB2:4715013-4715043_4710595-4710744_4715972-4716033	H3.1 K28	inclusion	4
PRKAR1A:68514987-68515119_68512449-68512548_68515393-68515536	H3.1 K28	inclusion	3
LUC7L3:50751297-50751362_50750746-50750852_50752199-50752585	H3.1 K28	inclusion	4
SLC9A8:49850762-49850844_49849578-49849680_49855437-49855581	H3.1 K28	inclusion	3
ZNF542P:56374686-56374757_56373530-56373623_56376866-56377366	H3.1 K28	inclusion	6
ZNF542P:56374686-56374825_56373530-56373623_56376866-56379553	H3.1 K28	inclusion	4
SCAF8:154741956-154742018_154733846-154733930_154773988-154774072	H3.1 K28	inclusion	4
ATM:108223536-108223686_108223148-108223186_108227594-108227696	H3.1 K28	inclusion	4
DMXL1:119081574-119081697_119071528-119071656_119097978-119098104	H3.1 K28	inclusion	3
MOK:102263546-102263616_102251443-102251995_102283477-102283592	H3.1 K28	inclusion	3
CCDC66:56572337-56572428_56571180-56571302_56592969-56593061	H3.1 K28	inclusion	3
RBM15:110345539-110345649_110339322-110342268_110346307-110346677	H3.1 K28	inclusion	3
SLC25A36:140967000-140967036_140963126-140963227_140970926-140970993	H3.1 K28	inclusion	6
WNK3:54228714-54228743_54201990-54202193_54232808-54233020	H3.1 K28	inclusion	3
GABPB2:151088470-151088517_151088157-151088297_151090405-151090573	H3.1 K28	inclusion	3
GTF2A1:81209870-81209936_81203899-81204104_81216412-81216514	H3.1 K28	inclusion	3
PACRGL:20702141-20702221_20700480-20700578_20704465-20704524	H3.1 K28	inclusion	4
PHACTR4:28457832-28457859_28407409-28407463_28459084-28459239	H3.1 K28	inclusion	3
YME1L1:27147498-27147668_27145427-27145590_27148905-27149040	H3.1 K28	inclusion	5
SLC25A16:68517084-68517185_68516750-68516843_68527245-68527438	H3.1 K28	inclusion	3
SLC25A16:68517084-68517265_68516750-68516843_68527245-68527416	H3.1 K28	inclusion	3
SMG1:18899987-18900044_18896792-18896956_18925949-18926158	H3.1 K28	inclusion	3
REV1:99451345-99451501_99449335-99449504_99462495-99462622	H3.1 K28	inclusion	5
TUT7:86326371-86326491_86325333-86325514_86328339-86328492	H3.1 K28	inclusion	4
DENND1B:197647055-197647114_197645689-197645743_197652234-197652315	H3.1 K28	inclusion	4
ZNF681:23754823-23754897_23744963-23745323_23758746-23758837	H3.1 K28	inclusion	3
ZNF681:23754823-23754918_23739194-23745323_23758746-23758840	H3.1 K28	inclusion	3
ECPAS:111472897-111473000_111451424-111451555_111484115-111484383	H3.1 K28	inclusion	7
ZNF189:101399395-101399530_101399027-101399189_101399883-101400010	H3.1 K28	inclusion	3
EP400:131963532-131963642_131960584-131961954_131979693-131979793	H3.1 K28	inclusion	3
EP400:131963532-131963642_131960584-131961954_131979696-131979793	H3.1 K28	inclusion	4
NUMB:73316390-73316422_73297210-73297285_73323129-73323204	H3.1 K28	inclusion	5
LGMN:92741062-92741179_92732648-92732815_92748488-92748627	H3.1 K28	inclusion	4
ZNF774:90355351-90355416_90354641-90354764_90358850-90358957	H3.1 K28	inclusion	4
KIAA1328:37084125-37084232_37066889-37067545_37160199-37160381	H3.1 K28	inclusion	3
PCDH7:30950120-30950215_30920152-30920345_31142472-31142954	H3.1 K28	inclusion	4
FAM189B:155254400-155254456_155253624-155253732_155254652-155254964	H3.1 K28	inclusion	5
PLEKHA6:204255626-204255679_204250545-204250614_204256801-204256888	H3.1 K28	inclusion	4
PPP2R2B:147035169-147035240_146878001-146878195_147081058-147081293	H3.1 K28	inclusion	3
BTBD2:1991877-1992056_1990716-1990822_1993019-1993176	H3.1 K28	inclusion	4
PEAK1:77283883-77284030_77252366-77252526_77284957-77285055	H3.1 K28	inclusion	3
LRRC42:53947862-53947981_53946357-53946549_53951985-53952472	H3.1 K28	inclusion	4
ABHD14B:51971812-51971892_51971459-51971698_51973964-51974049	H3.1 K28	inclusion	3
EEF1D:143590645-143590735_143589893-143590081_143597347-143597411	H3.1 K28	inclusion	3
BBLN:128162004-128162952_128160313-128160486_128163442-128163890	H3.1 K28	inclusion	4
MRPL43:100984034-100984074_100983754-100983817_100986748-100986975	H3.1 K28	inclusion	4
LINC01184:128076947-128077093_128061143-128061244_128082969-128083070	H3.1 K28	inclusion	3
DTNA:34708085-34708226_34679467-34679592_34755975-34756043	H3.1 K28	inclusion	3
PLD3:40365553-40365585_40348703-40348768_40365717-40365930	H3.1 K28	inclusion	5
TET2:105190360-105190486_105146292-105146979_105233896-105237351	H3.1 K28	inclusion	3
IP6K2:48715315-48715527_48693520-48695421_48717156-48717188	H3.1 K28	inclusion	6
CTSB:11867254-11867391_11853328-11853479_11868000-11868089	H3.1 K28	inclusion	4
SETD5:9422723-9423257_9397895-9397977_9424466-9424526	H3.1 K28	inclusion	6
NEK6:124292849-124293013_124257962-124258085_124301935-124302054	H3.1 K28	inclusion	3
ENSG00000284626:90236063-90236181_90234521-90234596_90238491-90238548	H3.1 K28	inclusion	3
TP53I11:44939166-44939281_44938206-44938366_44950676-44950894	H3.1 K28	inclusion	6
ATG13:46618260-46618375_46617544-46617890_46644278-46644360	H3.1 K28	inclusion	4
LINC01138:148436444-148436564_148435145-148435232_148459601-148459959	H3.1 K28	inclusion	3
NIPA2:22839062-22839174_22838659-22838921_22839654-22839790	H3.1 K28	inclusion	4
GPT2:46885467-46885577_46884693-46884958_46897647-46897737	H3.1 K28	inclusion	3
INPP5K:1515888-1516118_1513871-1513979_1516455-1516612	H3.1 K28	inclusion	3
CISD1:58282899-58283082_58277116-58277322_58287560-58287999	H3.1 K28	inclusion	3
NFRKB:129893297-129893385_129892714-129892870_129894358-129894438	H3.1 K28	inclusion	3
MCM9:118932607-118932740_118931419-118931738_118934890-118935024	H3.1 K28	inclusion	3
ZFX:24161715-24161842_24149744-24149794_24172714-24172800	H3.1 K28	inclusion	5
PABIR2:134789580-134789636_134789222-134789266_134793814-134793893	H3.1 K28	inclusion	3
TFIP11:26511119-26511195_26510616-26510702_26512098-26512175	H3.1 K28	inclusion	5
TANGO2:20053360-20053551_20052464-20052584_20055942-20056013	H3.1 K28	inclusion	3
U2AF2:55658862-55658981_55655108-55655153_55659209-55659345	H3.1 K28	inclusion	6
TTYH1:54416056-54416924_54415511-54415678_54419127-54419306	H3.1 K28	inclusion	3
FCGRT:49521695-49521813_49513881-49514486_49524506-49524568	H3.1 K28	inclusion	3
SIRT2:38898379-38898425_38893818-38893867_38899505-38899618	H3.1 K28	inclusion	4
YIF1B:38306914-38306990_38305113-38305507_38307427-38307521	H3.1 K28	inclusion	5
REPIN1:150369671-150369868_150368789-150368941_150371227-150371392	H3.1 K28	inclusion	3
RAPGEF2:159243774-159243791_159241200-159241368_159304341-159304473	H3.1 K28	inclusion	3
RBM39:35740525-35740597_35738967-35739017_35740823-35740887	H3.1 K28	inclusion	3
RHBDD2:75881365-75881486_75878998-75879260_75881828-75882124	H3.1 K28	inclusion	4
MAP3K4:161108951-161109041_161108742-161108859_161109754-161109914	H3.1 K28	inclusion	4
USP21:161160366-161160506_161159449-161159678_161160619-161161240	H3.1 K28	inclusion	4
ENSG00000286221:81001248-81001334_80997313-80997429_81006733-81006886	H3.1 K28	inclusion	4
KDM5A:286126-286207_285455-285662_292758-292925	H3.1 K28	inclusion	3
SUMF2:56078922-56079039_56078363-56078508_56079527-56079736	H3.1 K28	inclusion	4
PROM1:15979881-15979904_15971042-15971082_15980421-15980537	H3.1 K28	inclusion	3
YJU2B:13761491-13761568_13759075-13759272_13762298-13762437	H3.1 K28	inclusion	5
DLG1:197075837-197075870_197069216-197069260_197076585-197076682	H3.1 K28	inclusion	5
TTLL3:9833104-9833245_9828678-9829395_9834680-9834907	H3.1 K28	inclusion	3
TTLL3:9833104-9833273_9828959-9829395_9834680-9835096	H3.1 K28	inclusion	3
KIDINS220:8747145-8747201_8736867-8736999_8747886-8748000	H3.1 K28	inclusion	4
SERP2:44390357-44390578_44379640-44379713_44397271-44397710	H3.1 K28	inclusion	3
COL11A1:103025800-103025952_103025520-103025613_103026215-103026332	H3.1 K28	inclusion	5
LRRN2:204633144-204633246_204619899-204620218_204685319-204685366	H3.1 K28	inclusion	3
STARD3NL:38179090-38179145_38178350-38178420_38207446-38207729	H3.1 K28	inclusion	5
CEP43:167013508-167013567_167010812-167010893_167022408-167022635	H3.1 K28	inclusion	4
TPM3:154172029-154172104_154171412-154171488_154172907-154172978	H3.1 K28	inclusion	5
ADGRL3:62028855-62028881_61998173-61998265_62031441-62031610	H3.1 K28	inclusion	5
FBXO44:11655328-11655699_11654856-11654952_11655805-11656100	H3.1 K28	inclusion	3
CPNE1:35658930-35659014_35632794-35632923_35664801-35664837	H3.1 K28	inclusion	4
LSAMP:115834562-115834597_115809793-115810414_115841844-115841993	H3.1 K28	inclusion	3
UBXN2B:58434858-58434948_58434394-58434504_58439632-58439770	H3.1 K28	inclusion	4
MRPL55:228108437-228109021_228108113-228108318_228109148-228109278	H3.1 K28	inclusion	3
DAAM2:39886421-39886447_39883961-39884069_39887485-39887592	H3.1 K28	inclusion	3
SCAMP5:75007588-75007728_74995555-74995673_75011791-75011846	H3.1 K28	inclusion	3
SCAMP5:75007661-75007728_74995572-74995673_75011791-75011846	H3.1 K28	inclusion	3
ABI1:26763880-26763960_26759061-26759238_26765217-26765318	H3.1 K28	inclusion	3
NEK7:198220999-198221110_198156993-198157276_198232552-198232637	H3.1 K28	inclusion	3
CMC2:80998285-80998351_80997313-80997429_81006733-81006839	H3.1 K28	inclusion	4
CMC2:80998285-80998354_80997313-80997429_81006733-81006875	H3.1 K28	inclusion	5
CMC2:80998285-80998473_80997313-80997429_81006733-81006894	H3.1 K28	inclusion	4
UAP1:162592735-162592782_162590322-162590511_162597791-162597858	H3.1 K28	inclusion	6
MAP4K4:101860825-101860986_101859642-101859864_101863820-101864051	H3.1 K28	inclusion	4
TMEM219:29972042-29972140_29971407-29971578_29972949-29973048	H3.1 K28	inclusion	3
DGUOK:73932598-73932683_73926896-73927052_73946718-73946906	H3.1 K28	inclusion	4
TMUB2:44187907-44188009_44187271-44187743_44188934-44189299	H3.1 K28	inclusion	4
ECHDC2:52913895-52914095_52911722-52911790_52921552-52921919	H3.1 K28	inclusion	3
LINC01094:78662918-78663011_78649600-78649709_78680760-78681664	H3.1 K28	inclusion	3
CLASP1:121445449-121445496_121430072-121430177_121447336-121447507	H3.1 K28	inclusion	4
GRIA2:157361010-157361124_157359895-157360143_157361537-157361652	H3.1 K28	inclusion	7
BIN1:127057473-127057601_127051153-127051243_127059010-127059155	H3.1 K28	inclusion	4
TNK2:195885413-195885543_195884829-195885033_195886976-195887047	H3.1 K28	inclusion	5
E2F6:11455342-11455474_11453581-11453798_11457178-11457233	H3.1 K28	inclusion	3
BAALC:103200658-103200762_103140758-103141057_103212918-103213085	H3.1 K28	inclusion	7
RAB30:83034172-83034272_82997223-82997324_83071690-83071866	H3.1 K28	inclusion	3
NNAT:37522358-37522433_37521260-37521403_37522666-37523342	H3.1 K28	inclusion	3
ST6GALNAC6:127897826-127898010_127896241-127896332_127899502-127899535	H3.1 K28	inclusion	3
MVD:88657146-88657247_88656104-88656304_88657435-88657582	H3.1 K28	inclusion	3
SRC:37347118-37347236_37346108-37346255_37365203-37365277	H3.1 K28	inclusion	4
RPS24:78037439-78037441_78037193-78037304_78040203-78040225	H3.1 K28	inclusion	3
TSPAN14:80468547-80468687_80454309-80454371_80489216-80489314	H3.1 K28	inclusion	4
MAP3K7:90544552-90544632_90536336-90536401_90547257-90547387	H3.1 K28	inclusion	3
NCAM1:113221296-113221325_113214368-113214511_113231644-113231795	H3.1 K28	inclusion	4
PPP4R1:9562922-9563046_9561979-9562075_9563377-9563550	H3.1 K28	inclusion	5
ALG8:78102874-78102948_78100931-78101195_78103979-78104052	H3.1 K28	inclusion	4
SYTL2:85711113-85711232_85709330-85709500_85714412-85714507	H3.1 K28	inclusion	3
CADM1:115190888-115190941_115178643-115178775_115198405-115198438	H3.1 K28	inclusion	3
LRRC23:6905845-6905954_6905584-6905759_6906408-6906455	H3.1 K28	inclusion	3
CALCOCO1:53712775-53712846_53711118-53712121_53713099-53713206	H3.1 K28	inclusion	5
CPSF6:69258035-69258145_69257731-69257905_69258589-69259094	H3.1 K28	inclusion	5
SMARCA4:11039458-11039553_11034913-11035132_11041306-11041560	H3.1 K28	inclusion	3
ELK1:47649921-47650026_47641231-47641475_47650422-47650563	H3.1 K28	inclusion	3
INF2:104715284-104715340_104714202-104714856_104718794-104719603	H3.1 K28	inclusion	5
